Item,Amount,Value
بطاطس طازجه اومبرده أخرى,7.9,مليون دولار
شمع برافين,7.5,مليون دولار
نباتات طبيه أخرى,5.7,مليون دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,5.1,مليون دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,5.0,مليون دولار
مصنوعات اخري من بورسلين او صيني للزينه,5.0,مليون دولار
بنطلون رجالى من القطن غير مصنره,4.5,مليون دولار
ستائر مصنرة او كروشيه من الياف تركيبيه,4.3,مليون دولار
بصل وكرات بشوشه,4.2,مليون دولار
منتجات مماثله للشموع لها خاصيه شمعيه,4.1,مليون دولار
سماد يوريا أو اسمده ازوتيه اخرى,4.0,مليون دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,3.9,مليون دولار
قمصان رجالى من الياف صناعيه غير مصنره,3.8,مليون دولار
حمامات و بانيوهات و أحواض من البلاستيك,3.0,مليون دولار
فراوله محفوظه مؤقتا,3.0,مليون دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,3.0,مليون دولار
,2.9,مليون دولار
بصل مجفف,2.7,مليون دولار
مصارين ومثانات ومعد حيوانات (غير الاسماك) بكاملهااواجزاء منها,2.5,مليون دولار
قدد من الالومنيوم مستطيلة الشكل,2.5,مليون دولار
ألات لف رولات على درافيل لغير الزجاج و المعادن,2.4,مليون دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,2.2,مليون دولار
إطارات السيارات النقل و الشاحنات,2.1,مليون دولار
بنطلون رجالى من الصوف غير مصنره,2.1,مليون دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,1.8,مليون دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,1.7,مليون دولار
ستائر مصنرة او كروشيه من الياف نسجيه أخرى,1.4,مليون دولار
مكابس قولبة أو تشكيل المطاط أو البلاستيك,1.4,مليون دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,1.4,مليون دولار
اطقم حمامات / بياضات متنوعه,1.2,مليون دولار
مساحيق محضره للخبيز (بيكنج بودر),1.2,مليون دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,1.0,مليون دولار
صوف توبس غير منزوع الرائحه,983.2,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,930.8,ألف دولار
أغطية أرضيات نسجيه أخرى,919.6,ألف دولار
بنطلون رجالى من الياف صناعيه غير مصنره,881.2,ألف دولار
سليب رجالى قطن مصنره,828.0,ألف دولار
حجرات تبييت رولمان بلى,808.3,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,796.2,ألف دولار
بياضات المائدة وبياضات المطابخ من المناشف او الاقمشة الوبرية المماثلة من قطن,783.0,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,758.9,ألف دولار
بذور سمسم,702.2,ألف دولار
زيوت عطرية أخرى,688.8,ألف دولار
انابيب ومواسير سيراميك اقطار صغيرة و متوسطة,644.2,ألف دولار
خيوط من البوليستر المستمر غير مسرح أو ممشط,589.4,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",589.3,ألف دولار
سليب رجالى من ألياف صناعيه غير مصنره,569.0,ألف دولار
غواسل عضوية بحالة ايونات سالبة,558.1,ألف دولار
البسه اطفال وملحقاتها مصنرة او كروشيه من قطن غير مصنره,554.3,ألف دولار
طفايات حريق,525.5,ألف دولار
اثاث معدنى اخر,516.9,ألف دولار
فاصولياخضراء و فول أخضر,495.3,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,477.6,ألف دولار
فراوله طازجه,476.1,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,459.2,ألف دولار
ملح غير صالح للطعام و ملح طعام,426.2,ألف دولار
,422.2,ألف دولار
فيروسيليكون سبيكه 55%,410.7,ألف دولار
بذور زيتيه أخرى,368.3,ألف دولار
طرشى),365.8,ألف دولار
بودره بولي ايثلين P.E.T,353.4,ألف دولار
سليب رجالى من ألياف نسجيه أخرى غير مصنره,328.7,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,325.6,ألف دولار
