Year,Month,Export Amount
2012,يناير,"45,355,248"
2012,فبراير,"48,685,488"
2012,مارس,"63,778,817"
2012,إبريل,"51,896,879"
2012,مايو,"57,447,820"
2012,يونيو,"73,204,064"
2012,يوليو,"43,483,023"
2012,أغسطس,"41,610,931"
2012,سبتمبر,"43,876,599"
2012,أكتوبر,"47,388,506"
2012,نوفمبر,"52,799,190"
2012,ديسمبر,"48,966,140"
2013,يناير,"44,501,923"
2013,فبراير,"49,153,720"
2013,مارس,"60,449,582"
2013,إبريل,"47,321,796"
2013,مايو,"58,105,329"
2013,يونيو,"65,007,659"
2013,يوليو,"47,097,103"
2013,أغسطس,"32,762,515"
2013,سبتمبر,"65,627,358"
2013,أكتوبر,"44,108,106"
2013,نوفمبر,"47,242,490"
2013,ديسمبر,"54,286,204"
2014,يناير,"48,537,767"
2014,فبراير,"50,208,805"
2014,مارس,"60,643,796"
2014,إبريل,"53,202,049"
2014,مايو,"68,525,500"
2014,يونيو,"61,653,878"
2014,يوليو,"42,565,179"
2014,أغسطس,"72,148,711"
2014,سبتمبر,"51,149,256"
2014,أكتوبر,"41,775,981"
2014,نوفمبر,"48,974,389"
2014,ديسمبر,"52,154,555"
2015,يناير,"39,651,149"
2015,فبراير,"36,728,361"
2015,مارس,"42,446,901"
2015,إبريل,"46,076,629"
2015,مايو,"51,507,817"
2015,يونيو,"60,343,922"
2015,يوليو,"39,725,453"
2015,أغسطس,"44,159,928"
2015,سبتمبر,"38,805,150"
2015,أكتوبر,"37,803,555"
2015,نوفمبر,"37,409,831"
2015,ديسمبر,"50,427,558"
2016,يناير,"37,905,055"
2016,فبراير,"49,933,524"
2016,مارس,"49,362,100"
2016,إبريل,"41,450,471"
2016,مايو,"49,409,846"
2016,يونيو,"49,059,495"
2016,يوليو,"44,887,423"
2016,أغسطس,"42,712,255"
2016,سبتمبر,"33,150,347"
2016,أكتوبر,"42,976,121"
2016,نوفمبر,"44,196,124"
2016,ديسمبر,"51,817,793"
2017,يناير,"174,649,502"
2017,فبراير,"41,658,732"
2017,مارس,"50,058,008"
2017,إبريل,"43,510,425"
2017,مايو,"50,323,665"
2017,يونيو,"53,741,555"
2017,يوليو,"49,263,601"
2017,أغسطس,"53,972,751"
2017,سبتمبر,"45,995,474"
2017,أكتوبر,"51,209,617"
2017,نوفمبر,"56,016,253"
2017,ديسمبر,"59,236,793"
2018,يناير,"55,816,240"
2018,فبراير,"50,739,858"
2018,مارس,"60,365,978"
2018,إبريل,"55,082,303"
2018,مايو,"69,431,384"
2018,يونيو,"56,040,318"
2018,يوليو,"52,980,891"
2018,أغسطس,"43,217,084"
2018,سبتمبر,"44,355,962"
2018,أكتوبر,"53,979,664"
2018,نوفمبر,"47,094,633"
2018,ديسمبر,"53,161,171"
2019,يناير,"51,641,581"
2019,فبراير,"56,121,809"
2019,مارس,"59,037,170"
2019,إبريل,"60,277,120"
2019,مايو,"56,017,967"
2019,يونيو,"57,914,319"
2019,يوليو,"49,127,389"
2019,أغسطس,"41,680,436"
2019,سبتمبر,"42,675,659"
2019,أكتوبر,"47,493,397"
2019,نوفمبر,"42,533,639"
2019,ديسمبر,"45,207,490"
2020,يناير,"50,037,225"
2020,فبراير,"47,302,610"
2020,مارس,"55,192,989"
2020,إبريل,"23,110,352"
2020,مايو,"30,381,508"
2020,يونيو,"54,803,933"
2020,يوليو,"43,057,084"
2020,أغسطس,"104,220,336"
2020,سبتمبر,"45,171,439"
2020,أكتوبر,"49,084,400"
2020,نوفمبر,"49,881,998"
2020,ديسمبر,"54,071,945"
2021,يناير,"58,554,988"
2021,فبراير,"60,850,448"
2021,مارس,"73,030,678"
2021,إبريل,"60,156,216"
2021,مايو,"64,638,605"
2021,يونيو,"81,430,205"
2021,يوليو,"56,546,985"
2021,أغسطس,"56,382,007"
2021,سبتمبر,"61,320,675"
2021,أكتوبر,"48,164,102"
2021,نوفمبر,"30,698,318"
2021,ديسمبر,"148,243,400"
2022,يناير,"64,117,104"
2022,فبراير,"80,122,554"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
