Item,Amount,Value
غاز الكلور,836.1,ألف دولار
مكسبات طعم ورائحه,821.3,ألف دولار
خميره جافه نشطه,427.0,ألف دولار
برتقال طازج أو مجفف,227.5,ألف دولار
زيت صويا منقى و غير معالج كيمائيا,208.1,ألف دولار
شامبو لغسيل الشعر  (دون تحديد),199.1,ألف دولار
ادوات صحيه من زهر واجزاؤها بدون تحديد,195.2,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),124.4,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,102.8,ألف دولار
مياةبما فيهاالمياةالمعدنيةوالغازيةمضاف اليهاسكراومواد تحلية,88.0,ألف دولار
سيليكات صوديوم أخر,82.6,ألف دولار
المارجرين أو بديل الزبده ? زبده صناعيه,75.4,ألف دولار
ابواب واطرها واعتابها من خشب و حلق او برور للباب من خشب,74.1,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,73.2,ألف دولار
ابواب ونوافذ واطرها من الالومنيوم,64.2,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,62.1,ألف دولار
بطاطس غير مجمده محفوظه اومعلبه,42.0,ألف دولار
شـاى أسود و شاي خام معبيء فى أكثر من 3 كج,39.6,ألف دولار
منتجات للتعبئة و التغليف أخرى من أنواع البلاستيك الأخرى,27.7,ألف دولار
قنينة كانيولا وادوات مماثلة,26.7,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),26.4,ألف دولار
خضروات بقليه اخرى,23.9,ألف دولار
لعزل الحراره ?  الصوت,19.2,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,17.2,ألف دولار
غيرها من البويات والورنيشات المائيه,15.9,ألف دولار
خــــل,15.8,ألف دولار
باب حديد اوشباك حديد بدون تحديد,12.2,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,11.2,ألف دولار
آلات للإنشاءات العامه,9.6,ألف دولار
وصلات و كيعان و فلانشات لمواسير,6.8,ألف دولار
زجاج ابيض مشطوف,5.0,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,4.0,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,3.0,ألف دولار
أحجار طبيعيه للمبانى مصقوله,3.0,ألف دولار
أجهزه للتحليل بإستخدام الإشعاع,2.1,ألف دولار
صابون معطر تواليت,1.7,ألف دولار
لوحات دعايه ولوحات اسماء مضيئه ومايماثلها,1.3,ألف دولار
محضرات ذات سطح غير محتمل للحراره للارضيات و الجدرات و الواجهات,1.0,ألف دولار
سليب رجالى من ألياف صناعيه غير مصنره,0.9,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,0.6,ألف دولار
يوسفى طازج أو مجفف,0.5,ألف دولار
املاح حمام معطرة و مستحضرات اخرى للاستعمال اثناء الاستحمام,0.4,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.3,ألف دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,0.1,ألف دولار
أجهزه للتحليل الطبيعى و الكيميائى,0.1,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,0.1,ألف دولار
,0.0,ألف دولار
