Year,Month,Export Amount
2012,يناير,"5,339,588"
2012,فبراير,"2,590,218"
2012,مارس,"3,796,925"
2012,إبريل,"4,512,950"
2012,مايو,"3,333,559"
2012,يونيو,"2,699,603"
2012,يوليو,"1,802,576"
2012,أغسطس,"1,858,890"
2012,سبتمبر,"2,677,177"
2012,أكتوبر,"1,945,260"
2012,نوفمبر,"5,681,330"
2012,ديسمبر,"2,828,959"
2013,يناير,"2,458,301"
2013,فبراير,"1,147,963"
2013,مارس,"2,316,355"
2013,إبريل,"2,901,050"
2013,مايو,"1,744,702"
2013,يونيو,"2,602,271"
2013,يوليو,"1,963,454"
2013,أغسطس,"1,227,558"
2013,سبتمبر,"793,931"
2013,أكتوبر,"1,076,947"
2013,نوفمبر,"649,099"
2013,ديسمبر,"2,111,531"
2014,يناير,"815,805"
2014,فبراير,"1,311,999"
2014,مارس,"1,909,931"
2014,إبريل,"2,064,068"
2014,مايو,"1,360,932"
2014,يونيو,"1,669,641"
2014,يوليو,"1,405,743"
2014,أغسطس,"1,729,978"
2014,سبتمبر,"2,046,822"
2014,أكتوبر,"2,132,584"
2014,نوفمبر,"2,964,442"
2014,ديسمبر,"2,595,201"
2015,يناير,"2,902,112"
2015,فبراير,"3,286,015"
2015,مارس,"2,535,920"
2015,إبريل,"924,798"
2015,مايو,"1,477,825"
2015,يونيو,"2,208,422"
2015,يوليو,"1,650,672"
2015,أغسطس,"1,974,298"
2015,سبتمبر,"941,039"
2015,أكتوبر,"1,558,477"
2015,نوفمبر,"1,886,638"
2015,ديسمبر,"2,713,984"
2016,يناير,"2,308,834"
2016,فبراير,"2,776,533"
2016,مارس,"2,705,476"
2016,إبريل,"2,785,788"
2016,مايو,"3,658,767"
2016,يونيو,"1,995,131"
2016,يوليو,"804,499"
2016,أغسطس,"6,390,816"
2016,سبتمبر,"1,627,980"
2016,أكتوبر,"1,604,005"
2016,نوفمبر,"2,152,453"
2016,ديسمبر,"1,417,708"
2017,يناير,"10,042,448"
2017,فبراير,"1,725,326"
2017,مارس,"5,228,172"
2017,إبريل,"2,695,078"
2017,مايو,"2,835,730"
2017,يونيو,"3,899,049"
2017,يوليو,"3,352,720"
2017,أغسطس,"2,262,538"
2017,سبتمبر,"1,898,862"
2017,أكتوبر,"2,358,840"
2017,نوفمبر,"1,754,898"
2017,ديسمبر,"2,430,124"
2018,يناير,"2,710,033"
2018,فبراير,"3,426,802"
2018,مارس,"1,009,225"
2018,إبريل,"4,190,102"
2018,مايو,"3,700,232"
2018,يونيو,"2,404,126"
2018,يوليو,"2,498,710"
2018,أغسطس,"1,186,330"
2018,سبتمبر,"2,329,183"
2018,أكتوبر,"2,518,590"
2018,نوفمبر,"3,058,959"
2018,ديسمبر,"2,420,677"
2019,يناير,"2,712,876"
2019,فبراير,"2,855,819"
2019,مارس,"2,596,760"
2019,إبريل,"3,279,569"
2019,مايو,"11,983,736"
2019,يونيو,"2,781,926"
2019,يوليو,"2,764,048"
2019,أغسطس,"2,799,594"
2019,سبتمبر,"3,065,317"
2019,أكتوبر,"2,031,809"
2019,نوفمبر,"3,431,195"
2019,ديسمبر,"4,323,130"
2020,يناير,"2,513,010"
2020,فبراير,"3,778,646"
2020,مارس,"3,991,754"
2020,إبريل,"3,622,089"
2020,مايو,"11,862,076"
2020,يونيو,"2,613,254"
2020,يوليو,"1,525,590"
2020,أغسطس,"2,010,032"
2020,سبتمبر,"2,897,432"
2020,أكتوبر,"13,211,993"
2020,نوفمبر,"1,920,430"
2020,ديسمبر,"14,671,064"
2021,يناير,"21,821,408"
2021,فبراير,"10,754,005"
2021,مارس,"2,741,457"
2021,إبريل,"2,700,230"
2021,مايو,"3,991,313"
2021,يونيو,"5,199,159"
2021,يوليو,"3,296,420"
2021,أغسطس,"2,957,101"
2021,سبتمبر,"4,720,221"
2021,أكتوبر,"24,122,810"
2021,نوفمبر,"1,546,386"
2021,ديسمبر,"2,714,737"
2022,يناير,"2,246,619"
2022,فبراير,"2,997,596"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
