Item,Amount,Value
بنطلون رجالى من القطن غير مصنره,753.2,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,576.8,ألف دولار
فوط سفرة / بياضات قطن,396.1,ألف دولار
بصل وكرات بشوشه,179.8,ألف دولار
بذار (تقاوى)بطاطس طازجه اومبرده,147.2,ألف دولار
ملايات قطن مطبوعة,134.0,ألف دولار
ملايات سرير من ألياف نسجيه مخلوطه,120.6,ألف دولار
ملايات سرير من ألياف صناعيه,115.3,ألف دولار
فراوله محفوظه مؤقتا,80.3,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,61.9,ألف دولار
كاولين,48.3,ألف دولار
بازلياء خضراء,46.9,ألف دولار
بوصلات و أجهزة معرفة الإتجاهات,43.0,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,42.0,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,41.2,ألف دولار
خضروات مجمدة او مبردة,36.3,ألف دولار
برتقال طازج أو مجفف,32.7,ألف دولار
خضروات اخرى مجمده,27.7,ألف دولار
خبث على شكل آخر غيرحبيبات رمليه(متخلف من صناعه الحديد والصلب),27.6,ألف دولار
فاصولياخضراء و فول أخضر,25.0,ألف دولار
غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,24.1,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),24.0,ألف دولار
أغطية أرضيات نسجيه أخرى,23.0,ألف دولار
صلصات ومحضرات مماثله اخرى,21.7,ألف دولار
نسيج من الياف الزجاج,20.7,ألف دولار
غزل قطن مفرد أكثر من 85% قطن ممشط (29و714) (56و232)غير مهييء للبيع بالتجزئه,19.4,ألف دولار
خضروات بقليه اخرى,17.5,ألف دولار
طرشى),17.4,ألف دولار
ادوات أخرى من الزجاج العادى,11.2,ألف دولار
عصير خليط,11.0,ألف دولار
فراوله طازجه,9.8,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,7.7,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,6.3,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,6.0,ألف دولار
فواكه ?  اثمار محفوظه مؤقتا,4.6,ألف دولار
برتقال),2.9,ألف دولار
ردياتيرات,1.7,ألف دولار
مفروشات من أنسجه قطنيه مصنره,1.3,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,1.2,ألف دولار
محضرات كيميائيه للتشخيص المعملى,0.8,ألف دولار
الات للتقطير او لمصانع التكرير,0.6,ألف دولار
نجف و ثرايا كريستال و غيرها,0.5,ألف دولار
مصنوعات اخرى من زجاج لاغراض اخرى,0.3,ألف دولار
صديرى أو سويتر من ألياف صناعيه رجالى,0.3,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,0.2,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.1,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,0.1,ألف دولار
محضرات واصناف صيدليه اخر,0.0,ألف دولار
أجزاء غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,0.0,ألف دولار
