Year,Month,Export Amount
2012,يناير,"1,538,705"
2012,فبراير,"1,385,807"
2012,مارس,"1,446,945"
2012,إبريل,"2,339,514"
2012,مايو,"1,382,456"
2012,يونيو,"2,901,884"
2012,يوليو,"971,480"
2012,أغسطس,"813,918"
2012,سبتمبر,"1,434,829"
2012,أكتوبر,"992,154"
2012,نوفمبر,"689,706"
2012,ديسمبر,"1,908,509"
2013,يناير,"1,377,950"
2013,فبراير,"1,088,287"
2013,مارس,"1,211,748"
2013,إبريل,"1,417,463"
2013,مايو,"1,145,420"
2013,يونيو,"1,003,217"
2013,يوليو,"893,790"
2013,أغسطس,"721,438"
2013,سبتمبر,"826,867"
2013,أكتوبر,"1,055,489"
2013,نوفمبر,"613,979"
2013,ديسمبر,"1,265,249"
2014,يناير,"941,567"
2014,فبراير,"1,346,067"
2014,مارس,"1,176,316"
2014,إبريل,"881,353"
2014,مايو,"1,010,669"
2014,يونيو,"1,260,550"
2014,يوليو,"1,489,055"
2014,أغسطس,"1,791,660"
2014,سبتمبر,"1,742,049"
2014,أكتوبر,"1,649,840"
2014,نوفمبر,"974,043"
2014,ديسمبر,"875,228"
2015,يناير,"857,676"
2015,فبراير,"1,245,561"
2015,مارس,"1,041,317"
2015,إبريل,"1,277,333"
2015,مايو,"1,650,527"
2015,يونيو,"1,472,297"
2015,يوليو,"1,121,151"
2015,أغسطس,"1,209,842"
2015,سبتمبر,"1,364,502"
2015,أكتوبر,"1,058,007"
2015,نوفمبر,"982,702"
2015,ديسمبر,"1,218,163"
2016,يناير,"650,343"
2016,فبراير,"944,336"
2016,مارس,"1,049,154"
2016,إبريل,"1,440,351"
2016,مايو,"1,463,951"
2016,يونيو,"1,361,137"
2016,يوليو,"819,983"
2016,أغسطس,"681,299"
2016,سبتمبر,"923,996"
2016,أكتوبر,"832,708"
2016,نوفمبر,"667,266"
2016,ديسمبر,"885,644"
2017,يناير,"3,056,386"
2017,فبراير,"534,628"
2017,مارس,"941,454"
2017,إبريل,"979,691"
2017,مايو,"4,844,634"
2017,يونيو,"1,330,772"
2017,يوليو,"1,326,867"
2017,أغسطس,"1,003,077"
2017,سبتمبر,"591,031"
2017,أكتوبر,"1,251,200"
2017,نوفمبر,"854,135"
2017,ديسمبر,"1,363,925"
2018,يناير,"1,015,691"
2018,فبراير,"1,316,980"
2018,مارس,"976,032"
2018,إبريل,"1,435,077"
2018,مايو,"2,135,273"
2018,يونيو,"886,188"
2018,يوليو,"1,405,637"
2018,أغسطس,"1,447,038"
2018,سبتمبر,"883,816"
2018,أكتوبر,"1,214,134"
2018,نوفمبر,"664,030"
2018,ديسمبر,"854,688"
2019,يناير,"993,735"
2019,فبراير,"875,194"
2019,مارس,"1,453,870"
2019,إبريل,"1,085,929"
2019,مايو,"1,417,587"
2019,يونيو,"1,284,405"
2019,يوليو,"1,437,632"
2019,أغسطس,"1,118,628"
2019,سبتمبر,"1,172,494"
2019,أكتوبر,"796,501"
2019,نوفمبر,"18,139,712"
2019,ديسمبر,"743,996"
2020,يناير,"821,064"
2020,فبراير,"1,170,270"
2020,مارس,"549,787"
2020,إبريل,"233,081"
2020,مايو,"948,267"
2020,يونيو,"1,163,319"
2020,يوليو,"989,684"
2020,أغسطس,"751,105"
2020,سبتمبر,"903,121"
2020,أكتوبر,"577,493"
2020,نوفمبر,"748,800"
2020,ديسمبر,"1,033,616"
2021,يناير,"1,137,058"
2021,فبراير,"1,030,360"
2021,مارس,"1,464,313"
2021,إبريل,"590,591"
2021,مايو,"1,190,879"
2021,يونيو,"2,413,791"
2021,يوليو,"3,041,056"
2021,أغسطس,"984,702"
2021,سبتمبر,"864,694"
2021,أكتوبر,"1,226,331"
2021,نوفمبر,"566,668"
2021,ديسمبر,"1,848,682"
2022,يناير,"2,021,219"
2022,فبراير,"1,173,923"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
