Item,Amount,Value
بودره بولي ايثلين P.E.T,2.7,مليون دولار
مكعبات فسيفساء وسيراميك وما يماثلها مطلية بالمينا,196.0,ألف دولار
عجائن البوليثرين متنوعه,158.3,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,154.8,ألف دولار
ورق صحى( تواليت) بكر/ تشيو بكر / ورق خفيف,154.8,ألف دولار
اسمنت فوندو ..... الخ,93.6,ألف دولار
بيكربونات كالسيوم,89.6,ألف دولار
أحجار طبيعيه للمبانى مصقوله,79.4,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,75.7,ألف دولار
مرايا زجاجيه بدون اطر,63.4,ألف دولار
محضرات واصناف صيدليه اخر,57.6,ألف دولار
زجاج مسطح عادى سادة غير مسلح,47.3,ألف دولار
اقفال بأنواعها (اقفال اخرى من معادن عاديه),45.2,ألف دولار
بصل مجفف,42.1,ألف دولار
إسطوانات و أقراص للمصانع مصبوبه من حديد او صلب,36.4,ألف دولار
فراوله محفوظه مؤقتا,25.8,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,20.2,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,16.2,ألف دولار
