Year,Month,Export Amount
2012,يناير,"48,158"
2012,فبراير,"80,595"
2012,مارس,"77,357"
2012,إبريل,"257,614"
2012,مايو,"239,625"
2012,يونيو,"82,171"
2012,يوليو,"170,233"
2012,أغسطس,"43,180"
2012,سبتمبر,"159,013"
2012,أكتوبر,"164,780"
2012,نوفمبر,"145,189"
2012,ديسمبر,"179,187"
2013,يناير,"108,050"
2013,فبراير,"353,602"
2013,مارس,"190,740"
2013,إبريل,"316,478"
2013,مايو,"74,338"
2013,يونيو,"17,029"
2013,يوليو,"10,517"
2013,أغسطس,"31,076"
2013,سبتمبر,"124,546"
2013,أكتوبر,"95,599"
2013,نوفمبر,"139,153"
2013,ديسمبر,"165,083"
2014,يناير,"146,762"
2014,فبراير,"158,004"
2014,مارس,"410,036"
2014,إبريل,"427,426"
2014,مايو,"242,179"
2014,يونيو,"215,785"
2014,يوليو,"224,637"
2014,أغسطس,"475,571"
2014,سبتمبر,"609,703"
2014,أكتوبر,"221,585"
2014,نوفمبر,"118,437"
2014,ديسمبر,"140,172"
2015,يناير,"119,474"
2015,فبراير,"151,374"
2015,مارس,"237,200"
2015,إبريل,"313,193"
2015,مايو,"272,858"
2015,يونيو,"452,431"
2015,يوليو,"159,633"
2015,أغسطس,"130,247"
2015,سبتمبر,"130,226"
2015,أكتوبر,"279,063"
2015,نوفمبر,"177,933"
2015,ديسمبر,"16,513"
2016,يناير,"88,750"
2016,فبراير,"262,661"
2016,مارس,"355,437"
2016,إبريل,"204,753"
2016,مايو,"311,616"
2016,يونيو,"598,342"
2016,يوليو,"438,800"
2016,أغسطس,"441,679"
2016,سبتمبر,"197,681"
2016,أكتوبر,"244,846"
2016,نوفمبر,"448,597"
2016,ديسمبر,"135,145"
2017,يناير,"997,578"
2017,فبراير,"309,128"
2017,مارس,"340,278"
2017,إبريل,"355,071"
2017,مايو,"479,850"
2017,يونيو,"238,874"
2017,يوليو,"371,284"
2017,أغسطس,"403,913"
2017,سبتمبر,"244,041"
2017,أكتوبر,"910,452"
2017,نوفمبر,"659,930"
2017,ديسمبر,"427,133"
2018,يناير,"525,841"
2018,فبراير,"358,917"
2018,مارس,"540,258"
2018,إبريل,"1,134,022"
2018,مايو,"542,633"
2018,يونيو,"428,976"
2018,يوليو,"1,997,832"
2018,أغسطس,"754,750"
2018,سبتمبر,"1,377,197"
2018,أكتوبر,"885,717"
2018,نوفمبر,"519,605"
2018,ديسمبر,"384,099"
2019,يناير,"213,839"
2019,فبراير,"370,907"
2019,مارس,"466,643"
2019,إبريل,"746,857"
2019,مايو,"866,876"
2019,يونيو,"701,843"
2019,يوليو,"1,774,329"
2019,أغسطس,"396,485"
2019,سبتمبر,"1,199,815"
2019,أكتوبر,"574,511"
2019,نوفمبر,"378,206"
2019,ديسمبر,"728,371"
2020,يناير,"778,649"
2020,فبراير,"2,941,591"
2020,مارس,"669,072"
2020,إبريل,"497,604"
2020,مايو,"373,748"
2020,يونيو,"326,645"
2020,يوليو,"2,163,476"
2020,أغسطس,"860,797"
2020,سبتمبر,"879,457"
2020,أكتوبر,"927,554"
2020,نوفمبر,"1,275,133"
2020,ديسمبر,"1,859,736"
2021,يناير,"2,459,931"
2021,فبراير,"2,187,709"
2021,مارس,"936,475"
2021,إبريل,"1,824,413"
2021,مايو,"2,022,227"
2021,يونيو,"1,300,336"
2021,يوليو,"882,573"
2021,أغسطس,"2,432,502"
2021,سبتمبر,"2,097,173"
2021,أكتوبر,"1,165,240"
2021,نوفمبر,"2,126,891"
2021,ديسمبر,"2,885,745"
2022,يناير,"3,791,973"
2022,فبراير,"957,539"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
