Item,Amount,Value
مكسبات طعم ورائحه,16.1,مليون دولار
سلك نحاس اصفر,4.6,مليون دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,4.2,مليون دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,3.6,مليون دولار
بودره بولي ايثلين P.E.T,3.5,مليون دولار
بذور سمسم,3.3,مليون دولار
خميره جافه نشطه,3.2,مليون دولار
راتنجات يوريا,3.1,مليون دولار
قماش بارلون / نايلون,3.1,مليون دولار
استيك مشرب او مغطى او مغلف اكثر من 150 جم,3.1,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",2.4,مليون دولار
اجزاء من اجهزة اخرى من مدافىء ومواقد طهى,2.1,مليون دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,1.7,مليون دولار
سجاد من ألياف صناعيه أخرى,1.6,مليون دولار
اقمشة قطن خام أخرى أكثر من 85% قطن أكثر من200 جرام مطبوعه,1.5,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,1.4,مليون دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,1.3,مليون دولار
أحجار طبيعيه للمبانى مشقوقه,1.3,مليون دولار
امواس و شفرات للحلاقه,1.2,مليون دولار
حقائب و شنط من أنواع البلاستيك الأخرى,1.1,مليون دولار
أحجار طبيعيه للمبانى مصقوله,1.1,مليون دولار
موصلات كهربيه لا تزيد عن 80 فولت,1.0,مليون دولار
"غيرها من الواح , افرخ , رقائق,شرائط,شرائح من البلاستيك",994.2,ألف دولار
جلوكوز و عسل الجلوكوز,683.7,ألف دولار
مولت المحمص منه,656.2,ألف دولار
"لواح , افرخ من البلاستيك",613.0,ألف دولار
زجاج مسطح عادى سادة غير مسلح,564.9,ألف دولار
صودا كاويه,552.0,ألف دولار
إطارات السيارات النقل و الشاحنات,456.3,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,455.6,ألف دولار
غيرها من دنان وبراميل وصفائح وعلب واوعيه مماثله من الومنيوم,455.2,ألف دولار
سمن نباتى,451.9,ألف دولار
بطاطين مخلوطة من أنسجه أخرى,424.4,ألف دولار
بيكربونات كالسيوم,417.2,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,410.9,ألف دولار
أقمشه تحتوى على 85% بوليستر مصبوغه أو غير مصبوغه أخرى,386.9,ألف دولار
فيروسيليكون سبيكه 55%,385.0,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,361.9,ألف دولار
صناديق عرض وماشابه,335.9,ألف دولار
