Year,Month,Export Amount
2012,يناير,"26,387,854"
2012,فبراير,"30,157,761"
2012,مارس,"27,314,632"
2012,إبريل,"34,585,591"
2012,مايو,"39,651,530"
2012,يونيو,"38,962,699"
2012,يوليو,"26,852,051"
2012,أغسطس,"25,820,513"
2012,سبتمبر,"36,243,992"
2012,أكتوبر,"27,426,545"
2012,نوفمبر,"31,242,080"
2012,ديسمبر,"30,972,776"
2013,يناير,"33,934,210"
2013,فبراير,"46,160,968"
2013,مارس,"55,080,004"
2013,إبريل,"37,346,030"
2013,مايو,"48,139,723"
2013,يونيو,"46,502,279"
2013,يوليو,"42,260,522"
2013,أغسطس,"25,454,101"
2013,سبتمبر,"48,748,063"
2013,أكتوبر,"36,120,674"
2013,نوفمبر,"29,139,807"
2013,ديسمبر,"40,733,936"
2014,يناير,"42,411,415"
2014,فبراير,"46,145,638"
2014,مارس,"45,711,979"
2014,إبريل,"41,427,620"
2014,مايو,"51,600,058"
2014,يونيو,"57,279,939"
2014,يوليو,"35,624,832"
2014,أغسطس,"54,337,856"
2014,سبتمبر,"59,173,550"
2014,أكتوبر,"41,079,327"
2014,نوفمبر,"50,484,333"
2014,ديسمبر,"47,344,873"
2015,يناير,"32,624,007"
2015,فبراير,"42,670,772"
2015,مارس,"57,047,009"
2015,إبريل,"35,327,068"
2015,مايو,"47,922,904"
2015,يونيو,"37,810,082"
2015,يوليو,"25,990,343"
2015,أغسطس,"38,295,463"
2015,سبتمبر,"29,690,040"
2015,أكتوبر,"31,509,619"
2015,نوفمبر,"40,079,937"
2015,ديسمبر,"40,726,782"
2016,يناير,"23,623,242"
2016,فبراير,"49,815,849"
2016,مارس,"46,570,637"
2016,إبريل,"48,426,183"
2016,مايو,"48,834,640"
2016,يونيو,"40,024,508"
2016,يوليو,"27,414,183"
2016,أغسطس,"26,093,337"
2016,سبتمبر,"39,946,945"
2016,أكتوبر,"30,744,218"
2016,نوفمبر,"35,539,680"
2016,ديسمبر,"53,918,801"
2017,يناير,"120,832,332"
2017,فبراير,"24,557,667"
2017,مارس,"48,446,963"
2017,إبريل,"48,575,690"
2017,مايو,"47,160,471"
2017,يونيو,"38,034,564"
2017,يوليو,"29,747,912"
2017,أغسطس,"42,515,307"
2017,سبتمبر,"27,883,976"
2017,أكتوبر,"39,681,373"
2017,نوفمبر,"32,961,692"
2017,ديسمبر,"45,133,331"
2018,يناير,"34,429,334"
2018,فبراير,"44,829,011"
2018,مارس,"50,827,962"
2018,إبريل,"67,063,586"
2018,مايو,"55,527,463"
2018,يونيو,"54,496,960"
2018,يوليو,"56,501,541"
2018,أغسطس,"53,489,363"
2018,سبتمبر,"48,637,915"
2018,أكتوبر,"44,832,043"
2018,نوفمبر,"70,704,343"
2018,ديسمبر,"50,696,528"
2019,يناير,"49,491,004"
2019,فبراير,"47,900,375"
2019,مارس,"59,349,394"
2019,إبريل,"48,293,318"
2019,مايو,"52,329,281"
2019,يونيو,"33,688,494"
2019,يوليو,"37,574,798"
2019,أغسطس,"43,650,755"
2019,سبتمبر,"50,519,305"
2019,أكتوبر,"44,107,231"
2019,نوفمبر,"42,379,564"
2019,ديسمبر,"50,219,737"
2020,يناير,"40,340,686"
2020,فبراير,"42,583,458"
2020,مارس,"38,302,901"
2020,إبريل,"12,469,759"
2020,مايو,"22,233,081"
2020,يونيو,"61,248,349"
2020,يوليو,"54,095,633"
2020,أغسطس,"44,422,651"
2020,سبتمبر,"33,465,861"
2020,أكتوبر,"37,114,869"
2020,نوفمبر,"46,558,683"
2020,ديسمبر,"50,640,590"
2021,يناير,"49,959,596"
2021,فبراير,"66,126,941"
2021,مارس,"45,778,369"
2021,إبريل,"44,348,940"
2021,مايو,"43,512,770"
2021,يونيو,"55,275,208"
2021,يوليو,"35,905,723"
2021,أغسطس,"55,937,714"
2021,سبتمبر,"44,740,393"
2021,أكتوبر,"38,603,616"
2021,نوفمبر,"21,707,301"
2021,ديسمبر,"54,433,877"
2022,يناير,"58,577,723"
2022,فبراير,"37,712,062"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
