Year,Month,Export Amount
2012,يناير,"43,870"
2012,فبراير,"66,062"
2012,مارس,"57,563"
2012,إبريل,"143,296"
2012,مايو,"115,710"
2012,يونيو,"10,279"
2012,يوليو,"138,796"
2012,أغسطس,"232,392"
2012,سبتمبر,"125,179"
2012,أكتوبر,"114,854"
2012,نوفمبر,"105,474"
2012,ديسمبر,"65,952"
2013,يناير,"21,501"
2013,فبراير,"75,894"
2013,مارس,"207,501"
2013,إبريل,"231,493"
2013,مايو,"167,553"
2013,يونيو,"45,461"
2013,يوليو,"4,834"
2013,أغسطس,"83,111"
2013,سبتمبر,"89,234"
2013,أكتوبر,"233,396"
2013,نوفمبر,"505,766"
2013,ديسمبر,"187,539"
2014,يناير,"5,814"
2014,فبراير,"88,581"
2014,مارس,"190,879"
2014,إبريل,"182,538"
2014,مايو,"61,387"
2014,يونيو,"280,079"
2014,يوليو,"86,965"
2014,أغسطس,"107,598"
2014,سبتمبر,"376,488"
2014,أكتوبر,"112,165"
2014,نوفمبر,"37,752"
2014,ديسمبر,"209,102"
2015,يناير,"165,045"
2015,فبراير,"33,394"
2015,مارس,"28,806"
2015,إبريل,"16,903"
2015,مايو,"237,498"
2015,يونيو,"143,353"
2015,يوليو,"43,796"
2015,أغسطس,"75,258"
2015,سبتمبر,"75,374"
2015,أكتوبر,"179,589"
2015,نوفمبر,"46,656"
2015,ديسمبر,"20,600"
2016,يناير,"81,970"
2016,فبراير,"43,547"
2016,مارس,"6,838"
2016,إبريل,"50,504"
2016,مايو,"14,940"
2016,يونيو,"179,248"
2016,يوليو,"218,510"
2016,أغسطس,"261,109"
2016,سبتمبر,"277,681"
2016,أكتوبر,"152,962"
2016,نوفمبر,"44,331"
2016,ديسمبر,"108,220"
2017,يناير,"719,419"
2017,فبراير,"165,177"
2017,مارس,"273,482"
2017,إبريل,"179,665"
2017,مايو,"270,848"
2017,يونيو,"116,615"
2017,يوليو,"4,463,170"
2017,أغسطس,"136,345"
2017,سبتمبر,"387,415"
2017,أكتوبر,"279,348"
2017,نوفمبر,"310,587"
2017,ديسمبر,"107,035"
2018,يناير,"137,851"
2018,فبراير,"306,939"
2018,مارس,"266,782"
2018,إبريل,"271,910"
2018,مايو,"334,938"
2018,يونيو,"43,408"
2018,يوليو,"144,988"
2018,أغسطس,"566,683"
2018,سبتمبر,"954,612"
2018,أكتوبر,"538,948"
2018,نوفمبر,"343,350"
2018,ديسمبر,"1,030,325"
2019,يناير,"196,808"
2019,فبراير,"184,798"
2019,مارس,"317,157"
2019,إبريل,"132,259"
2019,مايو,"696,726"
2019,يونيو,"217,430"
2019,يوليو,"1,262,361"
2019,أغسطس,"160,785"
2019,سبتمبر,"380,654"
2019,أكتوبر,"389,990"
2019,نوفمبر,"163,308"
2019,ديسمبر,"357,011"
2020,يناير,"265,036"
2020,فبراير,"154,715"
2020,مارس,"204,236"
2020,إبريل,"109,355"
2020,مايو,"137,519"
2020,يونيو,"105,278"
2020,يوليو,"73,247"
2020,أغسطس,"230,692"
2020,سبتمبر,"641,948"
2020,أكتوبر,"249,951"
2020,نوفمبر,"649,634"
2020,ديسمبر,"2,918,677"
2021,يناير,"1,473,458"
2021,فبراير,"1,492,844"
2021,مارس,"2,083,636"
2021,إبريل,"356,612"
2021,مايو,"740,819"
2021,يونيو,"1,041,452"
2021,يوليو,"338,500"
2021,أغسطس,"792,488"
2021,سبتمبر,"981,883"
2021,أكتوبر,"2,400,250"
2021,نوفمبر,"601,146"
2021,ديسمبر,"1,209,480"
2022,يناير,"399,199"
2022,فبراير,"155,507"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
