Year,Month,Export Amount
2012,يناير,"359,629"
2012,فبراير,"625,740"
2012,مارس,"1,211,452"
2012,إبريل,"364,501"
2012,مايو,"995,949"
2012,يونيو,"1,041,860"
2012,يوليو,"112,176"
2012,أغسطس,"244,407"
2012,سبتمبر,"843,556"
2012,أكتوبر,"864,437"
2012,نوفمبر,"1,320,925"
2012,ديسمبر,"1,675,444"
2013,يناير,"300,507"
2013,فبراير,"283,709"
2013,مارس,"1,105,974"
2013,إبريل,"854,030"
2013,مايو,"350,801"
2013,يونيو,"375,942"
2013,يوليو,"102,917"
2013,أغسطس,"480,837"
2013,سبتمبر,"873,170"
2013,أكتوبر,"271,568"
2013,نوفمبر,"854,621"
2013,ديسمبر,"1,112,966"
2014,يناير,"413,346"
2014,فبراير,"525,343"
2014,مارس,"708,086"
2014,إبريل,"510,777"
2014,مايو,"954,620"
2014,يونيو,"287,140"
2014,يوليو,"1,903,903"
2014,أغسطس,"470,086"
2014,سبتمبر,"118,856"
2014,أكتوبر,"1,104,825"
2014,نوفمبر,"370,865"
2014,ديسمبر,"588,330"
2015,يناير,"692,215"
2015,فبراير,"294,413"
2015,مارس,"381,561"
2015,إبريل,"740,618"
2015,مايو,"709,065"
2015,يونيو,"18,138"
2015,يوليو,"86,665"
2015,أغسطس,"126,262"
2015,سبتمبر,"80,333"
2015,أكتوبر,"609,660"
2015,نوفمبر,"117,564"
2015,ديسمبر,"88,200"
2016,يناير,"258,240"
2016,فبراير,"658,774"
2016,مارس,0
2016,إبريل,"5,251"
2016,مايو,"367,922"
2016,يونيو,"101,942"
2016,يوليو,"110,748"
2016,أغسطس,"224,276"
2016,سبتمبر,"642,814"
2016,أكتوبر,"35,600"
2016,نوفمبر,"21,077"
2016,ديسمبر,"429,725"
2017,يناير,"270,871"
2017,فبراير,"80,159"
2017,مارس,0
2017,إبريل,"136,402"
2017,مايو,"52,105"
2017,يونيو,"53,686"
2017,يوليو,"568,800"
2017,أغسطس,"711,813"
2017,سبتمبر,"6,122"
2017,أكتوبر,"1,458,185"
2017,نوفمبر,"2,938,263"
2017,ديسمبر,"52,655"
2018,يناير,"1,485,682"
2018,فبراير,"1,798,308"
2018,مارس,"1,840,903"
2018,إبريل,"109,850"
2018,مايو,"1,979,932"
2018,يونيو,"409,444"
2018,يوليو,"1,981,728"
2018,أغسطس,"178,381"
2018,سبتمبر,"1,464,925"
2018,أكتوبر,"1,741,514"
2018,نوفمبر,"1,201,439"
2018,ديسمبر,"28,000"
2019,يناير,"1,730,618"
2019,فبراير,"3,319,333"
2019,مارس,"93,986"
2019,إبريل,"8,703,421"
2019,مايو,"9,837,782"
2019,يونيو,"7,784,536"
2019,يوليو,"14,410,939"
2019,أغسطس,"11,027,624"
2019,سبتمبر,"10,692,899"
2019,أكتوبر,"12,821,492"
2019,نوفمبر,"9,260,920"
2019,ديسمبر,"8,558,536"
2020,يناير,"11,002,946"
2020,فبراير,"10,033,633"
2020,مارس,"8,061,940"
2020,إبريل,"7,547,979"
2020,مايو,"5,154,264"
2020,يونيو,"14,780,531"
2020,يوليو,"2,210,867"
2020,أغسطس,"2,514,206"
2020,سبتمبر,"1,982,336"
2020,أكتوبر,"2,128,954"
2020,نوفمبر,"2,721,081"
2020,ديسمبر,"8,310"
2021,يناير,"38,130"
2021,فبراير,"2,304,797"
2021,مارس,"281,460"
2021,إبريل,"40,208"
2021,مايو,"440,600"
2021,يونيو,"1,081,465"
2021,يوليو,"5,350"
2021,أغسطس,"136,908"
2021,سبتمبر,"1,345,913"
2021,أكتوبر,"36,000"
2021,نوفمبر,0
2021,ديسمبر,"106,550"
2022,يناير,"156,465"
2022,فبراير,"1,900"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
