Item,Amount,Value
غاز طبيعى فى صوره سائله,191.9,مليون دولار
بترول خام,60.0,مليون دولار
ألواح حديد مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم و بسمك أقل من 3 مم,21.8,مليون دولار
الواح حديد مسحوبة على الساخن فى رولات بعرض اكبر من 600مم وبسمك اكبر من 4.75 مم,20.5,مليون دولار
نشادر ذائب,10.0,مليون دولار
سماد يوريا أو اسمده ازوتيه اخرى,6.7,مليون دولار
,6.7,مليون دولار
كحول الميثيل,6.4,مليون دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),6.3,مليون دولار
قمصان رجالى من الياف أخرى غير مصنره,6.2,مليون دولار
الومنيوم غير مشغول و على هيئة سبائك,5.9,مليون دولار
بوليمرات الإيثيلين,5.8,مليون دولار
ألواح حديد زنك مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,5.6,مليون دولار
بودره بولي ايثلين P.E.T,4.0,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",3.9,مليون دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,3.6,مليون دولار
زجاج بللور وزجاج ملون أو زجاج مسطح عادى سادة غير مسلح,3.0,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,2.9,مليون دولار
بنطلون حريمى من القطن غير مصنره,2.2,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,2.1,مليون دولار
بنطلون رجالى من القطن غير مصنره,2.1,مليون دولار
قمصان رجالى من الياف صناعيه غير مصنره,2.0,مليون دولار
إطارات السيارات النقل و الشاحنات,1.9,مليون دولار
سماد سلفات النوشادر (سماد كبريتات النشادر),1.9,مليون دولار
زيتون مخلل,1.8,مليون دولار
حبات  (P.P) بولي بروبلين,1.6,مليون دولار
قدد من الالومنيوم مستطيلة الشكل,1.5,مليون دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,1.5,مليون دولار
"لواح , افرخ من البلاستيك",1.5,مليون دولار
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,1.5,مليون دولار
بطاطس طازجه اومبرده أخرى,1.4,مليون دولار
بنطلون رجالى من الياف صناعيه غير مصنره,1.3,مليون دولار
حمامات و بانيوهات و أحواض من البلاستيك,1.3,مليون دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,1.2,مليون دولار
خضروات اخرى مجمده,1.1,مليون دولار
بلوزه حريمى من الياف صناعيه غير مصنره,1.1,مليون دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,1.1,مليون دولار
نسيج من الياف الزجاج,1.0,مليون دولار
برغل وسميد من حنطة القمح,1.0,مليون دولار
ملابس المطر الداخليه رجالى بصفة عامه,872.5,ألف دولار
بودره بولي فنيل كلوريد  P.V.S,855.0,ألف دولار
كاولين,783.2,ألف دولار
اطقم حمامات / بياضات متنوعه,749.0,ألف دولار
جاكت رجالى من الصوف غير مصنره,738.8,ألف دولار
ملابس أخرى من أقمشه نسجيه أخرى رجالى,722.2,ألف دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,721.7,ألف دولار
سلك الومنيوم قطر اقل من 7 ميلليمتر,699.7,ألف دولار
بودرة صلب,694.4,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,658.3,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,650.7,ألف دولار
فيروسيليكون سبيكه 55%,627.2,ألف دولار
نباتات طبيه أخرى,603.0,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,596.3,ألف دولار
بذور سمسم,580.0,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,540.2,ألف دولار
زيوت عطرية أخرى,523.1,ألف دولار
ملايات السرير أخرى,501.5,ألف دولار
مصارين ومثانات ومعد حيوانات (غير الاسماك) بكاملهااواجزاء منها,476.3,ألف دولار
نشا ذره,451.1,ألف دولار
خميره جافه نشطه,447.2,ألف دولار
لوحات توزيع كهرباء لفولت يزيد عن 1000 فولت  للمصانع,439.4,ألف دولار
بنطلون حريمى من الياف صناعيه غير مصنره,434.8,ألف دولار
سلك اسوار,379.8,ألف دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام من غزل مصبوغ,361.8,ألف دولار
اشكال مسطحةاخرى ومن اصناف ذاتية اللصق من لدائن اصطناعية,357.8,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,349.7,ألف دولار
سجادوغيره من اغطيه الارضيات النسجيه من مواد نسجيه تركيبيه اواصطناعيه,341.9,ألف دولار
اثاث معدنى اخر,295.7,ألف دولار
زيتون محفوظ مؤقتا وغير صالح للاستهلاك المباشر,270.3,ألف دولار
أغطية أرضيات نسجيه أخرى,246.1,ألف دولار
شحوم نباتيه,245.0,ألف دولار
خيوط من البوليستر المستمر غير مسرح أو ممشط,237.0,ألف دولار
ملايات سرير من ألياف نسجيه مخلوطه,231.1,ألف دولار
مولاس قصب السكر و عسل اسود,218.5,ألف دولار
أحجار طبيعيه للمبانى مصقوله,214.6,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),206.3,ألف دولار
اجهزة كهربائيه حراريه اخرى,206.0,ألف دولار
اقمشة تحتوى على 85% بوليستر غير مزخرف,203.7,ألف دولار
راتنجات الكيديه,192.9,ألف دولار
إسطوانات و أقراص للمصانع مصبوبه من حديد او صلب,188.4,ألف دولار
مواسير و أنابيب من الصلب أخرى,186.3,ألف دولار
قطع من ملابس جاهزه,175.3,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) (56و232)غير مهييء للبيع بالتجزئه,173.3,ألف دولار
فول بقلى (فول خيل),169.6,ألف دولار
(فوندى) وجه حذاء طبيعى او صناعى,163.4,ألف دولار
فراوله محفوظه مؤقتا,163.0,ألف دولار
صمامات وما شابه لم تذكر فى مكان اخر,162.0,ألف دولار
غزل قطن متعدد اكثر من 85% قطن ممشط (83.33) (120) غير مهيىء للبيع بالتجزئة,161.5,ألف دولار
جاكت رجالى من الياف نسجيه أخرى غير مصنره,136.9,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,135.1,ألف دولار
صوف توبس غير منزوع الرائحه,134.9,ألف دولار
ورنيشات قاعدتها P.V.A,132.9,ألف دولار
ادوات منزليه من الالومنيوم خاصه بالمطبخ,128.3,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,126.4,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,122.8,ألف دولار
بلوزه حريمى من القطن غير مصنره,122.1,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,119.0,ألف دولار
زجاج مسطح عادى سادة غير مسلح,116.1,ألف دولار
بطاطا طازجه أو مجففه,114.2,ألف دولار
غزل قطن مفرد أكثر من 85% قطن ممشط (31و192) (56و232)غير مهييء للبيع بالتجزئه,107.3,ألف دولار
غزل كتان متعدد مسرح,104.5,ألف دولار
أجزاء أجهزة كهربيه لها و ظيفة واحده,98.9,ألف دولار
ادوات للمائدة والمطبخ بورسلين,89.0,ألف دولار
غيرها من مصنوعات اخرى مصبوبه من حديد او صلب,87.5,ألف دولار
ادوات أخرى من الزجاج العادى,86.2,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,82.7,ألف دولار
,81.5,ألف دولار
غيرها من انواع الغراء واللواصق,78.2,ألف دولار
