Year,Month,Export Amount
2012,يناير,"74,035,851"
2012,فبراير,"132,162,249"
2012,مارس,"77,743,669"
2012,إبريل,"66,451,247"
2012,مايو,"71,042,436"
2012,يونيو,"53,187,423"
2012,يوليو,"34,973,469"
2012,أغسطس,"34,450,523"
2012,سبتمبر,"47,559,003"
2012,أكتوبر,"44,685,488"
2012,نوفمبر,"65,675,875"
2012,ديسمبر,"63,703,174"
2013,يناير,"42,552,877"
2013,فبراير,"43,718,800"
2013,مارس,"60,739,648"
2013,إبريل,"51,688,650"
2013,مايو,"57,128,294"
2013,يونيو,"64,877,573"
2013,يوليو,"42,128,297"
2013,أغسطس,"40,862,953"
2013,سبتمبر,"45,244,932"
2013,أكتوبر,"42,252,245"
2013,نوفمبر,"33,466,977"
2013,ديسمبر,"58,173,889"
2014,يناير,"53,442,629"
2014,فبراير,"52,670,686"
2014,مارس,"50,140,535"
2014,إبريل,"68,880,883"
2014,مايو,"49,094,044"
2014,يونيو,"53,766,147"
2014,يوليو,"41,447,786"
2014,أغسطس,"39,684,857"
2014,سبتمبر,"48,770,371"
2014,أكتوبر,"41,277,302"
2014,نوفمبر,"43,786,050"
2014,ديسمبر,"46,240,725"
2015,يناير,"37,019,411"
2015,فبراير,"36,186,674"
2015,مارس,"54,639,783"
2015,إبريل,"49,748,055"
2015,مايو,"55,853,652"
2015,يونيو,"31,049,279"
2015,يوليو,"31,413,660"
2015,أغسطس,"31,841,028"
2015,سبتمبر,"22,788,342"
2015,أكتوبر,"27,526,948"
2015,نوفمبر,"26,562,218"
2015,ديسمبر,"50,410,494"
2016,يناير,"26,962,761"
2016,فبراير,"39,046,594"
2016,مارس,"44,592,595"
2016,إبريل,"46,629,095"
2016,مايو,"37,917,780"
2016,يونيو,"37,602,783"
2016,يوليو,"30,010,835"
2016,أغسطس,"35,046,726"
2016,سبتمبر,"31,135,086"
2016,أكتوبر,"34,192,428"
2016,نوفمبر,"49,949,940"
2016,ديسمبر,"83,210,554"
2017,يناير,"225,081,709"
2017,فبراير,"80,633,854"
2017,مارس,"69,433,264"
2017,إبريل,"62,432,334"
2017,مايو,"85,349,298"
2017,يونيو,"58,198,255"
2017,يوليو,"64,422,438"
2017,أغسطس,"70,569,662"
2017,سبتمبر,"55,460,294"
2017,أكتوبر,"74,431,270"
2017,نوفمبر,"59,425,758"
2017,ديسمبر,"70,716,971"
2018,يناير,"63,006,426"
2018,فبراير,"67,548,999"
2018,مارس,"58,847,573"
2018,إبريل,"63,352,176"
2018,مايو,"62,260,330"
2018,يونيو,"74,770,773"
2018,يوليو,"65,013,715"
2018,أغسطس,"53,201,040"
2018,سبتمبر,"62,992,920"
2018,أكتوبر,"70,374,305"
2018,نوفمبر,"49,554,184"
2018,ديسمبر,"66,688,620"
2019,يناير,"66,943,323"
2019,فبراير,"62,626,456"
2019,مارس,"60,681,848"
2019,إبريل,"111,622,002"
2019,مايو,"91,725,556"
2019,يونيو,"83,687,158"
2019,يوليو,"52,196,462"
2019,أغسطس,"53,749,427"
2019,سبتمبر,"50,804,825"
2019,أكتوبر,"62,268,305"
2019,نوفمبر,"119,363,761"
2019,ديسمبر,"55,670,543"
2020,يناير,"98,013,033"
2020,فبراير,"94,048,833"
2020,مارس,"113,308,350"
2020,إبريل,"42,376,589"
2020,مايو,"33,887,351"
2020,يونيو,"44,082,325"
2020,يوليو,"43,843,886"
2020,أغسطس,"43,127,098"
2020,سبتمبر,"48,152,471"
2020,أكتوبر,"67,367,448"
2020,نوفمبر,"76,303,718"
2020,ديسمبر,"63,990,994"
2021,يناير,"72,927,569"
2021,فبراير,"56,793,649"
2021,مارس,"158,761,704"
2021,إبريل,"70,497,577"
2021,مايو,"174,250,128"
2021,يونيو,"118,905,510"
2021,يوليو,"155,541,023"
2021,أغسطس,"132,119,349"
2021,سبتمبر,"161,378,773"
2021,أكتوبر,"240,795,422"
2021,نوفمبر,"271,319,165"
2021,ديسمبر,"152,902,463"
2022,يناير,"268,703,545"
2022,فبراير,"193,240,267"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
