Year,Month,Export Amount
2012,يناير,"412,127"
2012,فبراير,"175,936"
2012,مارس,"300,527"
2012,إبريل,"368,798"
2012,مايو,"322,710"
2012,يونيو,"395,656"
2012,يوليو,"273,908"
2012,أغسطس,"590,350"
2012,سبتمبر,"368,103"
2012,أكتوبر,"468,284"
2012,نوفمبر,"183,124"
2012,ديسمبر,"377,873"
2013,يناير,"196,630"
2013,فبراير,"630,263"
2013,مارس,"679,907"
2013,إبريل,"413,244"
2013,مايو,"159,365"
2013,يونيو,"73,086"
2013,يوليو,"285,966"
2013,أغسطس,"176,639"
2013,سبتمبر,"315,507"
2013,أكتوبر,"228,568"
2013,نوفمبر,"83,372"
2013,ديسمبر,"150,651"
2014,يناير,"386,911"
2014,فبراير,"358,637"
2014,مارس,"464,524"
2014,إبريل,"162,759"
2014,مايو,"365,116"
2014,يونيو,"347,995"
2014,يوليو,"407,768"
2014,أغسطس,"109,036"
2014,سبتمبر,"209,511"
2014,أكتوبر,"237,510"
2014,نوفمبر,"104,895"
2014,ديسمبر,"146,377"
2015,يناير,"222,139"
2015,فبراير,"246,427"
2015,مارس,"295,844"
2015,إبريل,"158,706"
2015,مايو,"344,702"
2015,يونيو,"30,554"
2015,يوليو,"250,556"
2015,أغسطس,"350,851"
2015,سبتمبر,"128,124"
2015,أكتوبر,"206,333"
2015,نوفمبر,"218,583"
2015,ديسمبر,"242,092"
2016,يناير,"385,807"
2016,فبراير,"486,247"
2016,مارس,"421,810"
2016,إبريل,"287,479"
2016,مايو,"221,930"
2016,يونيو,"270,482"
2016,يوليو,"309,491"
2016,أغسطس,"215,853"
2016,سبتمبر,"355,474"
2016,أكتوبر,"219,060"
2016,نوفمبر,"344,338"
2016,ديسمبر,"111,728"
2017,يناير,"1,763,406"
2017,فبراير,"579,314"
2017,مارس,"137,630"
2017,إبريل,"421,478"
2017,مايو,"513,625"
2017,يونيو,"277,659"
2017,يوليو,"398,041"
2017,أغسطس,"661,968"
2017,سبتمبر,"317,002"
2017,أكتوبر,"238,020"
2017,نوفمبر,"473,013"
2017,ديسمبر,"526,563"
2018,يناير,"590,536"
2018,فبراير,"722,632"
2018,مارس,"621,239"
2018,إبريل,"606,011"
2018,مايو,"524,349"
2018,يونيو,"593,019"
2018,يوليو,"357,287"
2018,أغسطس,"367,340"
2018,سبتمبر,"393,741"
2018,أكتوبر,"710,873"
2018,نوفمبر,"608,034"
2018,ديسمبر,"376,039"
2019,يناير,"367,974"
2019,فبراير,"512,864"
2019,مارس,"465,101"
2019,إبريل,"263,168"
2019,مايو,"436,972"
2019,يونيو,"579,288"
2019,يوليو,"274,697"
2019,أغسطس,"584,696"
2019,سبتمبر,"228,109"
2019,أكتوبر,"459,118"
2019,نوفمبر,"235,522"
2019,ديسمبر,"595,930"
2020,يناير,"504,119"
2020,فبراير,"144,727"
2020,مارس,"238,845"
2020,إبريل,"90,085"
2020,مايو,"149,206"
2020,يونيو,"305,953"
2020,يوليو,"265,119"
2020,أغسطس,"219,787"
2020,سبتمبر,"323,603"
2020,أكتوبر,"247,215"
2020,نوفمبر,"211,779"
2020,ديسمبر,"133,884"
2021,يناير,"350,640"
2021,فبراير,"336,773"
2021,مارس,"571,146"
2021,إبريل,"581,861"
2021,مايو,"277,534"
2021,يونيو,"555,669"
2021,يوليو,"343,324"
2021,أغسطس,"907,490"
2021,سبتمبر,"464,474"
2021,أكتوبر,"314,560"
2021,نوفمبر,"83,663"
2021,ديسمبر,"667,283"
2022,يناير,"446,540"
2022,فبراير,"805,319"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
