Item,Amount,Value
مكسبات طعم ورائحه,4.6,مليون دولار
صابون فى شكل عيدان لاستعمالات غير الزينة مثل(صابون خام),2.1,مليون دولار
سلك نحاس اصفر,1.3,مليون دولار
,610.5,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,356.4,ألف دولار
ورنيشات قاعدتها P.V.A,344.7,ألف دولار
بوليمرات اسيتات الفينيل (محلول مائى),328.6,ألف دولار
سدادات معدنيه,295.4,ألف دولار
محضرات واصناف صيدليه اخر,282.8,ألف دولار
غيرها من صفائح والواح وشرائط وقدد من رصاص,184.5,ألف دولار
تنر (تنر عضوى عادى او مخصوص),170.1,ألف دولار
محضرات غذائيه اخرى,169.0,ألف دولار
اسلاك نحاس معزوله بالبلاستيك والقطن أو بالحرير الزجاجى,161.4,ألف دولار
بصل مجفف,159.2,ألف دولار
كلف دانتيل ? أقمشه دانتيل من القطن,159.0,ألف دولار
صابون معطر تواليت,150.6,ألف دولار
سجاد من ألياف صناعيه أخرى,134.6,ألف دولار
برتقال),110.8,ألف دولار
خيط حياكه من ألياف صناعيه,102.0,ألف دولار
عصير خليط,94.7,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,94.6,ألف دولار
غاز الكلور,90.0,ألف دولار
الواح و شرائط  سبائك الومنيوم لا تزيد عن 2 مم,83.3,ألف دولار
ملفات صندوقية /اكلاسيرات صندوقيه,83.1,ألف دولار
شحوم نباتيه,68.2,ألف دولار
ملح غير صالح للطعام و ملح طعام,48.9,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,38.0,ألف دولار
سوست معدنيه للملابس,36.8,ألف دولار
مجففات محضره,34.2,ألف دولار
خميره جافه نشطه,29.4,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,27.0,ألف دولار
يوسفى طازج أو مجفف,23.0,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,21.1,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),20.7,ألف دولار
حمص مجفف ومعبأ,16.7,ألف دولار
برتقال طازج أو مجفف,13.4,ألف دولار
طعام من حبوب غير محمصة ومحمصة,12.8,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,11.9,ألف دولار
اجزاء ولوازم سيارات اخرى,9.1,ألف دولار
زجاج ابيض مشطوف,6.5,ألف دولار
مواد لاصقه قاعدتها مطاط اوبلاستيك(بما فى ذلك الراتنجات الاصطناعيه(غير  مهيأه للبيع بالتجزئه),5.7,ألف دولار
"لواح , افرخ من البلاستيك",4.4,ألف دولار
رقائق الومنيوم غير مشغوله,4.3,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,3.7,ألف دولار
مكعبات فسيفساء وسيراميك وما يماثلها مطلية بالمينا,3.6,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,3.3,ألف دولار
ادوات للمائدة والمطبخ بورسلين,2.6,ألف دولار
حجاب و شيلان و كوفيات من القطن,2.5,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,2.4,ألف دولار
غيرها من المربى,2.1,ألف دولار
حجاب و شيلان و كوفيات من الحرير,2.0,ألف دولار
اقمشه مزوده من نسيج اخرى,2.0,ألف دولار
ملابس كهنه و قديمه,1.6,ألف دولار
أقمشه تحتوى على 85% إكليريك مستمره أخرى,1.1,ألف دولار
غيرها من معدات تجميد ومضخات يعمل بالضغط,0.9,ألف دولار
لفه ورق مقطرن (او ورق مقطرن غير مقوى بلاصق),0.2,ألف دولار
تابلوهات فنيه,0.1,ألف دولار
مضخات أخرى,0.1,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من صوف او شعر الحيوانات عقدى,0.1,ألف دولار
