Year,Month,Export Amount
2012,يناير,"3,823,771"
2012,فبراير,"2,935,608"
2012,مارس,"6,617,112"
2012,إبريل,"5,560,823"
2012,مايو,"5,103,349"
2012,يونيو,"4,095,213"
2012,يوليو,"3,865,674"
2012,أغسطس,"3,952,687"
2012,سبتمبر,"6,002,726"
2012,أكتوبر,"2,995,826"
2012,نوفمبر,"4,858,011"
2012,ديسمبر,"4,935,240"
2013,يناير,"3,376,512"
2013,فبراير,"3,133,819"
2013,مارس,"8,990,669"
2013,إبريل,"9,286,095"
2013,مايو,"7,350,195"
2013,يونيو,"7,694,971"
2013,يوليو,"7,633,512"
2013,أغسطس,"6,202,002"
2013,سبتمبر,"9,313,053"
2013,أكتوبر,"6,561,287"
2013,نوفمبر,"7,462,459"
2013,ديسمبر,"7,223,025"
2014,يناير,"6,802,912"
2014,فبراير,"7,030,959"
2014,مارس,"7,091,358"
2014,إبريل,"6,163,132"
2014,مايو,"9,146,220"
2014,يونيو,"11,801,286"
2014,يوليو,"4,741,514"
2014,أغسطس,"10,558,299"
2014,سبتمبر,"4,886,338"
2014,أكتوبر,"6,674,092"
2014,نوفمبر,"9,941,360"
2014,ديسمبر,"12,518,719"
2015,يناير,"8,746,750"
2015,فبراير,"7,857,615"
2015,مارس,"9,537,673"
2015,إبريل,"8,606,213"
2015,مايو,"15,077,457"
2015,يونيو,"10,403,412"
2015,يوليو,"9,397,474"
2015,أغسطس,"15,409,435"
2015,سبتمبر,"7,808,353"
2015,أكتوبر,"7,500,062"
2015,نوفمبر,"8,501,044"
2015,ديسمبر,"9,413,971"
2016,يناير,"10,557,483"
2016,فبراير,"12,376,539"
2016,مارس,"9,855,040"
2016,إبريل,"11,024,991"
2016,مايو,"12,665,199"
2016,يونيو,"10,508,515"
2016,يوليو,"10,630,722"
2016,أغسطس,"9,916,167"
2016,سبتمبر,"8,024,154"
2016,أكتوبر,"8,630,155"
2016,نوفمبر,"7,285,753"
2016,ديسمبر,"6,190,488"
2017,يناير,"32,344,334"
2017,فبراير,"5,132,714"
2017,مارس,"13,537,958"
2017,إبريل,"12,881,719"
2017,مايو,"14,868,032"
2017,يونيو,"5,798,331"
2017,يوليو,"7,219,940"
2017,أغسطس,"11,398,278"
2017,سبتمبر,"4,510,839"
2017,أكتوبر,"8,153,471"
2017,نوفمبر,"8,451,622"
2017,ديسمبر,"10,931,344"
2018,يناير,"7,378,529"
2018,فبراير,"14,484,841"
2018,مارس,"22,303,405"
2018,إبريل,"32,946,662"
2018,مايو,"13,321,588"
2018,يونيو,"6,685,807"
2018,يوليو,"7,279,007"
2018,أغسطس,"4,912,880"
2018,سبتمبر,"9,313,628"
2018,أكتوبر,"10,763,572"
2018,نوفمبر,"17,355,154"
2018,ديسمبر,"7,817,878"
2019,يناير,"7,609,531"
2019,فبراير,"10,165,064"
2019,مارس,"11,461,824"
2019,إبريل,"7,436,458"
2019,مايو,"11,339,618"
2019,يونيو,"9,963,720"
2019,يوليو,"14,828,506"
2019,أغسطس,"11,059,812"
2019,سبتمبر,"14,842,977"
2019,أكتوبر,"7,839,343"
2019,نوفمبر,"16,599,617"
2019,ديسمبر,"12,151,437"
2020,يناير,"17,010,921"
2020,فبراير,"7,487,327"
2020,مارس,"11,200,356"
2020,إبريل,"9,268,373"
2020,مايو,"3,198,073"
2020,يونيو,"4,780,552"
2020,يوليو,"5,977,604"
2020,أغسطس,"8,673,849"
2020,سبتمبر,"3,793,919"
2020,أكتوبر,"5,751,107"
2020,نوفمبر,"8,072,348"
2020,ديسمبر,"2,975,574"
2021,يناير,"5,890,182"
2021,فبراير,"7,979,073"
2021,مارس,"7,995,093"
2021,إبريل,"7,706,726"
2021,مايو,"8,415,816"
2021,يونيو,"8,164,266"
2021,يوليو,"10,844,319"
2021,أغسطس,"11,171,714"
2021,سبتمبر,"11,092,596"
2021,أكتوبر,"13,338,192"
2021,نوفمبر,"2,768,827"
2021,ديسمبر,"8,380,073"
2022,يناير,"7,935,032"
2022,فبراير,"6,934,972"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
