Item,Amount,Value
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,982.3,ألف دولار
برتقال طازج أو مجفف,923.2,ألف دولار
أغطية أرضيات نسجيه أخرى,386.0,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,304.0,ألف دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اكبر من0.5 مم واقل من 1مم,272.5,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,263.4,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,189.2,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,176.9,ألف دولار
راتنجات الكيديه,155.9,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,110.9,ألف دولار
بصل مجفف,67.0,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",55.9,ألف دولار
مخاليط شحوم حيوانيه,49.4,ألف دولار
سجاد نايلون آخر,41.6,ألف دولار
شعر كتان خام,9.5,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,3.7,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,3.0,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,2.4,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,1.1,ألف دولار
كتب و كتيبات مطبوعه وان كانت مصوره,0.1,ألف دولار
