Year,Month,Export Amount
2012,يناير,"3,396,204"
2012,فبراير,"1,248,614"
2012,مارس,"1,858,317"
2012,إبريل,"738,445"
2012,مايو,"1,449,821"
2012,يونيو,"1,616,993"
2012,يوليو,"1,679,285"
2012,أغسطس,"494,601"
2012,سبتمبر,"601,317"
2012,أكتوبر,"1,244,121"
2012,نوفمبر,"915,370"
2012,ديسمبر,"3,038,951"
2013,يناير,"3,210,775"
2013,فبراير,"1,476,757"
2013,مارس,"1,946,477"
2013,إبريل,"1,623,993"
2013,مايو,"944,349"
2013,يونيو,"964,974"
2013,يوليو,"599,959"
2013,أغسطس,"768,590"
2013,سبتمبر,"808,176"
2013,أكتوبر,"730,773"
2013,نوفمبر,"778,674"
2013,ديسمبر,"3,155,286"
2014,يناير,"3,956,056"
2014,فبراير,"2,333,775"
2014,مارس,"1,193,846"
2014,إبريل,"445,831"
2014,مايو,"418,892"
2014,يونيو,"697,312"
2014,يوليو,"969,429"
2014,أغسطس,"754,289"
2014,سبتمبر,"207,147"
2014,أكتوبر,"294,542"
2014,نوفمبر,"1,056,213"
2014,ديسمبر,"2,841,255"
2015,يناير,"2,897,767"
2015,فبراير,"1,174,846"
2015,مارس,"966,502"
2015,إبريل,"1,139,158"
2015,مايو,"891,427"
2015,يونيو,"1,059,545"
2015,يوليو,"917,610"
2015,أغسطس,"1,597,800"
2015,سبتمبر,"862,919"
2015,أكتوبر,"878,288"
2015,نوفمبر,"619,458"
2015,ديسمبر,"2,693,997"
2016,يناير,"2,930,030"
2016,فبراير,"1,258,114"
2016,مارس,"1,282,116"
2016,إبريل,"779,069"
2016,مايو,"1,108,641"
2016,يونيو,"822,667"
2016,يوليو,"985,107"
2016,أغسطس,"693,360"
2016,سبتمبر,"822,508"
2016,أكتوبر,"880,326"
2016,نوفمبر,"981,848"
2016,ديسمبر,"2,511,964"
2017,يناير,"6,551,084"
2017,فبراير,"1,433,579"
2017,مارس,"1,891,373"
2017,إبريل,"1,313,871"
2017,مايو,"1,158,219"
2017,يونيو,"1,193,727"
2017,يوليو,"1,974,066"
2017,أغسطس,"1,920,829"
2017,سبتمبر,"1,009,227"
2017,أكتوبر,"1,149,008"
2017,نوفمبر,"727,530"
2017,ديسمبر,"2,966,838"
2018,يناير,"3,063,213"
2018,فبراير,"1,899,303"
2018,مارس,"2,398,645"
2018,إبريل,"1,924,580"
2018,مايو,"1,104,244"
2018,يونيو,"1,015,220"
2018,يوليو,"1,587,306"
2018,أغسطس,"1,979,091"
2018,سبتمبر,"3,393,893"
2018,أكتوبر,"1,261,284"
2018,نوفمبر,"1,537,505"
2018,ديسمبر,"2,797,145"
2019,يناير,"2,132,393"
2019,فبراير,"2,177,001"
2019,مارس,"4,164,034"
2019,إبريل,"1,900,976"
2019,مايو,"3,665,402"
2019,يونيو,"1,394,188"
2019,يوليو,"2,071,837"
2019,أغسطس,"1,425,501"
2019,سبتمبر,"1,347,268"
2019,أكتوبر,"1,589,043"
2019,نوفمبر,"1,496,958"
2019,ديسمبر,"1,980,874"
2020,يناير,"2,089,783"
2020,فبراير,"1,817,816"
2020,مارس,"2,690,248"
2020,إبريل,"1,258,054"
2020,مايو,"849,107"
2020,يونيو,"1,624,040"
2020,يوليو,"1,079,706"
2020,أغسطس,"1,384,095"
2020,سبتمبر,"1,534,726"
2020,أكتوبر,"552,103"
2020,نوفمبر,"1,248,082"
2020,ديسمبر,"2,347,861"
2021,يناير,"2,892,616"
2021,فبراير,"3,137,548"
2021,مارس,"3,567,572"
2021,إبريل,"2,850,507"
2021,مايو,"2,048,260"
2021,يونيو,"2,742,918"
2021,يوليو,"3,381,376"
2021,أغسطس,"2,275,964"
2021,سبتمبر,"4,104,389"
2021,أكتوبر,"4,534,885"
2021,نوفمبر,"940,567"
2021,ديسمبر,"2,301,160"
2022,يناير,"1,984,192"
2022,فبراير,"2,215,221"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
