Item,Amount,Value
غاز طبيعى فى صوره سائله,107.0,مليون دولار
سماد يوريا أو اسمده ازوتيه اخرى,32.5,مليون دولار
زيوت نفط خفيفه وزيوت خفيفه اخرى متحصل عليها من المواد المعدنيه,22.2,مليون دولار
كحول الميثيل,10.6,مليون دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),7.3,مليون دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,6.6,مليون دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,6.4,مليون دولار
أحجار طبيعيه للمبانى مصقوله,3.7,مليون دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,3.3,مليون دولار
اجهزة كهربائيه حراريه اخرى,3.3,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,3.1,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",2.6,مليون دولار
كحوليات بتركيز أكثر من 80%,2.4,مليون دولار
,2.3,مليون دولار
ملايات سرير من ألياف نسجيه مخلوطه,2.3,مليون دولار
حمامات و بانيوهات و أحواض من البلاستيك,2.1,مليون دولار
لوحات توزيع كهرباء بدون تحديد,1.9,مليون دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,1.9,مليون دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,1.6,مليون دولار
قدد من الالومنيوم مستطيلة الشكل,1.6,مليون دولار
زيوت النعناع الأخرى,1.5,مليون دولار
,1.4,مليون دولار
زيوت عطرية أخرى,1.2,مليون دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,1.1,مليون دولار
ملايات السرير أخرى,1.0,مليون دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,1.0,مليون دولار
حبات  (P.P) بولي بروبلين,991.5,ألف دولار
فراوله محفوظه مؤقتا,904.8,ألف دولار
محضرات واصناف صيدليه اخر,902.3,ألف دولار
خضروات اخرى مجمده,862.6,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,749.1,ألف دولار
إطارات السيارات النقل و الشاحنات,730.2,ألف دولار
اطقم حمامات / بياضات متنوعه,684.8,ألف دولار
فضلات وصلات الومنيوم,668.7,ألف دولار
فاصولياخضراء و فول أخضر,651.3,ألف دولار
أغطية أرضيات نسجيه أخرى,624.1,ألف دولار
خيوط من البوليستر المستمر غير مسرح أو ممشط,532.5,ألف دولار
بودره بولي فنيل كلوريد  P.V.S,517.5,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,515.6,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,474.4,ألف دولار
بازلياء خضراء,472.4,ألف دولار
زيوت عطريه (من موالح) متعدده,462.0,ألف دولار
بطاطا طازجه أو مجففه,460.0,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,436.7,ألف دولار
نباتات طبيه أخرى,430.3,ألف دولار
بودره بولي ايثلين P.E.T,406.5,ألف دولار
مخاليط خضروات مجمده,395.5,ألف دولار
