Year,Month,Export Amount
2012,يناير,"48,327,816"
2012,فبراير,"77,873,987"
2012,مارس,"71,392,612"
2012,إبريل,"65,296,569"
2012,مايو,"74,910,436"
2012,يونيو,"79,414,439"
2012,يوليو,"33,144,486"
2012,أغسطس,"86,321,182"
2012,سبتمبر,"56,400,022"
2012,أكتوبر,"72,521,302"
2012,نوفمبر,"58,692,574"
2012,ديسمبر,"78,495,245"
2013,يناير,"41,059,498"
2013,فبراير,"48,740,354"
2013,مارس,"60,789,312"
2013,إبريل,"57,051,986"
2013,مايو,"71,569,021"
2013,يونيو,"53,680,536"
2013,يوليو,"91,331,809"
2013,أغسطس,"83,261,262"
2013,سبتمبر,"124,671,963"
2013,أكتوبر,"82,424,640"
2013,نوفمبر,"55,078,084"
2013,ديسمبر,"63,376,863"
2014,يناير,"36,457,168"
2014,فبراير,"86,708,625"
2014,مارس,"86,414,869"
2014,إبريل,"59,524,190"
2014,مايو,"71,605,178"
2014,يونيو,"63,045,746"
2014,يوليو,"26,349,649"
2014,أغسطس,"55,663,777"
2014,سبتمبر,"38,279,499"
2014,أكتوبر,"53,379,545"
2014,نوفمبر,"42,331,695"
2014,ديسمبر,"78,508,058"
2015,يناير,"34,498,025"
2015,فبراير,"20,135,270"
2015,مارس,"33,151,821"
2015,إبريل,"23,998,157"
2015,مايو,"29,409,586"
2015,يونيو,"34,964,677"
2015,يوليو,"21,371,420"
2015,أغسطس,"23,322,216"
2015,سبتمبر,"26,541,507"
2015,أكتوبر,"56,486,941"
2015,نوفمبر,"43,609,254"
2015,ديسمبر,"51,504,229"
2016,يناير,"48,258,241"
2016,فبراير,"34,362,346"
2016,مارس,"38,917,439"
2016,إبريل,"44,868,370"
2016,مايو,"35,047,330"
2016,يونيو,"33,332,735"
2016,يوليو,"26,712,515"
2016,أغسطس,"25,338,558"
2016,سبتمبر,"33,984,191"
2016,أكتوبر,"37,838,332"
2016,نوفمبر,"59,408,849"
2016,ديسمبر,"55,683,850"
2017,يناير,"160,676,680"
2017,فبراير,"64,115,552"
2017,مارس,"43,311,164"
2017,إبريل,"49,160,947"
2017,مايو,"55,265,463"
2017,يونيو,"39,866,448"
2017,يوليو,"50,284,392"
2017,أغسطس,"46,424,503"
2017,سبتمبر,"40,283,152"
2017,أكتوبر,"67,628,301"
2017,نوفمبر,"53,581,881"
2017,ديسمبر,"59,767,805"
2018,يناير,"63,897,022"
2018,فبراير,"42,955,338"
2018,مارس,"47,901,560"
2018,إبريل,"44,637,274"
2018,مايو,"44,894,199"
2018,يونيو,"56,630,586"
2018,يوليو,"52,180,370"
2018,أغسطس,"52,343,959"
2018,سبتمبر,"61,980,594"
2018,أكتوبر,"56,188,610"
2018,نوفمبر,"49,828,732"
2018,ديسمبر,"50,292,472"
2019,يناير,"43,493,360"
2019,فبراير,"36,426,070"
2019,مارس,"58,776,687"
2019,إبريل,"67,100,883"
2019,مايو,"41,941,078"
2019,يونيو,"40,129,297"
2019,يوليو,"39,045,924"
2019,أغسطس,"37,366,552"
2019,سبتمبر,"59,337,794"
2019,أكتوبر,"95,772,997"
2019,نوفمبر,"56,600,248"
2019,ديسمبر,"38,857,617"
2020,يناير,"54,998,132"
2020,فبراير,"55,451,329"
2020,مارس,"47,497,766"
2020,إبريل,"23,728,124"
2020,مايو,"19,102,857"
2020,يونيو,"46,569,216"
2020,يوليو,"35,428,875"
2020,أغسطس,"65,151,910"
2020,سبتمبر,"48,389,175"
2020,أكتوبر,"42,813,994"
2020,نوفمبر,"44,608,758"
2020,ديسمبر,"47,147,093"
2021,يناير,"56,544,158"
2021,فبراير,"62,217,731"
2021,مارس,"63,706,249"
2021,إبريل,"53,180,018"
2021,مايو,"42,003,567"
2021,يونيو,"77,464,535"
2021,يوليو,"74,610,141"
2021,أغسطس,"65,086,941"
2021,سبتمبر,"57,311,204"
2021,أكتوبر,"98,117,207"
2021,نوفمبر,"110,808,881"
2021,ديسمبر,"214,855,410"
2022,يناير,"162,216,697"
2022,فبراير,"93,787,593"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
