Item,Amount,Value
غيرها من منشات واجزاوءها من حديد او صلب,870.2,ألف دولار
مكسبات طعم ورائحه,372.7,ألف دولار
عجائن اخرى غير محتويه على بيض,155.4,ألف دولار
برتقال طازج أو مجفف,122.0,ألف دولار
ورنيشات قاعدتها P.V.A,107.7,ألف دولار
راتنجات يوريا,98.8,ألف دولار
إطارات السيارات النقل و الشاحنات,83.9,ألف دولار
عصير خليط,80.9,ألف دولار
صابون فى شكل عيدان لاستعمالات غير الزينة مثل(صابون خام),57.9,ألف دولار
ادوات منزليه من الالومنيوم خاصه بالمطبخ,54.0,ألف دولار
راتنجات ميلامين,53.4,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),51.6,ألف دولار
تنر (تنر عضوى عادى او مخصوص),48.3,ألف دولار
شوايات ومحمصات,43.5,ألف دولار
محضرات غذائيه اخرى,36.6,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,28.0,ألف دولار
استياتيت طبيعى مجروش او مطحون,27.2,ألف دولار
ورق رشح,23.4,ألف دولار
عصصارات الفواكه والخضروات,20.8,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,19.1,ألف دولار
مجففات محضره,18.2,ألف دولار
اعلاف حيوانيه غير تقليديه,16.5,ألف دولار
بيكربونات كالسيوم,15.3,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,14.8,ألف دولار
أحجار طبيعيه للمبانى مصقوله,4.3,ألف دولار
يوسفى طازج أو مجفف,3.4,ألف دولار
لبن فرز(البان تحتوى على نسبةدسم لايزيد عن 1% من اجمالى الوزن),2.0,ألف دولار
كتالوجات تجاريه وماشابه (طباعه اعلانات دعايه وملصقات),0.0,ألف دولار
