Year,Month,Export Amount
2012,يناير,"309,028"
2012,فبراير,"920,660"
2012,مارس,"1,002,601"
2012,إبريل,"700,965"
2012,مايو,"2,305,522"
2012,يونيو,"512,476"
2012,يوليو,"796,543"
2012,أغسطس,"1,615,981"
2012,سبتمبر,"1,405,793"
2012,أكتوبر,"1,424,585"
2012,نوفمبر,"720,096"
2012,ديسمبر,"824,444"
2013,يناير,"1,394,552"
2013,فبراير,"1,058,963"
2013,مارس,"979,577"
2013,إبريل,"789,479"
2013,مايو,"1,615,710"
2013,يونيو,"1,239,823"
2013,يوليو,"1,528,723"
2013,أغسطس,"616,712"
2013,سبتمبر,"1,385,031"
2013,أكتوبر,"1,679,094"
2013,نوفمبر,"1,519,535"
2013,ديسمبر,"932,085"
2014,يناير,"1,706,091"
2014,فبراير,"953,722"
2014,مارس,"1,371,936"
2014,إبريل,"1,506,374"
2014,مايو,"1,306,676"
2014,يونيو,"921,413"
2014,يوليو,"943,034"
2014,أغسطس,"1,858,721"
2014,سبتمبر,"953,881"
2014,أكتوبر,"1,246,156"
2014,نوفمبر,"804,557"
2014,ديسمبر,"1,457,521"
2015,يناير,"1,501,006"
2015,فبراير,"1,286,682"
2015,مارس,"1,267,769"
2015,إبريل,"836,723"
2015,مايو,"1,117,951"
2015,يونيو,"1,126,395"
2015,يوليو,"1,737,851"
2015,أغسطس,"1,136,375"
2015,سبتمبر,"199,511"
2015,أكتوبر,"1,037,343"
2015,نوفمبر,"1,197,830"
2015,ديسمبر,"495,836"
2016,يناير,"1,563,129"
2016,فبراير,"1,372,074"
2016,مارس,"958,038"
2016,إبريل,"1,215,789"
2016,مايو,"1,320,337"
2016,يونيو,"1,425,584"
2016,يوليو,"953,472"
2016,أغسطس,"1,260,751"
2016,سبتمبر,"1,141,884"
2016,أكتوبر,"972,032"
2016,نوفمبر,"1,699,511"
2016,ديسمبر,"325,544"
2017,يناير,"3,664,114"
2017,فبراير,"652,432"
2017,مارس,"1,080,824"
2017,إبريل,"1,207,196"
2017,مايو,"2,116,375"
2017,يونيو,"360,559"
2017,يوليو,"1,046,105"
2017,أغسطس,"1,507,140"
2017,سبتمبر,"411,746"
2017,أكتوبر,"892,711"
2017,نوفمبر,"655,862"
2017,ديسمبر,"1,040,814"
2018,يناير,"1,358,050"
2018,فبراير,"858,563"
2018,مارس,"315,006"
2018,إبريل,"1,467,905"
2018,مايو,"2,216,884"
2018,يونيو,"507,504"
2018,يوليو,"1,239,691"
2018,أغسطس,"1,519,756"
2018,سبتمبر,"465,137"
2018,أكتوبر,"962,566"
2018,نوفمبر,"861,094"
2018,ديسمبر,"688,017"
2019,يناير,"1,238,582"
2019,فبراير,"1,264,455"
2019,مارس,"1,033,461"
2019,إبريل,"2,289,510"
2019,مايو,"1,122,828"
2019,يونيو,"715,045"
2019,يوليو,"911,809"
2019,أغسطس,"969,716"
2019,سبتمبر,"800,825"
2019,أكتوبر,"942,328"
2019,نوفمبر,"315,507"
2019,ديسمبر,"921,078"
2020,يناير,"1,191,780"
2020,فبراير,"666,716"
2020,مارس,"991,940"
2020,إبريل,"746,762"
2020,مايو,"446,407"
2020,يونيو,"991,244"
2020,يوليو,"298,983"
2020,أغسطس,"400,505"
2020,سبتمبر,"1,416,456"
2020,أكتوبر,"1,073,241"
2020,نوفمبر,"1,187,747"
2020,ديسمبر,"1,703,294"
2021,يناير,"1,556,166"
2021,فبراير,"884,220"
2021,مارس,"1,798,860"
2021,إبريل,"1,114,182"
2021,مايو,"1,036,095"
2021,يونيو,"957,127"
2021,يوليو,"1,903,669"
2021,أغسطس,"1,406,335"
2021,سبتمبر,"986,123"
2021,أكتوبر,"1,999,733"
2021,نوفمبر,"1,471,364"
2021,ديسمبر,"1,612,499"
2022,يناير,"549,531"
2022,فبراير,"2,111,839"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
