Item,Amount,Value
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,23.9,مليون دولار
موصلات كهربيه لا تزيد عن 80 فولت,17.3,مليون دولار
فراوله طازجه,9.5,مليون دولار
برتقال طازج أو مجفف,7.5,مليون دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,7.0,مليون دولار
بصل وكرات بشوشه,6.5,مليون دولار
موصلات كهربيه تزيد عن 1000 فولت,5.6,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",5.5,مليون دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,5.1,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,4.9,مليون دولار
بنطلون حريمى من القطن غير مصنره,3.8,مليون دولار
,3.4,مليون دولار
ورق صحى( تواليت) بكر/ تشيو بكر / ورق خفيف,2.9,مليون دولار
حمامات و بانيوهات و أحواض من البلاستيك,2.8,مليون دولار
اسلاك نحاس معزوله بالبلاستيك والقطن أو بالحرير الزجاجى,2.7,مليون دولار
بازلياء خضراء,2.5,مليون دولار
اتوبيس سياحه (سيارات النقل العام من طراز الركاب),1.8,مليون دولار
إطارات السيارات النقل و الشاحنات,1.5,مليون دولار
قوالب شيكولاته,1.4,مليون دولار
فاصولياخضراء و فول أخضر,1.4,مليون دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,1.3,مليون دولار
أحجار طبيعيه للمبانى مصقوله,1.3,مليون دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,1.2,مليون دولار
ملايات سرير من ألياف نسجيه مخلوطه,1.2,مليون دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,1.2,مليون دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,1.2,مليون دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,1.1,مليون دولار
أغطية أرضيات نسجيه أخرى,1.1,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,1.1,مليون دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,1.1,مليون دولار
بنطلون رجالى من القطن غير مصنره,1.1,مليون دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,1.0,مليون دولار
قمصان رجالى من الياف صناعيه غير مصنره,899.5,ألف دولار
بطاطا طازجه أو مجففه,823.5,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,796.4,ألف دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,756.6,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,732.3,ألف دولار
,630.0,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,622.3,ألف دولار
خضروات مجمدة او مبردة,604.8,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,596.7,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,591.0,ألف دولار
بنطلون رجالى من الياف صناعيه غير مصنره,532.2,ألف دولار
بصل مجفف,522.3,ألف دولار
أجزاء محركات نفاثه,521.5,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,507.3,ألف دولار
فراوله محفوظه مؤقتا,502.0,ألف دولار
جاكت رجالى من الصوف غير مصنره,477.3,ألف دولار
زيوت عطرية أخرى,456.5,ألف دولار
نسيج من الياف الزجاج,431.1,ألف دولار
لوح توزيع فرعيه تقل عن 1000 فولت,414.7,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,377.3,ألف دولار
جوز و لوز محلى,352.7,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,351.2,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,336.5,ألف دولار
فيروسيليكون سبيكه 55%,329.8,ألف دولار
يوسفى طازج أو مجفف,317.4,ألف دولار
حبات  (P.P) بولي بروبلين,309.4,ألف دولار
باترونات من المنسوجات,292.0,ألف دولار
بنطلون حريمى من الياف صناعيه غير مصنره,289.1,ألف دولار
وصلات و كيعان و فلانشات لمواسير,288.7,ألف دولار
قضبان و عيدان من الصلب السيليكونى الكهربى,286.1,ألف دولار
ورنيشات قاعدتها P.V.A,285.8,ألف دولار
مانجوستين طازجةاو مجففه,267.5,ألف دولار
طقم رجالى من القطن مصنره,254.9,ألف دولار
طرشى),254.5,ألف دولار
البسه اطفال وملحقاتها مصنرة او كروشيه من قطن غير مصنره,235.3,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,233.9,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,219.0,ألف دولار
مخاليط خضروات مجمده,214.2,ألف دولار
خضروات اخرى مجمده,209.2,ألف دولار
طقم حريمى من الياف نسجيه أخرى غير مصنره,208.7,ألف دولار
فواكه ?  اثمار محفوظه مؤقتا,195.2,ألف دولار
نباتات طبيه أخرى,194.0,ألف دولار
مخاليط شحوم حيوانيه,185.4,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,181.7,ألف دولار
