Year,Month,Export Amount
2012,يناير,"61,430,176"
2012,فبراير,"73,866,071"
2012,مارس,"66,581,812"
2012,إبريل,"73,339,538"
2012,مايو,"71,160,700"
2012,يونيو,"118,339,696"
2012,يوليو,"75,690,911"
2012,أغسطس,"48,067,865"
2012,سبتمبر,"53,164,767"
2012,أكتوبر,"67,104,873"
2012,نوفمبر,"59,582,961"
2012,ديسمبر,"81,931,513"
2013,يناير,"60,670,608"
2013,فبراير,"72,316,675"
2013,مارس,"118,348,293"
2013,إبريل,"65,191,368"
2013,مايو,"132,744,105"
2013,يونيو,"88,014,202"
2013,يوليو,"61,374,080"
2013,أغسطس,"51,143,623"
2013,سبتمبر,"68,223,322"
2013,أكتوبر,"52,278,419"
2013,نوفمبر,"65,595,753"
2013,ديسمبر,"59,172,904"
2014,يناير,"71,895,703"
2014,فبراير,"70,489,072"
2014,مارس,"80,237,340"
2014,إبريل,"62,922,889"
2014,مايو,"90,566,527"
2014,يونيو,"113,791,096"
2014,يوليو,"52,731,690"
2014,أغسطس,"74,352,028"
2014,سبتمبر,"67,601,456"
2014,أكتوبر,"51,210,409"
2014,نوفمبر,"58,908,117"
2014,ديسمبر,"62,538,317"
2015,يناير,"64,106,292"
2015,فبراير,"50,557,294"
2015,مارس,"63,478,258"
2015,إبريل,"56,190,353"
2015,مايو,"80,650,023"
2015,يونيو,"104,880,957"
2015,يوليو,"64,395,763"
2015,أغسطس,"59,696,537"
2015,سبتمبر,"47,973,271"
2015,أكتوبر,"58,726,778"
2015,نوفمبر,"57,724,207"
2015,ديسمبر,"69,552,941"
2016,يناير,"63,841,209"
2016,فبراير,"69,775,118"
2016,مارس,"78,384,383"
2016,إبريل,"72,942,794"
2016,مايو,"94,601,640"
2016,يونيو,"110,072,266"
2016,يوليو,"56,840,525"
2016,أغسطس,"65,653,270"
2016,سبتمبر,"50,498,754"
2016,أكتوبر,"59,790,869"
2016,نوفمبر,"54,668,327"
2016,ديسمبر,"55,064,581"
2017,يناير,"68,437,024"
2017,فبراير,"67,894,297"
2017,مارس,"81,648,614"
2017,إبريل,"68,612,376"
2017,مايو,"77,903,605"
2017,يونيو,"95,128,832"
2017,يوليو,"88,893,907"
2017,أغسطس,"80,998,848"
2017,سبتمبر,"64,558,377"
2017,أكتوبر,"90,784,261"
2017,نوفمبر,"74,238,223"
2017,ديسمبر,"80,547,142"
2018,يناير,0
2018,فبراير,0
2018,مارس,0
2018,إبريل,0
2018,مايو,0
2018,يونيو,0
2018,يوليو,0
2018,أغسطس,0
2018,سبتمبر,0
2018,أكتوبر,0
2018,نوفمبر,0
2018,ديسمبر,0
2019,يناير,0
2019,فبراير,0
2019,مارس,0
2019,إبريل,"104,380,432"
2019,مايو,"140,294,875"
2019,يونيو,"173,162,855"
2019,يوليو,"105,252,135"
2019,أغسطس,"133,855,599"
2019,سبتمبر,"105,984,622"
2019,أكتوبر,"186,938,662"
2019,نوفمبر,"165,618,209"
2019,ديسمبر,"119,718,840"
2020,يناير,"91,058,841"
2020,فبراير,"73,216,788"
2020,مارس,"49,107,675"
2020,إبريل,"24,688,961"
2020,مايو,"41,127,555"
2020,يونيو,"78,904,323"
2020,يوليو,"48,427,094"
2020,أغسطس,"44,774,721"
2020,سبتمبر,"67,101,188"
2020,أكتوبر,"77,739,248"
2020,نوفمبر,"90,766,855"
2020,ديسمبر,"71,167,024"
2021,يناير,"73,807,340"
2021,فبراير,"80,065,146"
2021,مارس,"116,692,527"
2021,إبريل,"76,511,686"
2021,مايو,"109,990,096"
2021,يونيو,"134,027,386"
2021,يوليو,"78,675,687"
2021,أغسطس,"72,080,942"
2021,سبتمبر,"89,066,553"
2021,أكتوبر,"114,206,832"
2021,نوفمبر,"30,192,758"
2021,ديسمبر,"111,589,204"
2022,يناير,"76,207,159"
2022,فبراير,"80,171,235"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
