Year,Month,Export Amount
2012,يناير,"607,399"
2012,فبراير,"2,049,087"
2012,مارس,"3,191,374"
2012,إبريل,"1,467,485"
2012,مايو,"1,516,379"
2012,يونيو,"1,431,715"
2012,يوليو,"1,130,656"
2012,أغسطس,"1,537,735"
2012,سبتمبر,"1,412,646"
2012,أكتوبر,"1,301,718"
2012,نوفمبر,"1,362,654"
2012,ديسمبر,"889,141"
2013,يناير,"707,000"
2013,فبراير,"977,981"
2013,مارس,"1,849,452"
2013,إبريل,"1,977,071"
2013,مايو,"2,776,788"
2013,يونيو,"746,834"
2013,يوليو,"914,458"
2013,أغسطس,"1,220,309"
2013,سبتمبر,"2,341,453"
2013,أكتوبر,"1,025,214"
2013,نوفمبر,"823,789"
2013,ديسمبر,"1,769,288"
2014,يناير,"963,001"
2014,فبراير,"1,181,938"
2014,مارس,"3,130,871"
2014,إبريل,"1,930,120"
2014,مايو,"1,381,911"
2014,يونيو,"496,980"
2014,يوليو,"315,614"
2014,أغسطس,"816,358"
2014,سبتمبر,"695,504"
2014,أكتوبر,"678,641"
2014,نوفمبر,"525,558"
2014,ديسمبر,"830,573"
2015,يناير,"559,982"
2015,فبراير,"727,480"
2015,مارس,"1,431,303"
2015,إبريل,"784,795"
2015,مايو,"605,985"
2015,يونيو,"741,744"
2015,يوليو,"734,352"
2015,أغسطس,"180,473"
2015,سبتمبر,"192,084"
2015,أكتوبر,"272,861"
2015,نوفمبر,"306,093"
2015,ديسمبر,"624,323"
2016,يناير,"76,585"
2016,فبراير,"426,902"
2016,مارس,"566,256"
2016,إبريل,"412,809"
2016,مايو,"198,627"
2016,يونيو,"439,763"
2016,يوليو,"367,243"
2016,أغسطس,"211,215"
2016,سبتمبر,"244,708"
2016,أكتوبر,"485,127"
2016,نوفمبر,"423,027"
2016,ديسمبر,"275,022"
2017,يناير,"1,956,219"
2017,فبراير,"499,615"
2017,مارس,"653,604"
2017,إبريل,"1,310,726"
2017,مايو,"581,606"
2017,يونيو,"340,128"
2017,يوليو,"570,645"
2017,أغسطس,"1,216,063"
2017,سبتمبر,"505,672"
2017,أكتوبر,"545,884"
2017,نوفمبر,"608,178"
2017,ديسمبر,"838,105"
2018,يناير,"317,568"
2018,فبراير,"1,534,327"
2018,مارس,"799,583"
2018,إبريل,"813,956"
2018,مايو,"1,528,053"
2018,يونيو,"281,241"
2018,يوليو,"1,212,027"
2018,أغسطس,"744,194"
2018,سبتمبر,"1,637,780"
2018,أكتوبر,"523,309"
2018,نوفمبر,"468,621"
2018,ديسمبر,"1,066,920"
2019,يناير,"533,011"
2019,فبراير,"1,103,717"
2019,مارس,"1,322,458"
2019,إبريل,"38,155,550"
2019,مايو,"652,791"
2019,يونيو,"263,453"
2019,يوليو,"36,848,889"
2019,أغسطس,"380,258"
2019,سبتمبر,"754,332"
2019,أكتوبر,"522,718"
2019,نوفمبر,"736,478"
2019,ديسمبر,"123,133"
2020,يناير,"196,056"
2020,فبراير,"1,090,961"
2020,مارس,"1,429,719"
2020,إبريل,"709,540"
2020,مايو,"341,794"
2020,يونيو,"416,723"
2020,يوليو,"447,818"
2020,أغسطس,"282,405"
2020,سبتمبر,"627,940"
2020,أكتوبر,"669,414"
2020,نوفمبر,"365,092"
2020,ديسمبر,"441,096"
2021,يناير,"429,232"
2021,فبراير,"958,911"
2021,مارس,"803,374"
2021,إبريل,"726,047"
2021,مايو,"609,022"
2021,يونيو,"594,736"
2021,يوليو,"318,931"
2021,أغسطس,"490,372"
2021,سبتمبر,"254,337"
2021,أكتوبر,"13,699,632"
2021,نوفمبر,"347,900"
2021,ديسمبر,"777,616"
2022,يناير,"444,178"
2022,فبراير,"824,056"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
