Item,Amount,Value
,19.4,مليون دولار
انهدريت (كبريتات كالسيوم لامائى),1.3,مليون دولار
زيت صويا منقى و غير معالج كيمائيا,1.0,مليون دولار
مكسبات طعم ورائحه,915.8,ألف دولار
بيكربونات كالسيوم,848.9,ألف دولار
سماد نترات النشادر الجيرى,842.5,ألف دولار
راتنجات يوريا,397.5,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,379.6,ألف دولار
جلوكوز و عسل الجلوكوز,225.4,ألف دولار
بوليمرات اسيتات الفينيل (محلول مائى),223.1,ألف دولار
سيليكات صوديوم أخر,182.5,ألف دولار
اشكال مسطحةاخرى ومن اصناف ذاتية اللصق من لدائن اصطناعية,155.7,ألف دولار
عصير خليط,149.0,ألف دولار
اصناف مماثله غير مزخرفه اساسها الجبس,133.2,ألف دولار
ابراج وصوارى شبكيه ? ابراج معدنيه من حديد اوصلب,130.6,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,129.3,ألف دولار
غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,124.4,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,114.4,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,111.6,ألف دولار
مصابيح وتركيبات اضاءه اخرى,110.6,ألف دولار
ملح غير صالح للطعام و ملح طعام,95.7,ألف دولار
غيرها من خزانات ودنان وبراميل وصفائح من حديد او صلب سعتها اقل من 50 لتر,86.7,ألف دولار
صناديق و حاويات من البلاستيك,79.7,ألف دولار
حبات  (P.P) بولي بروبلين,73.5,ألف دولار
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,73.1,ألف دولار
إطارات السيارات النقل و الشاحنات,63.5,ألف دولار
لفه ورق مقطرن (او ورق مقطرن غير مقوى بلاصق),60.2,ألف دولار
نشا ذره,59.0,ألف دولار
استياتيت طبيعى مجروش او مطحون,49.5,ألف دولار
صابون فى شكل عيدان لاستعمالات غير الزينة مثل(صابون خام),46.3,ألف دولار
يوسفى طازج أو مجفف,45.5,ألف دولار
ادوية غير مهياة بجرعات معايرة اوباشكال اوعبوات للبيع بالتجزئة,45.0,ألف دولار
هياكل لوحات توزيع كهربائيه,42.6,ألف دولار
فاصل تيار كهربى يزيد عن 1000 فولت,36.4,ألف دولار
لعزل الحراره ?  الصوت,34.0,ألف دولار
شيكولاتة ومنتجات الكاكاو,32.3,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,31.3,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),31.0,ألف دولار
جـــــزر,30.0,ألف دولار
قوالب شيكولاته,29.8,ألف دولار
منتجات ورقيه أخرى,27.0,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,26.9,ألف دولار
بطاطس طازجه اومبرده أخرى,22.9,ألف دولار
ورق صحى( تواليت) بكر/ تشيو بكر / ورق خفيف,22.8,ألف دولار
كرات قابله للنفخ,20.7,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,14.6,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),12.6,ألف دولار
اقلام جاف,12.4,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),12.3,ألف دولار
اسمنت فوندو ..... الخ,11.3,ألف دولار
بسكويت صيدلى,11.2,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,10.8,ألف دولار
"لواح , افرخ من البلاستيك",10.4,ألف دولار
بطاطس غير مجمده محفوظه اومعلبه,7.6,ألف دولار
أحماض غير عضويه أخرى,6.3,ألف دولار
اثاث من لدائن اصطناعيه,5.8,ألف دولار
حامض ايدروكلوريك ( هيدروجين كلوريد),5.1,ألف دولار
محضرات كيميائيه للتشخيص المعملى,4.8,ألف دولار
برتقال طازج أو مجفف,4.8,ألف دولار
كتب و كتيبات مطبوعه وان كانت مصوره,4.3,ألف دولار
عدادات ضبط الآلات,3.4,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,3.3,ألف دولار
معاملات تجميع الدم,3.2,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,2.4,ألف دولار
محضرات واصناف صيدليه اخر,1.9,ألف دولار
خضروات مجمدة او مبردة,1.6,ألف دولار
فراوله طازجه,1.2,ألف دولار
خس ملفوف وكرنبى,0.9,ألف دولار
كروت ذكية,0.6,ألف دولار
كرنب أفرنجى و بروكلى طازج,0.5,ألف دولار
مانجوستين طازجةاو مجففه,0.3,ألف دولار
,0.3,ألف دولار
كرفس طازج أو مثلج,0.1,ألف دولار
بطيخ طازج,0.1,ألف دولار
فلفل  رومى أخضر و ألوان أخرى,0.0,ألف دولار
,0.0,ألف دولار
