Year,Month,Export Amount
2012,يناير,"14,742,766"
2012,فبراير,"7,200,417"
2012,مارس,"8,646,914"
2012,إبريل,"6,619,257"
2012,مايو,"4,835,201"
2012,يونيو,"3,755,328"
2012,يوليو,"4,725,722"
2012,أغسطس,"4,229,711"
2012,سبتمبر,"8,176,172"
2012,أكتوبر,"3,220,976"
2012,نوفمبر,"5,862,937"
2012,ديسمبر,"10,836,386"
2013,يناير,"10,615,681"
2013,فبراير,"6,897,490"
2013,مارس,"5,162,609"
2013,إبريل,"7,653,193"
2013,مايو,"6,365,776"
2013,يونيو,"3,278,686"
2013,يوليو,"6,467,495"
2013,أغسطس,"5,229,766"
2013,سبتمبر,"4,689,897"
2013,أكتوبر,"4,019,731"
2013,نوفمبر,"5,463,402"
2013,ديسمبر,"5,117,412"
2014,يناير,"4,220,222"
2014,فبراير,"4,949,110"
2014,مارس,"3,591,080"
2014,إبريل,"3,659,457"
2014,مايو,"1,514,574"
2014,يونيو,"4,562,361"
2014,يوليو,"2,376,926"
2014,أغسطس,"3,826,153"
2014,سبتمبر,"10,058,385"
2014,أكتوبر,"3,029,887"
2014,نوفمبر,"3,489,285"
2014,ديسمبر,"7,318,872"
2015,يناير,"3,049,315"
2015,فبراير,"2,308,994"
2015,مارس,"4,087,610"
2015,إبريل,"4,463,288"
2015,مايو,"5,973,250"
2015,يونيو,"4,027,382"
2015,يوليو,"4,470,973"
2015,أغسطس,"6,545,506"
2015,سبتمبر,"4,847,527"
2015,أكتوبر,"4,985,305"
2015,نوفمبر,"5,033,139"
2015,ديسمبر,"11,857,427"
2016,يناير,"5,210,008"
2016,فبراير,"6,263,167"
2016,مارس,"5,727,753"
2016,إبريل,"5,655,373"
2016,مايو,"4,862,003"
2016,يونيو,"9,975,978"
2016,يوليو,"4,525,741"
2016,أغسطس,"5,182,829"
2016,سبتمبر,"3,171,415"
2016,أكتوبر,"8,034,395"
2016,نوفمبر,"6,088,041"
2016,ديسمبر,"7,912,818"
2017,يناير,"16,759,177"
2017,فبراير,"4,647,213"
2017,مارس,"5,494,302"
2017,إبريل,"3,666,259"
2017,مايو,"5,683,113"
2017,يونيو,"2,643,020"
2017,يوليو,"5,255,347"
2017,أغسطس,"4,484,949"
2017,سبتمبر,"4,982,431"
2017,أكتوبر,"9,450,103"
2017,نوفمبر,"5,935,279"
2017,ديسمبر,"6,793,262"
2018,يناير,"6,104,456"
2018,فبراير,"8,101,724"
2018,مارس,"7,772,957"
2018,إبريل,"8,648,079"
2018,مايو,"8,181,210"
2018,يونيو,"14,267,594"
2018,يوليو,"10,207,753"
2018,أغسطس,"4,360,703"
2018,سبتمبر,"7,425,932"
2018,أكتوبر,"6,435,156"
2018,نوفمبر,"5,664,394"
2018,ديسمبر,"12,802,840"
2019,يناير,"2,697,320"
2019,فبراير,"4,575,333"
2019,مارس,"6,390,888"
2019,إبريل,"4,708,468"
2019,مايو,"3,786,921"
2019,يونيو,"4,817,699"
2019,يوليو,"5,592,846"
2019,أغسطس,"3,706,201"
2019,سبتمبر,"4,373,985"
2019,أكتوبر,"8,190,305"
2019,نوفمبر,"5,635,372"
2019,ديسمبر,"5,335,105"
2020,يناير,"3,649,212"
2020,فبراير,"5,315,718"
2020,مارس,"4,969,113"
2020,إبريل,"3,508,066"
2020,مايو,"6,522,580"
2020,يونيو,"6,149,029"
2020,يوليو,"7,799,120"
2020,أغسطس,"6,665,946"
2020,سبتمبر,"8,169,406"
2020,أكتوبر,"9,502,973"
2020,نوفمبر,"9,947,272"
2020,ديسمبر,"6,088,005"
2021,يناير,"8,854,465"
2021,فبراير,"5,744,663"
2021,مارس,"8,005,043"
2021,إبريل,"8,855,546"
2021,مايو,"19,601,693"
2021,يونيو,"11,003,936"
2021,يوليو,"16,627,062"
2021,أغسطس,"26,634,848"
2021,سبتمبر,"12,778,190"
2021,أكتوبر,"13,262,735"
2021,نوفمبر,"4,204,211"
2021,ديسمبر,"9,137,483"
2022,يناير,"14,440,475"
2022,فبراير,"18,362,149"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
