Item,Amount,Value
فاصوليا حمراء مجففه ومفصصه ومعبأه,390.0,ألف دولار
مكسبات طعم ورائحه,346.2,ألف دولار
لوح توزيع فرعيه تقل عن 1000 فولت,224.0,ألف دولار
راتنجات الكيديه,162.3,ألف دولار
لبن بودره غير محلى,135.7,ألف دولار
تنر (تنر عضوى عادى او مخصوص),130.8,ألف دولار
عصير خليط,128.5,ألف دولار
غيرها من البويات والورنيشات المائيه,99.8,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,90.0,ألف دولار
يوسفى طازج أو مجفف,63.0,ألف دولار
ديب فريزر رأسى او افقى اقل من 800 لتر,53.4,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),45.2,ألف دولار
سيليكات صوديوم أخر,41.3,ألف دولار
برتقال طازج أو مجفف,37.4,ألف دولار
بيكربونات كالسيوم,35.3,ألف دولار
خميره جافه نشطه,33.5,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,26.9,ألف دولار
بسكويت صيدلى,21.1,ألف دولار
بصل وكرات بشوشه,18.6,ألف دولار
اجولة واكياس من بولياثلين او بوليبروبلين,8.8,ألف دولار
لبن و كريم محلى,3.7,ألف دولار
غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,2.8,ألف دولار
فراوله طازجه,1.7,ألف دولار
لبن فرز(البان تحتوى على نسبةدسم لايزيد عن 1% من اجمالى الوزن),1.7,ألف دولار
فلفل  رومى أخضر و ألوان أخرى,1.1,ألف دولار
شمام طازج ما عدا البطيخ,0.9,ألف دولار
خس ملفوف وكرنبى,0.7,ألف دولار
أجزاء الات اخرى تؤدى وظائف مستقلة بذاتها غير مذكورة او داخلة فى اى مكان اخرمن هذا الفصل,0.7,ألف دولار
كرنب أفرنجى و بروكلى طازج,0.3,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,0.2,ألف دولار
غيرها من مستحضرات للتجميل او للتطريه ومستحضرات للعنايه بالبشره,0.1,ألف دولار
,0.1,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.1,ألف دولار
حقائب بسطح خارجى من مواد اخرى,0.0,ألف دولار
اصناف اخرى من جلد طبيعى او من جلد تركيبى لم تذكر فى مكان اخر,0.0,ألف دولار
