Year,Month,Export Amount
2012,يناير,"1,544,852"
2012,فبراير,"731,202"
2012,مارس,"2,404,089"
2012,إبريل,"704,976"
2012,مايو,"2,432,013"
2012,يونيو,"3,098,169"
2012,يوليو,"6,888,490"
2012,أغسطس,"2,985,992"
2012,سبتمبر,"3,832,568"
2012,أكتوبر,"1,037,616"
2012,نوفمبر,"1,054,277"
2012,ديسمبر,"944,238"
2013,يناير,"723,811"
2013,فبراير,"339,787"
2013,مارس,"880,483"
2013,إبريل,"1,124,516"
2013,مايو,"885,829"
2013,يونيو,"755,107"
2013,يوليو,"940,754"
2013,أغسطس,"777,306"
2013,سبتمبر,"832,903"
2013,أكتوبر,"457,503"
2013,نوفمبر,"1,760,646"
2013,ديسمبر,"1,326,123"
2014,يناير,"1,324,879"
2014,فبراير,"647,192"
2014,مارس,"1,685,132"
2014,إبريل,"711,249"
2014,مايو,"664,699"
2014,يونيو,"2,105,563"
2014,يوليو,"621,911"
2014,أغسطس,"412,605"
2014,سبتمبر,"608,594"
2014,أكتوبر,"326,645"
2014,نوفمبر,"349,557"
2014,ديسمبر,"326,575"
2015,يناير,"605,728"
2015,فبراير,"332,921"
2015,مارس,"1,000,130"
2015,إبريل,"1,093,547"
2015,مايو,"496,296"
2015,يونيو,"720,562"
2015,يوليو,"754,967"
2015,أغسطس,"679,714"
2015,سبتمبر,"678,609"
2015,أكتوبر,"634,224"
2015,نوفمبر,"635,610"
2015,ديسمبر,"865,264"
2016,يناير,"433,646"
2016,فبراير,"281,281"
2016,مارس,"626,923"
2016,إبريل,"583,267"
2016,مايو,"1,305,431"
2016,يونيو,"423,737"
2016,يوليو,"2,105,053"
2016,أغسطس,"554,797"
2016,سبتمبر,"158,019"
2016,أكتوبر,"497,325"
2016,نوفمبر,"342,137"
2016,ديسمبر,"1,032,657"
2017,يناير,"2,044,887"
2017,فبراير,"569,926"
2017,مارس,"451,580"
2017,إبريل,"541,832"
2017,مايو,"680,079"
2017,يونيو,"468,910"
2017,يوليو,"932,696"
2017,أغسطس,"455,477"
2017,سبتمبر,"1,216,466"
2017,أكتوبر,"239,022"
2017,نوفمبر,"974,854"
2017,ديسمبر,"1,020,063"
2018,يناير,"464,370"
2018,فبراير,"484,637"
2018,مارس,"617,803"
2018,إبريل,"327,927"
2018,مايو,"516,035"
2018,يونيو,"862,188"
2018,يوليو,"182,374"
2018,أغسطس,"57,641"
2018,سبتمبر,"596,930"
2018,أكتوبر,"791,424"
2018,نوفمبر,"1,158,435"
2018,ديسمبر,"672,619"
2019,يناير,"1,339,367"
2019,فبراير,"1,067,350"
2019,مارس,"871,532"
2019,إبريل,"681,965"
2019,مايو,"1,451,171"
2019,يونيو,"678,744"
2019,يوليو,"1,963,935"
2019,أغسطس,"498,712"
2019,سبتمبر,"342,401"
2019,أكتوبر,"634,387"
2019,نوفمبر,"986,127"
2019,ديسمبر,"1,051,003"
2020,يناير,"2,358,050"
2020,فبراير,"2,561,925"
2020,مارس,"2,066,116"
2020,إبريل,"664,879"
2020,مايو,"302,588"
2020,يونيو,"1,217,350"
2020,يوليو,"1,167,490"
2020,أغسطس,"773,370"
2020,سبتمبر,"705,022"
2020,أكتوبر,"859,242"
2020,نوفمبر,"932,539"
2020,ديسمبر,"778,258"
2021,يناير,"1,393,169"
2021,فبراير,"1,052,029"
2021,مارس,"1,451,677"
2021,إبريل,"1,569,331"
2021,مايو,"1,747,802"
2021,يونيو,"1,794,126"
2021,يوليو,"2,837,694"
2021,أغسطس,"4,148,311"
2021,سبتمبر,"1,081,882"
2021,أكتوبر,"689,527"
2021,نوفمبر,"3,625,228"
2021,ديسمبر,"1,830,531"
2022,يناير,"472,511"
2022,فبراير,"1,678,529"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
