Item,Amount,Value
عجائن اخرى غير محتويه على بيض,96.7,ألف دولار
سجاد من ألياف صناعيه أخرى,47.3,ألف دولار
المارجرين أو بديل الزبده ? زبده صناعيه,45.6,ألف دولار
راتنجات الكيديه,36.3,ألف دولار
فوليه),33.9,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,28.9,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),25.5,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),18.7,ألف دولار
ثلاجات منزليه أخرى,18.2,ألف دولار
صناديق و حاويات من البلاستيك,16.9,ألف دولار
ورق رشح,15.6,ألف دولار
بسكويت صيدلى,11.4,ألف دولار
أدوات المدارس و المكاتب من أنواع البلاستيك الأخرى,0.1,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.1,ألف دولار
