Year,Month,Export Amount
2012,يناير,"366,236"
2012,فبراير,"443,190"
2012,مارس,"548,123"
2012,إبريل,"1,192,704"
2012,مايو,"443,458"
2012,يونيو,"361,177"
2012,يوليو,"705,490"
2012,أغسطس,"205,946"
2012,سبتمبر,"430,529"
2012,أكتوبر,"254,157"
2012,نوفمبر,"268,033"
2012,ديسمبر,"268,012"
2013,يناير,"287,012"
2013,فبراير,"219,975"
2013,مارس,"753,572"
2013,إبريل,"539,870"
2013,مايو,"176,222"
2013,يونيو,"436,524"
2013,يوليو,"230,042"
2013,أغسطس,"329,630"
2013,سبتمبر,"925,297"
2013,أكتوبر,"253,852"
2013,نوفمبر,"408,143"
2013,ديسمبر,"378,147"
2014,يناير,"534,679"
2014,فبراير,"718,615"
2014,مارس,"166,085"
2014,إبريل,"624,601"
2014,مايو,"338,770"
2014,يونيو,"394,259"
2014,يوليو,"383,155"
2014,أغسطس,"659,265"
2014,سبتمبر,"296,975"
2014,أكتوبر,"253,728"
2014,نوفمبر,"179,870"
2014,ديسمبر,"367,886"
2015,يناير,"216,752"
2015,فبراير,"381,827"
2015,مارس,"674,411"
2015,إبريل,"1,506,600"
2015,مايو,"214,470"
2015,يونيو,"461,121"
2015,يوليو,"441,127"
2015,أغسطس,"1,212,257"
2015,سبتمبر,"360,900"
2015,أكتوبر,"286,047"
2015,نوفمبر,"293,874"
2015,ديسمبر,"171,180"
2016,يناير,"243,466"
2016,فبراير,"254,858"
2016,مارس,"179,235"
2016,إبريل,"71,675"
2016,مايو,"258,107"
2016,يونيو,"176,228"
2016,يوليو,"221,275"
2016,أغسطس,"186,920"
2016,سبتمبر,"200,470"
2016,أكتوبر,"134,849"
2016,نوفمبر,"260,221"
2016,ديسمبر,"120,376"
2017,يناير,"456,868"
2017,فبراير,"106,240"
2017,مارس,"112,878"
2017,إبريل,"317,079"
2017,مايو,"493,427"
2017,يونيو,"307,497"
2017,يوليو,"317,709"
2017,أغسطس,"223,131"
2017,سبتمبر,"89,788"
2017,أكتوبر,"483,458"
2017,نوفمبر,"218,918"
2017,ديسمبر,"560,297"
2018,يناير,"234,829"
2018,فبراير,"276,373"
2018,مارس,"389,425"
2018,إبريل,"362,251"
2018,مايو,"415,904"
2018,يونيو,"131,304"
2018,يوليو,"284,026"
2018,أغسطس,0
2018,سبتمبر,"287,866"
2018,أكتوبر,"123,534"
2018,نوفمبر,"161,782"
2018,ديسمبر,"583,824"
2019,يناير,"106,487"
2019,فبراير,"264,992"
2019,مارس,"625,803"
2019,إبريل,"719,480"
2019,مايو,"659,488"
2019,يونيو,"324,894"
2019,يوليو,"725,107"
2019,أغسطس,"448,523"
2019,سبتمبر,"506,318"
2019,أكتوبر,"622,971"
2019,نوفمبر,"1,026,845"
2019,ديسمبر,"1,329,484"
2020,يناير,"516,000"
2020,فبراير,"985,296"
2020,مارس,"1,132,788"
2020,إبريل,"325,966"
2020,مايو,"165,031"
2020,يونيو,"625,335"
2020,يوليو,"404,053"
2020,أغسطس,"889,987"
2020,سبتمبر,"448,592"
2020,أكتوبر,"1,087,410"
2020,نوفمبر,"244,567"
2020,ديسمبر,"471,004"
2021,يناير,"563,779"
2021,فبراير,"558,736"
2021,مارس,"1,560,526"
2021,إبريل,"747,335"
2021,مايو,"962,932"
2021,يونيو,"97,622"
2021,يوليو,"125,013"
2021,أغسطس,"174,737"
2021,سبتمبر,"385,920"
2021,أكتوبر,"334,951"
2021,نوفمبر,"19,530"
2021,ديسمبر,"264,788"
2022,يناير,"362,899"
2022,فبراير,"115,671"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
