Item,Amount,Value
بترول خام,132.0,مليون دولار
بطاطس طازجه اومبرده أخرى,17.3,مليون دولار
سماد يوريا أو اسمده ازوتيه اخرى,16.6,مليون دولار
سماد سلفات النوشادر (سماد كبريتات النشادر),6.0,مليون دولار
سلك نحاس اصفر,2.1,مليون دولار
صودا كاويه سائله,1.9,مليون دولار
بوليمرات الإيثيلين,1.8,مليون دولار
بودره بولي ايثلين P.E.T,1.6,مليون دولار
كحول الميثيل,1.4,مليون دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,1.2,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,1.1,مليون دولار
زيتون مخلل,920.2,ألف دولار
سماد نترات النشادر الجيرى,663.3,ألف دولار
بودره بولي فنيل كلوريد  P.V.S,649.8,ألف دولار
بدل رجالى من ألياف نسجيه أخرى غير مصنره,557.1,ألف دولار
حبات  (P.P) بولي بروبلين,501.8,ألف دولار
اطقم حمامات / بياضات متنوعه,458.3,ألف دولار
استياتيت طبيعى مجروش او مطحون,393.1,ألف دولار
نشا ذره,384.3,ألف دولار
ورق صحى( تواليت) بكر/ تشيو بكر / ورق خفيف,371.7,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,345.4,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,342.1,ألف دولار
إطارات السيارات النقل و الشاحنات,320.5,ألف دولار
أحجار طبيعيه للمبانى مصقوله,312.1,ألف دولار
سلك اسوار,285.4,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,284.5,ألف دولار
ألواح حديد زنك مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,274.4,ألف دولار
اسمنت فوندو ..... الخ,273.6,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",244.7,ألف دولار
خس ملفوف وكرنبى,244.6,ألف دولار
خضروات اخرى مجمده,239.8,ألف دولار
قطاعان و أشكال UIH مسحوبه على البارد,224.5,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,222.8,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,221.8,ألف دولار
ملح غير صالح للطعام و ملح طعام,214.8,ألف دولار
فراوله محفوظه مؤقتا,203.0,ألف دولار
قدد من الالومنيوم مستطيلة الشكل,188.8,ألف دولار
زجاج مسطح عادى سادة غير مسلح,183.4,ألف دولار
اسلاك حديدية فى لفائف غير مغلفة او مطلية او مصقولة,167.1,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,162.4,ألف دولار
ألواح حديد مغلفه مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,150.3,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,142.5,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,136.3,ألف دولار
بذور سمسم,131.1,ألف دولار
غواسل عضوية بحالة ايونات سالبة,114.7,ألف دولار
أغطية أرضيات نسجيه أخرى,111.1,ألف دولار
ادوات أخرى من الزجاج العادى,110.4,ألف دولار
الواح رخام بدون صقل,109.3,ألف دولار
بودرة صلب,108.0,ألف دولار
كبريتات ماغنيسيوم,104.8,ألف دولار
ادوات للمائدة والمطبخ بورسلين,104.0,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,99.7,ألف دولار
خيوط الخياطه من ألياف صناعيه المستمر,97.7,ألف دولار
رمال السيليس (السيليكا) ورمال الكوارتز,93.0,ألف دولار
قماش دوتر بروش,88.5,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,87.8,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,85.4,ألف دولار
لوبيا مجففه ومفصصه ومعبأه,82.8,ألف دولار
ملايات و مفارش سرير قطن,82.4,ألف دولار
خميره جافه نشطه,79.7,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) (56و232)غير مهييء للبيع بالتجزئه,76.5,ألف دولار
