Year,Month,Export Amount
2012,يناير,"30,160,086"
2012,فبراير,"19,623,944"
2012,مارس,"18,035,351"
2012,إبريل,"14,917,969"
2012,مايو,"16,396,870"
2012,يونيو,"21,261,707"
2012,يوليو,"9,291,762"
2012,أغسطس,"15,561,777"
2012,سبتمبر,"13,552,625"
2012,أكتوبر,"8,285,356"
2012,نوفمبر,"11,241,380"
2012,ديسمبر,"19,127,542"
2013,يناير,"9,746,553"
2013,فبراير,"21,844,909"
2013,مارس,"21,375,880"
2013,إبريل,"16,216,508"
2013,مايو,"14,226,656"
2013,يونيو,"12,313,436"
2013,يوليو,"7,313,781"
2013,أغسطس,"5,002,706"
2013,سبتمبر,"13,763,859"
2013,أكتوبر,"12,747,914"
2013,نوفمبر,"12,520,625"
2013,ديسمبر,"15,431,687"
2014,يناير,"14,426,921"
2014,فبراير,"20,797,644"
2014,مارس,"21,305,134"
2014,إبريل,"14,961,044"
2014,مايو,"18,293,346"
2014,يونيو,"13,856,004"
2014,يوليو,"26,862,003"
2014,أغسطس,"8,927,588"
2014,سبتمبر,"11,260,334"
2014,أكتوبر,"14,351,402"
2014,نوفمبر,"13,687,626"
2014,ديسمبر,"12,737,059"
2015,يناير,"7,757,923"
2015,فبراير,"18,682,194"
2015,مارس,"18,055,361"
2015,إبريل,"13,276,227"
2015,مايو,"7,599,194"
2015,يونيو,"6,260,896"
2015,يوليو,"17,944,517"
2015,أغسطس,"8,922,914"
2015,سبتمبر,"8,008,905"
2015,أكتوبر,"7,151,991"
2015,نوفمبر,"8,184,346"
2015,ديسمبر,"12,528,553"
2016,يناير,"7,908,935"
2016,فبراير,"15,623,330"
2016,مارس,"25,837,519"
2016,إبريل,"17,498,233"
2016,مايو,"7,718,147"
2016,يونيو,"9,122,991"
2016,يوليو,"12,529,325"
2016,أغسطس,"6,454,611"
2016,سبتمبر,"8,555,600"
2016,أكتوبر,"6,281,927"
2016,نوفمبر,"10,797,982"
2016,ديسمبر,"30,100,529"
2017,يناير,"65,452,633"
2017,فبراير,"17,645,304"
2017,مارس,"31,497,632"
2017,إبريل,"17,208,729"
2017,مايو,"12,328,431"
2017,يونيو,"7,405,191"
2017,يوليو,"11,572,661"
2017,أغسطس,"8,795,917"
2017,سبتمبر,"11,476,784"
2017,أكتوبر,"15,798,588"
2017,نوفمبر,"9,708,917"
2017,ديسمبر,"16,429,923"
2018,يناير,"18,417,294"
2018,فبراير,"24,954,301"
2018,مارس,"26,151,234"
2018,إبريل,"17,910,144"
2018,مايو,"22,447,180"
2018,يونيو,"11,165,993"
2018,يوليو,"10,780,934"
2018,أغسطس,"17,526,624"
2018,سبتمبر,"13,543,655"
2018,أكتوبر,"14,666,452"
2018,نوفمبر,"15,164,784"
2018,ديسمبر,"13,075,311"
2019,يناير,"23,061,374"
2019,فبراير,"33,395,952"
2019,مارس,"29,381,766"
2019,إبريل,"61,268,229"
2019,مايو,"88,644,332"
2019,يونيو,"79,078,386"
2019,يوليو,"38,503,635"
2019,أغسطس,"62,438,895"
2019,سبتمبر,"51,186,109"
2019,أكتوبر,"70,662,538"
2019,نوفمبر,"16,878,484"
2019,ديسمبر,"65,130,158"
2020,يناير,"47,182,943"
2020,فبراير,"54,627,748"
2020,مارس,"40,119,233"
2020,إبريل,"27,179,722"
2020,مايو,"21,858,042"
2020,يونيو,"63,420,019"
2020,يوليو,"66,416,915"
2020,أغسطس,"84,007,738"
2020,سبتمبر,"34,358,208"
2020,أكتوبر,"61,205,236"
2020,نوفمبر,"59,457,804"
2020,ديسمبر,"93,237,811"
2021,يناير,"93,886,190"
2021,فبراير,"144,495,611"
2021,مارس,"127,487,186"
2021,إبريل,"166,948,877"
2021,مايو,"141,781,596"
2021,يونيو,"132,777,007"
2021,يوليو,"111,203,097"
2021,أغسطس,"145,485,795"
2021,سبتمبر,"106,520,219"
2021,أكتوبر,"171,806,990"
2021,نوفمبر,"102,927,909"
2021,ديسمبر,"160,087,143"
2022,يناير,"67,381,528"
2022,فبراير,"132,349,308"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
