Item,Amount,Value
راتنجات يوريا,1.4,مليون دولار
فراوله محفوظه مؤقتا,360.6,ألف دولار
غواسل عضوية بحالة ايونات سالبة,345.3,ألف دولار
ملابس أخرى من أقمشه نسجيه أخرى رجالى,248.5,ألف دولار
راتنجات ميلامين,204.0,ألف دولار
ورنيشات قاعدتها P.V.A,63.1,ألف دولار
خضروات مجمدة او مبردة,33.7,ألف دولار
نشا ذره,32.8,ألف دولار
زجاج مسطح عادى سادة غير مسلح,31.9,ألف دولار
سجاد نايلون آخر,28.5,ألف دولار
نباتات طبيه أخرى,22.1,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,21.9,ألف دولار
راتنجات صمغيه,21.5,ألف دولار
اغطيه ارضيات اساسها الورق اوالورق المقوى,21.4,ألف دولار
لعزل الحراره ?  الصوت,16.5,ألف دولار
ريليهات أكثر من 60 فولت و أقل من 1000 فولت,8.9,ألف دولار
مجففات محضره,7.2,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,7.0,ألف دولار
تنر (تنر عضوى عادى او مخصوص),1.1,ألف دولار
