Year,Month,Export Amount
2012,يناير,"543,752"
2012,فبراير,"132,286"
2012,مارس,"581,661"
2012,إبريل,"410,210"
2012,مايو,"241,030"
2012,يونيو,"307,005"
2012,يوليو,"397,722"
2012,أغسطس,"580,312"
2012,سبتمبر,"384,485"
2012,أكتوبر,"297,587"
2012,نوفمبر,"444,497"
2012,ديسمبر,"141,425"
2013,يناير,"506,564"
2013,فبراير,"241,241"
2013,مارس,"755,574"
2013,إبريل,"412,929"
2013,مايو,"322,371"
2013,يونيو,"90,745"
2013,يوليو,"556,750"
2013,أغسطس,"450,440"
2013,سبتمبر,"394,348"
2013,أكتوبر,"374,343"
2013,نوفمبر,"360,923"
2013,ديسمبر,"448,091"
2014,يناير,"241,304"
2014,فبراير,"99,505"
2014,مارس,"225,911"
2014,إبريل,"377,517"
2014,مايو,"190,325"
2014,يونيو,"411,701"
2014,يوليو,"143,161"
2014,أغسطس,"575,106"
2014,سبتمبر,"749,024"
2014,أكتوبر,"432,389"
2014,نوفمبر,"501,998"
2014,ديسمبر,"676,940"
2015,يناير,"389,193"
2015,فبراير,"740,891"
2015,مارس,"1,062,490"
2015,إبريل,"702,874"
2015,مايو,"328,257"
2015,يونيو,"882,526"
2015,يوليو,"542,223"
2015,أغسطس,"85,718"
2015,سبتمبر,"183,697"
2015,أكتوبر,"398,928"
2015,نوفمبر,"659,440"
2015,ديسمبر,"309,369"
2016,يناير,"459,744"
2016,فبراير,"459,803"
2016,مارس,"623,252"
2016,إبريل,"440,383"
2016,مايو,"490,453"
2016,يونيو,"577,409"
2016,يوليو,"1,218,084"
2016,أغسطس,"364,069"
2016,سبتمبر,"614,795"
2016,أكتوبر,"731,847"
2016,نوفمبر,"739,183"
2016,ديسمبر,"442,433"
2017,يناير,"2,353,431"
2017,فبراير,"616,474"
2017,مارس,"458,834"
2017,إبريل,"485,127"
2017,مايو,"474,059"
2017,يونيو,"289,843"
2017,يوليو,"579,851"
2017,أغسطس,"249,878"
2017,سبتمبر,"843,848"
2017,أكتوبر,"324,812"
2017,نوفمبر,"485,235"
2017,ديسمبر,"604,798"
2018,يناير,"611,349"
2018,فبراير,"479,366"
2018,مارس,"829,821"
2018,إبريل,"661,799"
2018,مايو,"629,408"
2018,يونيو,"664,089"
2018,يوليو,"866,758"
2018,أغسطس,"712,995"
2018,سبتمبر,"1,051,567"
2018,أكتوبر,"528,073"
2018,نوفمبر,"258,415"
2018,ديسمبر,"375,470"
2019,يناير,"1,147,355"
2019,فبراير,"521,766"
2019,مارس,"956,117"
2019,إبريل,"485,233"
2019,مايو,"996,815"
2019,يونيو,"887,691"
2019,يوليو,"400,041"
2019,أغسطس,"560,912"
2019,سبتمبر,"718,485"
2019,أكتوبر,"2,436,786"
2019,نوفمبر,"400,041"
2019,ديسمبر,"560,953"
2020,يناير,"606,686"
2020,فبراير,"887,399"
2020,مارس,"976,409"
2020,إبريل,"793,463"
2020,مايو,"283,839"
2020,يونيو,"764,386"
2020,يوليو,"1,430,253"
2020,أغسطس,"387,024"
2020,سبتمبر,"1,580,696"
2020,أكتوبر,"596,215"
2020,نوفمبر,"1,277,743"
2020,ديسمبر,"765,495"
2021,يناير,"2,336,420"
2021,فبراير,"1,254,488"
2021,مارس,"883,652"
2021,إبريل,"1,057,749"
2021,مايو,"1,090,146"
2021,يونيو,"1,409,891"
2021,يوليو,"1,188,963"
2021,أغسطس,"3,039,383"
2021,سبتمبر,"1,295,290"
2021,أكتوبر,"3,491,548"
2021,نوفمبر,"73,949"
2021,ديسمبر,"1,476,206"
2022,يناير,"1,584,945"
2022,فبراير,"2,010,058"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
