Item,Amount,Value
برتقال طازج أو مجفف,5.2,مليون دولار
يوسفى طازج أو مجفف,501.8,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,224.3,ألف دولار
اتوبيس سياحه (سيارات النقل العام من طراز الركاب),218.2,ألف دولار
ملابس أخرى من أقمشه نسجيه أخرى رجالى,141.8,ألف دولار
ساعات يد بظروف من معادن عاديه مطليه بمعدن ثمين و عرض بالعقارب و ببطاريه,139.8,ألف دولار
فراوله طازجه,119.5,ألف دولار
أجزاء راديو و تليفزيون,86.3,ألف دولار
جريب فروت طازج أو مجفف,84.5,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,73.8,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,38.6,ألف دولار
قماش الدنيم أو الجينز,35.9,ألف دولار
بنطلون رجالى من القطن غير مصنره,31.5,ألف دولار
قمصان رجالى من الياف أخرى مصنره,30.0,ألف دولار
بطاطا طازجه أو مجففه,27.3,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,25.7,ألف دولار
بلوزه حريمى من الياف نسجيه أخرى مصنره,22.2,ألف دولار
فاكهه أخرى طازجه,20.0,ألف دولار
بنطلون رجالى من الياف صناعيه غير مصنره,17.1,ألف دولار
مصارين ومثانات ومعد حيوانات (غير الاسماك) بكاملهااواجزاء منها,16.7,ألف دولار
خس ملفوف وكرنبى,14.3,ألف دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام غير مبيضه,13.2,ألف دولار
محضرات واصناف صيدليه اخر,11.4,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,11.0,ألف دولار
خضروات مجففه,8.7,ألف دولار
لعزل الحراره ?  الصوت,8.3,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,7.1,ألف دولار
سليب رجالى قطن مصنره,5.0,ألف دولار
كورنيد بيف بقرى,4.2,ألف دولار
قطع من ملابس جاهزه,3.7,ألف دولار
مستحضرات تجميل الشفاه,3.5,ألف دولار
غراء بوجه عام,1.0,ألف دولار
بنطلون حريمى من القطن غير مصنره,0.4,ألف دولار
واقيات الصدمات واجزاؤها,0.2,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.1,ألف دولار
سماعات للراس وسماعات للاذن مركبه على الميكروفانات واطقم مكبره للصوت,0.1,ألف دولار
مساحيقهاونفاياتها,0.1,ألف دولار
أحجار طبيعيه للمبانى أخرى,0.1,ألف دولار
قشده) لبن رايب,0.0,ألف دولار
توت طازج,0.0,ألف دولار
