Year,Month,Export Amount
2012,يناير,"734,587"
2012,فبراير,"1,366,573"
2012,مارس,"7,744,683"
2012,إبريل,"4,470,161"
2012,مايو,"2,775,020"
2012,يونيو,"1,390,936"
2012,يوليو,"1,573,460"
2012,أغسطس,"4,006,477"
2012,سبتمبر,"2,788,449"
2012,أكتوبر,"1,610,731"
2012,نوفمبر,"411,572"
2012,ديسمبر,"1,134,953"
2013,يناير,"1,648,677"
2013,فبراير,"1,216,892"
2013,مارس,"1,634,740"
2013,إبريل,"2,057,419"
2013,مايو,"1,542,496"
2013,يونيو,"2,313,633"
2013,يوليو,"1,749,552"
2013,أغسطس,"3,450,137"
2013,سبتمبر,"5,120,103"
2013,أكتوبر,"4,350,256"
2013,نوفمبر,"2,701,013"
2013,ديسمبر,"3,519,301"
2014,يناير,"3,036,396"
2014,فبراير,"1,797,382"
2014,مارس,"4,668,688"
2014,إبريل,"3,434,665"
2014,مايو,"4,165,558"
2014,يونيو,"3,892,635"
2014,يوليو,"770,756"
2014,أغسطس,"621,414"
2014,سبتمبر,"1,248,364"
2014,أكتوبر,"485,081"
2014,نوفمبر,"1,433,195"
2014,ديسمبر,"3,466,156"
2015,يناير,"3,184,417"
2015,فبراير,"3,709,965"
2015,مارس,"5,530,845"
2015,إبريل,"1,846,547"
2015,مايو,"1,327,380"
2015,يونيو,"1,335,098"
2015,يوليو,"960,016"
2015,أغسطس,"1,290,704"
2015,سبتمبر,"1,000,035"
2015,أكتوبر,"1,059,035"
2015,نوفمبر,"433,242"
2015,ديسمبر,"1,783,167"
2016,يناير,"2,534,828"
2016,فبراير,"3,394,766"
2016,مارس,"3,366,057"
2016,إبريل,"3,813,269"
2016,مايو,"1,775,950"
2016,يونيو,"1,783,776"
2016,يوليو,"1,323,459"
2016,أغسطس,"1,596,133"
2016,سبتمبر,"855,714"
2016,أكتوبر,"943,159"
2016,نوفمبر,"1,551,597"
2016,ديسمبر,"4,372,619"
2017,يناير,"5,513,602"
2017,فبراير,"2,735,649"
2017,مارس,"4,533,398"
2017,إبريل,"3,210,293"
2017,مايو,"1,811,892"
2017,يونيو,"1,079,468"
2017,يوليو,"1,345,996"
2017,أغسطس,"910,530"
2017,سبتمبر,"636,840"
2017,أكتوبر,"1,411,067"
2017,نوفمبر,"2,023,591"
2017,ديسمبر,"4,452,564"
2018,يناير,"4,920,713"
2018,فبراير,"2,635,910"
2018,مارس,"5,042,707"
2018,إبريل,"2,859,902"
2018,مايو,"1,983,797"
2018,يونيو,"1,387,488"
2018,يوليو,"2,246,657"
2018,أغسطس,"1,071,197"
2018,سبتمبر,"1,561,654"
2018,أكتوبر,"1,899,449"
2018,نوفمبر,"2,376,404"
2018,ديسمبر,"4,950,073"
2019,يناير,"5,000,678"
2019,فبراير,"3,889,930"
2019,مارس,"4,196,507"
2019,إبريل,"2,471,510"
2019,مايو,"1,692,972"
2019,يونيو,"1,991,891"
2019,يوليو,"1,791,698"
2019,أغسطس,"639,882"
2019,سبتمبر,"677,191"
2019,أكتوبر,"1,999,870"
2019,نوفمبر,"1,995,568"
2019,ديسمبر,"3,382,780"
2020,يناير,"2,480,608"
2020,فبراير,"2,915,387"
2020,مارس,"3,321,587"
2020,إبريل,"822,431"
2020,مايو,"735,118"
2020,يونيو,"4,596,301"
2020,يوليو,"1,174,624"
2020,أغسطس,"6,948,222"
2020,سبتمبر,"1,600,463"
2020,أكتوبر,"12,639,193"
2020,نوفمبر,"9,489,427"
2020,ديسمبر,"13,630,950"
2021,يناير,"14,872,459"
2021,فبراير,"2,960,121"
2021,مارس,"1,947,332"
2021,إبريل,"5,040,511"
2021,مايو,"2,241,012"
2021,يونيو,"2,428,968"
2021,يوليو,"1,230,420"
2021,أغسطس,"2,810,899"
2021,سبتمبر,"2,336,918"
2021,أكتوبر,"2,089,459"
2021,نوفمبر,"1,968,040"
2021,ديسمبر,"4,604,899"
2022,يناير,"5,118,529"
2022,فبراير,"4,160,711"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
