Year,Month,Export Amount
2012,يناير,0
2012,فبراير,0
2012,مارس,0
2012,إبريل,"34,753"
2012,مايو,0
2012,يونيو,"8,843"
2012,يوليو,"58,156"
2012,أغسطس,0
2012,سبتمبر,"17,572"
2012,أكتوبر,0
2012,نوفمبر,"33,281"
2012,ديسمبر,"3,464"
2013,يناير,"39,451"
2013,فبراير,0
2013,مارس,0
2013,إبريل,0
2013,مايو,799
2013,يونيو,0
2013,يوليو,0
2013,أغسطس,0
2013,سبتمبر,0
2013,أكتوبر,"32,040"
2013,نوفمبر,"13,786"
2013,ديسمبر,0
2014,يناير,0
2014,فبراير,"44,527"
2014,مارس,0
2014,إبريل,"50,080"
2014,مايو,0
2014,يونيو,"105,651"
2014,يوليو,0
2014,أغسطس,"82,518"
2014,سبتمبر,"8,484"
2014,أكتوبر,"22,313"
2014,نوفمبر,"2,790"
2014,ديسمبر,"83,130"
2015,يناير,"5,593"
2015,فبراير,0
2015,مارس,"49,224"
2015,إبريل,0
2015,مايو,"4,893"
2015,يونيو,0
2015,يوليو,"68,107"
2015,أغسطس,0
2015,سبتمبر,"7,988"
2015,أكتوبر,0
2015,نوفمبر,"90,955"
2015,ديسمبر,"4,078"
2016,يناير,0
2016,فبراير,0
2016,مارس,"121,833"
2016,إبريل,0
2016,مايو,"16,059"
2016,يونيو,0
2016,يوليو,0
2016,أغسطس,"20,840"
2016,سبتمبر,0
2016,أكتوبر,0
2016,نوفمبر,"9,387"
2016,ديسمبر,"7,054"
2017,يناير,"62,091"
2017,فبراير,"14,941"
2017,مارس,"50,650"
2017,إبريل,0
2017,مايو,"12,528"
2017,يونيو,"2,470"
2017,يوليو,0
2017,أغسطس,0
2017,سبتمبر,0
2017,أكتوبر,0
2017,نوفمبر,"30,971"
2017,ديسمبر,0
2018,يناير,0
2018,فبراير,"43,174"
2018,مارس,"16,740"
2018,إبريل,"33,481"
2018,مايو,"98,973"
2018,يونيو,"50,220"
2018,يوليو,"97,420"
2018,أغسطس,"16,740"
2018,سبتمبر,"171,095"
2018,أكتوبر,"70,105"
2018,نوفمبر,"46,953"
2018,ديسمبر,"29,956"
2019,يناير,"112,072"
2019,فبراير,"176,666"
2019,مارس,"89,498"
2019,إبريل,"47,716"
2019,مايو,"141,564"
2019,يونيو,"40,991"
2019,يوليو,"27,952"
2019,أغسطس,"21,096"
2019,سبتمبر,"167,190"
2019,أكتوبر,"27,698"
2019,نوفمبر,"48,067"
2019,ديسمبر,"65,864"
2020,يناير,"19,305"
2020,فبراير,"18,315"
2020,مارس,"7,866"
2020,إبريل,"31,644"
2020,مايو,"73,863"
2020,يونيو,"104,873"
2020,يوليو,"19,912"
2020,أغسطس,"35,361"
2020,سبتمبر,"31,747"
2020,أكتوبر,"82,625"
2020,نوفمبر,"138,384"
2020,ديسمبر,"45,174"
2021,يناير,"679,151"
2021,فبراير,"348,150"
2021,مارس,"116,311"
2021,إبريل,"246,302"
2021,مايو,"268,991"
2021,يونيو,"1,036,469"
2021,يوليو,"649,666"
2021,أغسطس,"842,673"
2021,سبتمبر,"457,730"
2021,أكتوبر,"7,088"
2021,نوفمبر,"77,236"
2021,ديسمبر,"681,148"
2022,يناير,"17,646"
2022,فبراير,"513,011"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
