Item,Amount,Value
بودره بولي ايثلين P.E.T,4.7,مليون دولار
بنطلون رجالى من القطن غير مصنره,3.1,مليون دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,774.6,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,490.7,ألف دولار
بطاطس طازجه اومبرده أخرى,405.6,ألف دولار
زيت النخيل بحاله اخرى,403.6,ألف دولار
برتقال طازج أو مجفف,315.6,ألف دولار
بصل مجفف,284.6,ألف دولار
ملح غير صالح للطعام و ملح طعام,208.6,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),98.4,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,89.5,ألف دولار
يوسفى طازج أو مجفف,76.1,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),67.0,ألف دولار
اطقم حمامات / بياضات متنوعه,57.5,ألف دولار
نباتات طبيه أخرى,55.4,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,52.5,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,46.9,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,44.7,ألف دولار
بطاطا طازجه أو مجففه,43.8,ألف دولار
إطارات السيارات النقل و الشاحنات,32.0,ألف دولار
قوارب وزوارق تجديف منفوخه,30.7,ألف دولار
فاصوليا بيضاء مجففه ومفصصه ومعبأه,30.0,ألف دولار
لوبيا مجففه ومفصصه ومعبأه,25.8,ألف دولار
أحجار طبيعيه للمبانى مصقوله,21.3,ألف دولار
غزل كتان متعدد مسرح,20.5,ألف دولار
بذار (تقاوى)بطاطس طازجه اومبرده,20.0,ألف دولار
نايلون,16.9,ألف دولار
,15.0,ألف دولار
طرشى),14.2,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,10.5,ألف دولار
