Year,Month,Export Amount
2012,يناير,"581,566"
2012,فبراير,"358,288"
2012,مارس,"392,088"
2012,إبريل,"192,462"
2012,مايو,"378,526"
2012,يونيو,"357,543"
2012,يوليو,"136,559"
2012,أغسطس,"1,707,211"
2012,سبتمبر,"1,178,362"
2012,أكتوبر,"664,764"
2012,نوفمبر,"472,194"
2012,ديسمبر,"587,772"
2013,يناير,"557,257"
2013,فبراير,"737,005"
2013,مارس,"1,332,425"
2013,إبريل,"552,671"
2013,مايو,"260,094"
2013,يونيو,"2,912,516"
2013,يوليو,"377,308"
2013,أغسطس,"178,436"
2013,سبتمبر,"475,693"
2013,أكتوبر,"578,417"
2013,نوفمبر,"290,915"
2013,ديسمبر,"492,498"
2014,يناير,"487,876"
2014,فبراير,"921,118"
2014,مارس,"723,602"
2014,إبريل,"842,131"
2014,مايو,"1,240,811"
2014,يونيو,"1,000,782"
2014,يوليو,"642,935"
2014,أغسطس,"2,525,343"
2014,سبتمبر,"1,197,678"
2014,أكتوبر,"1,054,403"
2014,نوفمبر,"1,205,223"
2014,ديسمبر,"1,206,611"
2015,يناير,"1,124,450"
2015,فبراير,"2,061,183"
2015,مارس,"2,586,220"
2015,إبريل,"1,215,042"
2015,مايو,"1,639,903"
2015,يونيو,"1,030,266"
2015,يوليو,"633,097"
2015,أغسطس,"1,695,565"
2015,سبتمبر,"1,602,281"
2015,أكتوبر,"1,025,859"
2015,نوفمبر,"777,274"
2015,ديسمبر,"1,339,744"
2016,يناير,"1,406,965"
2016,فبراير,"1,121,167"
2016,مارس,"1,849,540"
2016,إبريل,"1,890,709"
2016,مايو,"828,838"
2016,يونيو,"731,957"
2016,يوليو,"414,466"
2016,أغسطس,"443,820"
2016,سبتمبر,"455,569"
2016,أكتوبر,"595,839"
2016,نوفمبر,"1,071,367"
2016,ديسمبر,"2,601,257"
2017,يناير,"2,276,129"
2017,فبراير,"1,064,015"
2017,مارس,"989,806"
2017,إبريل,"732,603"
2017,مايو,"1,259,322"
2017,يونيو,"262,397"
2017,يوليو,"448,627"
2017,أغسطس,"1,164,209"
2017,سبتمبر,"501,938"
2017,أكتوبر,"802,549"
2017,نوفمبر,"784,675"
2017,ديسمبر,"735,581"
2018,يناير,"1,347,257"
2018,فبراير,"1,185,020"
2018,مارس,"1,826,479"
2018,إبريل,"1,070,801"
2018,مايو,"1,243,592"
2018,يونيو,"1,096,688"
2018,يوليو,"820,522"
2018,أغسطس,"426,979"
2018,سبتمبر,"971,915"
2018,أكتوبر,"718,967"
2018,نوفمبر,"513,129"
2018,ديسمبر,"1,257,266"
2019,يناير,"3,017,122"
2019,فبراير,"1,708,145"
2019,مارس,"1,953,778"
2019,إبريل,"2,295,383"
2019,مايو,"1,210,370"
2019,يونيو,"1,214,164"
2019,يوليو,"980,399"
2019,أغسطس,"815,185"
2019,سبتمبر,"1,657,152"
2019,أكتوبر,"560,786"
2019,نوفمبر,"503,975"
2019,ديسمبر,"1,911,471"
2020,يناير,"1,053,175"
2020,فبراير,"3,756,599"
2020,مارس,"1,773,779"
2020,إبريل,"1,378,650"
2020,مايو,"418,024"
2020,يونيو,"1,844,898"
2020,يوليو,"774,446"
2020,أغسطس,"811,604"
2020,سبتمبر,"1,340,383"
2020,أكتوبر,"722,292"
2020,نوفمبر,"1,629,350"
2020,ديسمبر,"585,755"
2021,يناير,"1,991,140"
2021,فبراير,"3,506,099"
2021,مارس,"2,762,456"
2021,إبريل,"1,241,948"
2021,مايو,"671,587"
2021,يونيو,"2,351,969"
2021,يوليو,"1,641,584"
2021,أغسطس,"2,165,739"
2021,سبتمبر,"8,216,981"
2021,أكتوبر,"1,357,676"
2021,نوفمبر,"97,558,693"
2021,ديسمبر,"846,213"
2022,يناير,"3,140,290"
2022,فبراير,"8,643,126"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
