Year,Month,Export Amount
2012,يناير,"280,590"
2012,فبراير,"143,353"
2012,مارس,"195,004"
2012,إبريل,"37,234"
2012,مايو,"239,723"
2012,يونيو,"243,637"
2012,يوليو,"417,823"
2012,أغسطس,"247,477"
2012,سبتمبر,"372,491"
2012,أكتوبر,"330,950"
2012,نوفمبر,"492,227"
2012,ديسمبر,"513,703"
2013,يناير,"270,065"
2013,فبراير,"61,890"
2013,مارس,"364,976"
2013,إبريل,"293,309"
2013,مايو,"62,804"
2013,يونيو,"135,300"
2013,يوليو,"49,425"
2013,أغسطس,"134,320"
2013,سبتمبر,"66,086"
2013,أكتوبر,"93,808"
2013,نوفمبر,"421,820"
2013,ديسمبر,"274,780"
2014,يناير,"234,520"
2014,فبراير,"253,537"
2014,مارس,"234,520"
2014,إبريل,"246,400"
2014,مايو,"197,120"
2014,يونيو,"197,120"
2014,يوليو,"14,340"
2014,أغسطس,"785,447"
2014,سبتمبر,"197,120"
2014,أكتوبر,"257,362"
2014,نوفمبر,"192,948"
2014,ديسمبر,"317,140"
2015,يناير,"313,167"
2015,فبراير,"52,370"
2015,مارس,"259,249"
2015,إبريل,0
2015,مايو,"464,627"
2015,يونيو,"382,642"
2015,يوليو,0
2015,أغسطس,"466,618"
2015,سبتمبر,"230,472"
2015,أكتوبر,"153,220"
2015,نوفمبر,"103,799"
2015,ديسمبر,"287,409"
2016,يناير,"278,343"
2016,فبراير,"204,623"
2016,مارس,"146,654"
2016,إبريل,"114,500"
2016,مايو,"216,426"
2016,يونيو,"11,399"
2016,يوليو,"210,819"
2016,أغسطس,"52,900"
2016,سبتمبر,"175,310"
2016,أكتوبر,"52,380"
2016,نوفمبر,"239,250"
2016,ديسمبر,"137,418"
2017,يناير,"575,586"
2017,فبراير,"137,749"
2017,مارس,"105,714"
2017,إبريل,"347,383"
2017,مايو,"221,978"
2017,يونيو,"213,495"
2017,يوليو,"426,093"
2017,أغسطس,"47,220"
2017,سبتمبر,"189,600"
2017,أكتوبر,"140,800"
2017,نوفمبر,"578,874"
2017,ديسمبر,"136,471"
2018,يناير,"70,985"
2018,فبراير,"246,401"
2018,مارس,"364,984"
2018,إبريل,"123,070"
2018,مايو,"193,005"
2018,يونيو,"255,890"
2018,يوليو,"384,073"
2018,أغسطس,"304,935"
2018,سبتمبر,"331,252"
2018,أكتوبر,"375,160"
2018,نوفمبر,"70,405"
2018,ديسمبر,"210,736"
2019,يناير,"71,495"
2019,فبراير,"122,154"
2019,مارس,"90,804"
2019,إبريل,"255,533"
2019,مايو,"50,273"
2019,يونيو,"105,600"
2019,يوليو,"144,320"
2019,أغسطس,"171,523"
2019,سبتمبر,"239,309"
2019,أكتوبر,"170,132"
2019,نوفمبر,"302,811"
2019,ديسمبر,"291,145"
2020,يناير,"74,237"
2020,فبراير,"278,300"
2020,مارس,"193,225"
2020,إبريل,"321,420"
2020,مايو,"135,318"
2020,يونيو,"148,094"
2020,يوليو,"248,925"
2020,أغسطس,"235,527"
2020,سبتمبر,"1,237,586"
2020,أكتوبر,"512,104"
2020,نوفمبر,"384,331"
2020,ديسمبر,"424,950"
2021,يناير,"247,785"
2021,فبراير,"454,700"
2021,مارس,"306,953"
2021,إبريل,"715,874"
2021,مايو,"765,777"
2021,يونيو,"769,957"
2021,يوليو,"476,209"
2021,أغسطس,"271,452"
2021,سبتمبر,"167,368"
2021,أكتوبر,"230,930"
2021,نوفمبر,"91,389"
2021,ديسمبر,"549,115"
2022,يناير,"940,007"
2022,فبراير,"389,141"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
