Item,Amount,Value
موصلات كهربيه لا تزيد عن 80 فولت,1.6,مليون دولار
غيرها من مصنوعات اخرى من حديد او صلب,1.4,مليون دولار
,783.1,ألف دولار
,691.3,ألف دولار
فلفل  رومى أخضر و ألوان أخرى,689.2,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",576.4,ألف دولار
جهاز تكييف وتبريد دون تحديد سواء سبليت او مركزى,561.2,ألف دولار
إطارات السيارات النقل و الشاحنات,400.3,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,368.4,ألف دولار
أجزاء راديو و تليفزيون,314.0,ألف دولار
بطاطا طازجه أو مجففه,207.1,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),154.2,ألف دولار
بصل مجفف,130.8,ألف دولار
,120.5,ألف دولار
خضروات مجففه,96.4,ألف دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,74.8,ألف دولار
خس ملفوف وكرنبى,68.4,ألف دولار
فراوله محفوظه مؤقتا,68.4,ألف دولار
غزل صناعى متعدد تحتوى على 85% من ألياف الإكليريك المستمر غير مهيئه للبيع بالتجزئه,53.8,ألف دولار
مواد مانعه للرغوه فى درجات الحراره العاليه,51.0,ألف دولار
حبال ودوباره من الألياف الأخرى,42.0,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,39.2,ألف دولار
نباتات طبيه أخرى,32.6,ألف دولار
زيوت عطرية أخرى,28.8,ألف دولار
برتقال طازج أو مجفف,25.3,ألف دولار
نشاره الخشب,22.0,ألف دولار
خضروات اخرى مجمده,20.7,ألف دولار
وصلات و كيعان و فلانشات لمواسير,19.6,ألف دولار
خيـــــار و قثه طازجه,17.4,ألف دولار
يوسفى طازج أو مجفف,17.3,ألف دولار
بطاطس مجمده,16.6,ألف دولار
فراوله طازجه,14.4,ألف دولار
أحجار طبيعيه للمبانى مصقوله,12.6,ألف دولار
لوحات توزيع كهرباء بدون تحديد,12.5,ألف دولار
حاسب الى رقمى (كمبيوتر) محمول وزنه اقل من 10كج,9.9,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,9.3,ألف دولار
كرنب أفرنجى و بروكلى طازج,8.5,ألف دولار
مصابيح كهربائيه قابلة للحمل مصممه لتؤدى وظيفتها بواسطة مصادرها مــن الطاقه,5.9,ألف دولار
غزل كتان مفرد,5.5,ألف دولار
زيوت عطريه (من موالح) متعدده,4.9,ألف دولار
شعر كتان مسرح أو شعر كتان ممشط و ليس مغزول,4.0,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,3.0,ألف دولار
بذور عباد الشمس وان كانت مفتته,2.6,ألف دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,2.2,ألف دولار
غزل كتان متعدد مسرح,2.1,ألف دولار
كابلات هوائية (الم ـالم+ صلب),1.2,ألف دولار
موصلات كهربيه تزيد عن 1000 فولت,1.2,ألف دولار
الواح من مواد اخرى حبيبية من الخشب,1.2,ألف دولار
قرنبيــط,1.2,ألف دولار
حليات خشبيه بلاستيكيه,1.2,ألف دولار
اجزاء وكماليات مناسبة للعمل فى الالات الكاتبة والحواسب والاجهزة الالكترونية,1.0,ألف دولار
مطبوعات أخرى,1.0,ألف دولار
وحدات لماكينات معالجة الرقمية للبيانات,0.5,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,0.4,ألف دولار
لوح توزيع فرعيه تقل عن 1000 فولت,0.1,ألف دولار
محضرات غذائيه اخرى,0.0,ألف دولار
اكسوارات عوازل كهربائيه من بلاستيك,0.0,ألف دولار
