Year,Month,Export Amount
2012,يناير,"1,139,410"
2012,فبراير,"604,932"
2012,مارس,"727,958"
2012,إبريل,"436,804"
2012,مايو,"859,204"
2012,يونيو,"701,597"
2012,يوليو,"428,247"
2012,أغسطس,"453,626"
2012,سبتمبر,"874,513"
2012,أكتوبر,"675,553"
2012,نوفمبر,"900,764"
2012,ديسمبر,"792,724"
2013,يناير,"937,248"
2013,فبراير,"632,372"
2013,مارس,"829,730"
2013,إبريل,"1,082,103"
2013,مايو,"671,762"
2013,يونيو,"1,145,822"
2013,يوليو,"679,011"
2013,أغسطس,"958,808"
2013,سبتمبر,"714,392"
2013,أكتوبر,"968,797"
2013,نوفمبر,"879,191"
2013,ديسمبر,"1,438,928"
2014,يناير,"1,534,712"
2014,فبراير,"993,188"
2014,مارس,"4,316,438"
2014,إبريل,"2,835,929"
2014,مايو,"1,903,265"
2014,يونيو,"1,623,562"
2014,يوليو,"1,126,193"
2014,أغسطس,"1,050,993"
2014,سبتمبر,"830,910"
2014,أكتوبر,"1,159,826"
2014,نوفمبر,"833,672"
2014,ديسمبر,"1,316,573"
2015,يناير,"1,144,755"
2015,فبراير,"1,114,725"
2015,مارس,"1,535,186"
2015,إبريل,"1,831,875"
2015,مايو,"1,616,203"
2015,يونيو,"1,051,254"
2015,يوليو,"2,161,500"
2015,أغسطس,"2,461,656"
2015,سبتمبر,"1,860,961"
2015,أكتوبر,"1,628,847"
2015,نوفمبر,"1,270,774"
2015,ديسمبر,"1,686,357"
2016,يناير,"1,263,965"
2016,فبراير,"1,419,511"
2016,مارس,"1,407,042"
2016,إبريل,"1,768,056"
2016,مايو,"1,201,399"
2016,يونيو,"1,033,326"
2016,يوليو,"962,733"
2016,أغسطس,"667,079"
2016,سبتمبر,"634,295"
2016,أكتوبر,"10,287,820"
2016,نوفمبر,"5,175,006"
2016,ديسمبر,"2,258,490"
2017,يناير,"17,135,124"
2017,فبراير,"4,405,282"
2017,مارس,"5,621,981"
2017,إبريل,"8,459,716"
2017,مايو,"10,313,523"
2017,يونيو,"6,417,033"
2017,يوليو,"22,940,562"
2017,أغسطس,"19,953,690"
2017,سبتمبر,"16,561,085"
2017,أكتوبر,"18,442,351"
2017,نوفمبر,"16,308,932"
2017,ديسمبر,"7,497,790"
2018,يناير,"8,179,498"
2018,فبراير,"6,215,269"
2018,مارس,"7,080,121"
2018,إبريل,"6,598,119"
2018,مايو,"9,261,846"
2018,يونيو,"9,604,565"
2018,يوليو,"16,444,265"
2018,أغسطس,"16,324,036"
2018,سبتمبر,"15,260,573"
2018,أكتوبر,"19,543,222"
2018,نوفمبر,"12,177,081"
2018,ديسمبر,"8,273,239"
2019,يناير,"7,010,197"
2019,فبراير,"1,844,891"
2019,مارس,"768,462"
2019,إبريل,"13,309,220"
2019,مايو,"13,504,233"
2019,يونيو,"10,226,244"
2019,يوليو,"14,487,812"
2019,أغسطس,"9,531,906"
2019,سبتمبر,"20,716,334"
2019,أكتوبر,"21,375,834"
2019,نوفمبر,"11,348,175"
2019,ديسمبر,"8,025,546"
2020,يناير,"7,620,765"
2020,فبراير,"9,433,810"
2020,مارس,"9,771,778"
2020,إبريل,"2,766,977"
2020,مايو,"5,150,192"
2020,يونيو,"9,728,535"
2020,يوليو,"16,316,138"
2020,أغسطس,"18,527,858"
2020,سبتمبر,"15,710,060"
2020,أكتوبر,"16,760,885"
2020,نوفمبر,"8,525,695"
2020,ديسمبر,"5,642,455"
2021,يناير,"12,357,473"
2021,فبراير,"6,570,955"
2021,مارس,"4,294,913"
2021,إبريل,"5,407,285"
2021,مايو,"6,984,095"
2021,يونيو,"2,216,764"
2021,يوليو,"3,566,668"
2021,أغسطس,"3,736,604"
2021,سبتمبر,"9,887,317"
2021,أكتوبر,"20,773,233"
2021,نوفمبر,"4,376,279"
2021,ديسمبر,"14,541,967"
2022,يناير,"8,068,425"
2022,فبراير,"3,362,545"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
