Item,Amount,Value
بلح طازج أو مجفف,14.7,مليون دولار
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,4.4,مليون دولار
فوسفاتات كالسيوم طبيعيه ـفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى غير مطحونه فوسفاتات كالسيوم طبيعيه ـفوسفانات طب,2.0,مليون دولار
بطاطس طازجه اومبرده أخرى,1.1,مليون دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,426.8,ألف دولار
لعزل الحراره ?  الصوت,385.8,ألف دولار
بصل مجفف,237.7,ألف دولار
زيت زيتون نقى,215.2,ألف دولار
بنطلون رجالى من القطن غير مصنره,178.2,ألف دولار
برتقال طازج أو مجفف,121.4,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,111.4,ألف دولار
عجائن طباعه شفافه,90.9,ألف دولار
وصلات و كيعان و فلانشات لمواسير,75.4,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,61.3,ألف دولار
فاكهه أخرى طازجه,42.9,ألف دولار
يوسفى طازج أو مجفف,37.0,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,36.8,ألف دولار
احماض دهنية صناعية مونوكاربوكسيليك,29.8,ألف دولار
مضخات الخلخله الهوائيه,28.2,ألف دولار
دقيق و مغذيات من حبوب زيتيه أخرى,17.6,ألف دولار
أحجار طبيعيه للمبانى مصقوله,16.5,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,13.9,ألف دولار
اتربه جافه ملونه,6.8,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,5.0,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,4.9,ألف دولار
بوليمرات اسيتات الفينيل (محلول مائى),3.9,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,3.8,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,3.0,ألف دولار
زيوت عطرية أخرى,2.9,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,1.5,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,1.1,ألف دولار
زيت بذره الكتان غير خام (زيت حار),0.8,ألف دولار
