Year,Month,Export Amount
2012,يناير,"12,732,860"
2012,فبراير,"8,485,253"
2012,مارس,"16,700,927"
2012,إبريل,"21,165,115"
2012,مايو,"32,933,137"
2012,يونيو,"10,146,131"
2012,يوليو,"12,533,828"
2012,أغسطس,"5,846,744"
2012,سبتمبر,"13,403,309"
2012,أكتوبر,"15,796,898"
2012,نوفمبر,"11,260,694"
2012,ديسمبر,"2,785,616"
2013,يناير,"6,401,557"
2013,فبراير,"2,609,504"
2013,مارس,"12,582,098"
2013,إبريل,"17,570,269"
2013,مايو,"12,305,992"
2013,يونيو,"8,702,973"
2013,يوليو,"9,798,364"
2013,أغسطس,"2,172,348"
2013,سبتمبر,"7,984,743"
2013,أكتوبر,"2,360,288"
2013,نوفمبر,"8,424,181"
2013,ديسمبر,"8,023,985"
2014,يناير,"7,757,159"
2014,فبراير,"7,744,533"
2014,مارس,"11,637,901"
2014,إبريل,"12,595,063"
2014,مايو,"8,698,447"
2014,يونيو,"6,413,422"
2014,يوليو,"6,531,145"
2014,أغسطس,"3,368,513"
2014,سبتمبر,"4,554,225"
2014,أكتوبر,"1,132,822"
2014,نوفمبر,"3,378,272"
2014,ديسمبر,"2,699,558"
2015,يناير,"4,718,968"
2015,فبراير,"8,340,115"
2015,مارس,"8,651,616"
2015,إبريل,"7,365,520"
2015,مايو,"4,613,022"
2015,يونيو,"7,107,078"
2015,يوليو,"5,685,385"
2015,أغسطس,"9,463,303"
2015,سبتمبر,"2,241,231"
2015,أكتوبر,"7,884,732"
2015,نوفمبر,"4,277,577"
2015,ديسمبر,"5,768,567"
2016,يناير,"4,555,238"
2016,فبراير,"5,785,321"
2016,مارس,"9,781,627"
2016,إبريل,"7,887,602"
2016,مايو,"3,083,011"
2016,يونيو,"6,047,250"
2016,يوليو,"4,230,131"
2016,أغسطس,"6,490,372"
2016,سبتمبر,"1,575,795"
2016,أكتوبر,"2,224,266"
2016,نوفمبر,"5,263,456"
2016,ديسمبر,"9,371,446"
2017,يناير,"28,321,700"
2017,فبراير,"7,456,378"
2017,مارس,"11,483,649"
2017,إبريل,"9,027,522"
2017,مايو,"6,905,145"
2017,يونيو,"3,275,927"
2017,يوليو,"6,276,084"
2017,أغسطس,"6,229,868"
2017,سبتمبر,"3,065,764"
2017,أكتوبر,"6,466,692"
2017,نوفمبر,"6,969,924"
2017,ديسمبر,"11,121,440"
2018,يناير,"8,173,385"
2018,فبراير,"9,931,032"
2018,مارس,"10,150,140"
2018,إبريل,"3,555,560"
2018,مايو,"3,398,425"
2018,يونيو,"4,509,723"
2018,يوليو,"25,331,418"
2018,أغسطس,"5,849,692"
2018,سبتمبر,"6,251,603"
2018,أكتوبر,"7,036,109"
2018,نوفمبر,"6,849,535"
2018,ديسمبر,"6,950,725"
2019,يناير,"10,005,669"
2019,فبراير,"13,182,639"
2019,مارس,"8,048,374"
2019,إبريل,"5,632,853"
2019,مايو,"9,901,222"
2019,يونيو,"8,290,110"
2019,يوليو,"5,099,398"
2019,أغسطس,"9,998,156"
2019,سبتمبر,"6,272,571"
2019,أكتوبر,"6,947,556"
2019,نوفمبر,"4,201,442"
2019,ديسمبر,"8,801,618"
2020,يناير,"9,327,161"
2020,فبراير,"13,777,563"
2020,مارس,"7,701,438"
2020,إبريل,"2,237,690"
2020,مايو,"3,823,005"
2020,يونيو,"9,806,205"
2020,يوليو,"5,532,983"
2020,أغسطس,"4,594,789"
2020,سبتمبر,"8,337,716"
2020,أكتوبر,"3,295,608"
2020,نوفمبر,"22,103,494"
2020,ديسمبر,"12,253,106"
2021,يناير,"13,209,778"
2021,فبراير,"15,782,470"
2021,مارس,"11,337,722"
2021,إبريل,"9,366,617"
2021,مايو,"5,915,637"
2021,يونيو,"10,787,026"
2021,يوليو,"13,715,067"
2021,أغسطس,"7,330,517"
2021,سبتمبر,"11,166,213"
2021,أكتوبر,"5,737,594"
2021,نوفمبر,"5,043,312"
2021,ديسمبر,"15,554,801"
2022,يناير,"13,569,340"
2022,فبراير,"10,894,340"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
