Item,Amount,Value
بترول خام,266.3,مليون دولار
قطن غير ممشط أو مسرح,35.9,مليون دولار
غاز نوشادر(نوشادر لامائى),21.6,مليون دولار
حامض فوسفوريك أحماض بولى فوسفوريك,21.4,مليون دولار
فوسفاتات كالسيوم طبيعيه ـفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى غير مطحونه فوسفاتات كالسيوم طبيعيه ـفوسفانات طب,17.5,مليون دولار
برتقال طازج أو مجفف,15.0,مليون دولار
بيكربونات كالسيوم,6.2,مليون دولار
ورنيشات قاعدتها P.V.A,1.0,مليون دولار
,1.0,مليون دولار
محضرات منظفة .. وان احتوت عل معامل نشط,671.0,ألف دولار
فضلات الحديد الصلب,602.3,ألف دولار
لعزل الحراره ?  الصوت,441.6,ألف دولار
عجائن طباعه شفافه,426.6,ألف دولار
سوائل اوعجن من الارالديت المستخدم كعازل كهربائى,398.5,ألف دولار
يوسفى طازج أو مجفف,370.3,ألف دولار
مجففات محضره,339.6,ألف دولار
أى أنواع من السماد فى عبوات أقل من 10 كج,330.5,ألف دولار
بذور الفلفا تقاوى,274.2,ألف دولار
زيوت النعناع الأخرى,219.1,ألف دولار
ملح غير صالح للطعام و ملح طعام,213.6,ألف دولار
كلس جيرى اومطفأ ?  كلس مائى,197.1,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,170.6,ألف دولار
عصير البرتقال,158.3,ألف دولار
صفائح علب واوعيه مماثله من حديد او صلب     لتعبئه اى مادة سعتها50 لتراواكثر,135.0,ألف دولار
زيوت عطرية أخرى,131.1,ألف دولار
فوسفات كالسيوم أخرى,128.6,ألف دولار
اسمده طبيعيه ?  حيوانيه ?  اونباتيه غير معالجه كيماويا,118.9,ألف دولار
شعر كتان مسرح أو شعر كتان ممشط و ليس مغزول,112.2,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),111.4,ألف دولار
خبث على شكل آخر غيرحبيبات رمليه(متخلف من صناعه الحديد والصلب),107.3,ألف دولار
