Year,Month,Export Amount
2012,يناير,"33,033,565"
2012,فبراير,"25,854,601"
2012,مارس,"24,577,426"
2012,إبريل,"38,495,859"
2012,مايو,"60,475,122"
2012,يونيو,"28,423,511"
2012,يوليو,"36,686,924"
2012,أغسطس,"30,171,872"
2012,سبتمبر,"33,214,660"
2012,أكتوبر,"21,645,653"
2012,نوفمبر,"22,366,683"
2012,ديسمبر,"25,966,982"
2013,يناير,"22,491,965"
2013,فبراير,"20,420,207"
2013,مارس,"24,795,206"
2013,إبريل,"29,137,733"
2013,مايو,"26,081,062"
2013,يونيو,"20,513,224"
2013,يوليو,"14,669,900"
2013,أغسطس,"15,903,438"
2013,سبتمبر,"34,104,421"
2013,أكتوبر,"23,858,425"
2013,نوفمبر,"23,593,796"
2013,ديسمبر,"26,164,483"
2014,يناير,"16,753,704"
2014,فبراير,"18,645,008"
2014,مارس,"34,019,648"
2014,إبريل,"31,939,615"
2014,مايو,"71,325,493"
2014,يونيو,"29,911,870"
2014,يوليو,"18,915,345"
2014,أغسطس,"18,278,331"
2014,سبتمبر,"19,980,339"
2014,أكتوبر,"12,405,811"
2014,نوفمبر,"26,188,729"
2014,ديسمبر,"13,681,974"
2015,يناير,"15,918,442"
2015,فبراير,"23,342,181"
2015,مارس,"25,363,143"
2015,إبريل,"26,750,583"
2015,مايو,"32,141,069"
2015,يونيو,"22,844,620"
2015,يوليو,"20,670,054"
2015,أغسطس,"34,262,308"
2015,سبتمبر,"24,880,182"
2015,أكتوبر,"20,625,791"
2015,نوفمبر,"18,221,030"
2015,ديسمبر,"16,249,879"
2016,يناير,"10,063,741"
2016,فبراير,"18,972,069"
2016,مارس,"20,819,569"
2016,إبريل,"34,153,541"
2016,مايو,"31,097,660"
2016,يونيو,"37,409,752"
2016,يوليو,"20,572,463"
2016,أغسطس,"12,247,070"
2016,سبتمبر,"16,272,822"
2016,أكتوبر,"27,923,958"
2016,نوفمبر,"41,149,293"
2016,ديسمبر,"19,396,485"
2017,يناير,"56,072,563"
2017,فبراير,"14,236,278"
2017,مارس,"12,903,185"
2017,إبريل,"18,321,686"
2017,مايو,"16,848,262"
2017,يونيو,"21,594,467"
2017,يوليو,"12,164,897"
2017,أغسطس,"24,131,914"
2017,سبتمبر,"27,204,926"
2017,أكتوبر,"19,196,328"
2017,نوفمبر,"25,150,390"
2017,ديسمبر,"28,650,295"
2018,يناير,"21,775,964"
2018,فبراير,"17,885,944"
2018,مارس,"44,807,276"
2018,إبريل,"54,921,782"
2018,مايو,"25,916,894"
2018,يونيو,"39,045,688"
2018,يوليو,"25,652,824"
2018,أغسطس,"23,445,065"
2018,سبتمبر,"44,376,316"
2018,أكتوبر,"25,493,508"
2018,نوفمبر,"48,068,821"
2018,ديسمبر,"33,389,586"
2019,يناير,"22,048,076"
2019,فبراير,"17,130,356"
2019,مارس,"41,910,107"
2019,إبريل,"124,290,281"
2019,مايو,"113,332,996"
2019,يونيو,"121,173,964"
2019,يوليو,"121,286,174"
2019,أغسطس,"169,067,971"
2019,سبتمبر,"133,988,789"
2019,أكتوبر,"109,032,531"
2019,نوفمبر,"134,879,983"
2019,ديسمبر,"124,772,732"
2020,يناير,"105,099,149"
2020,فبراير,"74,183,902"
2020,مارس,"52,258,259"
2020,إبريل,"39,469,397"
2020,مايو,"106,703,312"
2020,يونيو,"96,729,744"
2020,يوليو,"102,250,569"
2020,أغسطس,"113,715,644"
2020,سبتمبر,"138,338,641"
2020,أكتوبر,"165,111,167"
2020,نوفمبر,"129,266,351"
2020,ديسمبر,"161,543,769"
2021,يناير,"130,537,305"
2021,فبراير,"105,960,549"
2021,مارس,"179,329,193"
2021,إبريل,"199,989,763"
2021,مايو,"235,012,621"
2021,يونيو,"177,333,312"
2021,يوليو,"206,433,371"
2021,أغسطس,"294,766,643"
2021,سبتمبر,"196,801,509"
2021,أكتوبر,"343,532,355"
2021,نوفمبر,"133,106,036"
2021,ديسمبر,"235,295,564"
2022,يناير,"199,153,396"
2022,فبراير,"198,523,656"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
