Item,Amount,Value
سماد يوريا أو اسمده ازوتيه اخرى,9.3,مليون دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,1.4,مليون دولار
موصلات كهربيه لا تزيد عن 80 فولت,1.4,مليون دولار
ملايات سرير من ألياف نسجيه مخلوطه,1.1,مليون دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,1.1,مليون دولار
حمامات و بانيوهات و أحواض من البلاستيك,782.6,ألف دولار
برتقال طازج أو مجفف,723.6,ألف دولار
فراوله طازجه,624.7,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",512.0,ألف دولار
فوط سفرة / بياضات قطن,251.5,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,234.6,ألف دولار
موصلات كهربيه تزيد عن 1000 فولت,208.4,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,190.9,ألف دولار
احماض دهنية صناعية مونوكاربوكسيليك,168.1,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,155.8,ألف دولار
,128.7,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,62.0,ألف دولار
أجزاء آلات حاسبه الكترونيه أخرى,56.3,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),51.0,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,50.9,ألف دولار
مصارين ومثانات ومعد حيوانات (غير الاسماك) بكاملهااواجزاء منها,50.6,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,35.0,ألف دولار
اطقم حمامات / بياضات متنوعه,33.8,ألف دولار
فراوله محفوظه مؤقتا,30.6,ألف دولار
فراجين اسطوانيه للطلاء,26.7,ألف دولار
الواح جرانيت غير مصقوله,22.1,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,21.5,ألف دولار
سدادات معدنيه,18.6,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,18.0,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,11.7,ألف دولار
عصير خليط,10.6,ألف دولار
زجاج مسطح عادى سادة غير مسلح,10.6,ألف دولار
أحجار طبيعيه للمبانى مصقوله,10.6,ألف دولار
ملح غير صالح للطعام و ملح طعام,8.0,ألف دولار
بلوزه حريمى من الياف نسجيه أخرى غير مصنره,5.9,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,5.3,ألف دولار
راتنجات عطرية,4.3,ألف دولار
نشاره الخشب,4.0,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,4.0,ألف دولار
كتب و كتيبات مطبوعه وان كانت مصوره,4.0,ألف دولار
تنكات وقود,3.9,ألف دولار
امواس و شفرات للحلاقه,2.9,ألف دولار
بيديه و شطافات من البلاستيك,2.3,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,2.0,ألف دولار
مكسبات طعم ورائحه,0.1,ألف دولار
مياةبما فيهاالمياةالمعدنيةوالغازيةمضاف اليهاسكراومواد تحلية,0.1,ألف دولار
خامات ومركزات أخرى,0.0,ألف دولار
