Year,Month,Export Amount
2012,يناير,"2,677,894"
2012,فبراير,"11,537,015"
2012,مارس,"1,776,035"
2012,إبريل,"2,756,982"
2012,مايو,"2,373,437"
2012,يونيو,"3,819,394"
2012,يوليو,"1,684,691"
2012,أغسطس,"1,426,706"
2012,سبتمبر,"1,885,082"
2012,أكتوبر,"1,786,825"
2012,نوفمبر,"12,496,889"
2012,ديسمبر,"4,392,207"
2013,يناير,"2,051,530"
2013,فبراير,"1,817,582"
2013,مارس,"1,537,643"
2013,إبريل,"1,959,450"
2013,مايو,"2,306,992"
2013,يونيو,"1,198,525"
2013,يوليو,"1,270,154"
2013,أغسطس,"1,148,943"
2013,سبتمبر,"12,125,365"
2013,أكتوبر,"1,703,983"
2013,نوفمبر,"3,519,231"
2013,ديسمبر,"2,300,554"
2014,يناير,"2,764,807"
2014,فبراير,"3,677,591"
2014,مارس,"3,934,605"
2014,إبريل,"2,249,877"
2014,مايو,"2,027,335"
2014,يونيو,"1,508,069"
2014,يوليو,"1,916,884"
2014,أغسطس,"2,470,689"
2014,سبتمبر,"1,842,323"
2014,أكتوبر,"1,061,508"
2014,نوفمبر,"703,043"
2014,ديسمبر,"1,944,437"
2015,يناير,"975,427"
2015,فبراير,"1,734,160"
2015,مارس,"1,930,697"
2015,إبريل,"1,111,634"
2015,مايو,"1,690,397"
2015,يونيو,"1,436,258"
2015,يوليو,"1,478,497"
2015,أغسطس,"2,146,466"
2015,سبتمبر,"1,207,269"
2015,أكتوبر,"1,414,448"
2015,نوفمبر,"1,296,720"
2015,ديسمبر,"7,819,996"
2016,يناير,"1,547,004"
2016,فبراير,"2,057,335"
2016,مارس,"2,542,675"
2016,إبريل,"2,499,075"
2016,مايو,"1,368,928"
2016,يونيو,"899,662"
2016,يوليو,"1,268,485"
2016,أغسطس,"973,694"
2016,سبتمبر,"1,125,412"
2016,أكتوبر,"2,005,397"
2016,نوفمبر,"4,812,582"
2016,ديسمبر,"1,979,771"
2017,يناير,"179,873,422"
2017,فبراير,"8,194,125"
2017,مارس,"2,711,128"
2017,إبريل,"2,697,448"
2017,مايو,"3,920,549"
2017,يونيو,"2,103,194"
2017,يوليو,"4,171,777"
2017,أغسطس,"1,987,366"
2017,سبتمبر,"1,288,604"
2017,أكتوبر,"4,183,255"
2017,نوفمبر,"2,548,088"
2017,ديسمبر,"2,129,894"
2018,يناير,"80,866,297"
2018,فبراير,"74,779,852"
2018,مارس,"81,184,268"
2018,إبريل,"75,136,617"
2018,مايو,"101,022,704"
2018,يونيو,"90,115,772"
2018,يوليو,"91,638,315"
2018,أغسطس,"68,863,594"
2018,سبتمبر,"83,006,235"
2018,أكتوبر,"85,308,351"
2018,نوفمبر,"60,417,795"
2018,ديسمبر,"72,545,688"
2019,يناير,"74,112,568"
2019,فبراير,"75,038,563"
2019,مارس,"65,419,361"
2019,إبريل,"4,555,000"
2019,مايو,"2,020,367"
2019,يونيو,"2,395,084"
2019,يوليو,"2,765,571"
2019,أغسطس,"2,727,670"
2019,سبتمبر,"7,406,237"
2019,أكتوبر,"4,167,260"
2019,نوفمبر,"1,905,343"
2019,ديسمبر,"4,284,242"
2020,يناير,"5,548,721"
2020,فبراير,"6,871,468"
2020,مارس,"5,275,325"
2020,إبريل,"3,791,635"
2020,مايو,"965,739"
2020,يونيو,"1,414,868"
2020,يوليو,"2,868,110"
2020,أغسطس,"5,068,605"
2020,سبتمبر,"2,964,874"
2020,أكتوبر,"6,256,552"
2020,نوفمبر,"3,727,528"
2020,ديسمبر,"6,027,581"
2021,يناير,"6,197,305"
2021,فبراير,"6,496,150"
2021,مارس,"10,730,476"
2021,إبريل,"2,149,424"
2021,مايو,"4,059,776"
2021,يونيو,"5,097,584"
2021,يوليو,"4,453,565"
2021,أغسطس,"3,970,645"
2021,سبتمبر,"3,891,520"
2021,أكتوبر,"7,964,175"
2021,نوفمبر,"388,453"
2021,ديسمبر,"6,469,190"
2022,يناير,"3,933,479"
2022,فبراير,"15,058,441"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
