Year,Month,Export Amount
2012,يناير,"4,866,110"
2012,فبراير,"11,606,590"
2012,مارس,"17,837,625"
2012,إبريل,"11,876,459"
2012,مايو,"1,178,756"
2012,يونيو,"1,680,182"
2012,يوليو,"3,263,305"
2012,أغسطس,"3,997,538"
2012,سبتمبر,"2,508,066"
2012,أكتوبر,"1,608,494"
2012,نوفمبر,"1,831,108"
2012,ديسمبر,"2,152,086"
2013,يناير,"465,707"
2013,فبراير,"730,032"
2013,مارس,"5,333,911"
2013,إبريل,"1,669,382"
2013,مايو,"3,751,089"
2013,يونيو,"3,771,234"
2013,يوليو,"625,413"
2013,أغسطس,"3,414,067"
2013,سبتمبر,"3,969,208"
2013,أكتوبر,"763,676"
2013,نوفمبر,"3,381,684"
2013,ديسمبر,"2,917,201"
2014,يناير,"4,020,902"
2014,فبراير,"3,603,649"
2014,مارس,"3,776,552"
2014,إبريل,"1,894,729"
2014,مايو,"1,234,977"
2014,يونيو,"2,974,098"
2014,يوليو,"1,637,571"
2014,أغسطس,"1,701,149"
2014,سبتمبر,"89,814"
2014,أكتوبر,"18,883"
2014,نوفمبر,"424,344"
2014,ديسمبر,"391,323"
2015,يناير,"282,735"
2015,فبراير,"200,396"
2015,مارس,"578,689"
2015,إبريل,"154,021"
2015,مايو,"453,425"
2015,يونيو,"448,551"
2015,يوليو,"1,028,604"
2015,أغسطس,"153,391"
2015,سبتمبر,"821,998"
2015,أكتوبر,"339,554"
2015,نوفمبر,"697,727"
2015,ديسمبر,"1,154,607"
2016,يناير,"676,457"
2016,فبراير,"1,527,425"
2016,مارس,"163,936"
2016,إبريل,"1,043,810"
2016,مايو,"770,084"
2016,يونيو,"757,339"
2016,يوليو,"497,584"
2016,أغسطس,"878,302"
2016,سبتمبر,"605,215"
2016,أكتوبر,"1,411,737"
2016,نوفمبر,"306,339"
2016,ديسمبر,"1,487,549"
2017,يناير,"5,169,556"
2017,فبراير,"5,166,066"
2017,مارس,"1,639,827"
2017,إبريل,"856,653"
2017,مايو,"1,075,616"
2017,يونيو,"701,337"
2017,يوليو,"1,287,224"
2017,أغسطس,"277,177"
2017,سبتمبر,"957,143"
2017,أكتوبر,"120,008"
2017,نوفمبر,"1,818,361"
2017,ديسمبر,"2,266,538"
2018,يناير,"1,004,305"
2018,فبراير,"2,402,549"
2018,مارس,"1,497,994"
2018,إبريل,"78,500"
2018,مايو,"1,471,985"
2018,يونيو,"489,894"
2018,يوليو,"1,283,170"
2018,أغسطس,"48,760"
2018,سبتمبر,"1,046,195"
2018,أكتوبر,"915,185"
2018,نوفمبر,"727,589"
2018,ديسمبر,"798,205"
2019,يناير,"690,080"
2019,فبراير,"848,198"
2019,مارس,"2,437,123"
2019,إبريل,"75,710"
2019,مايو,"466,717"
2019,يونيو,0
2019,يوليو,"510,720"
2019,أغسطس,0
2019,سبتمبر,0
2019,أكتوبر,"583,482"
2019,نوفمبر,"1,173,849"
2019,ديسمبر,"586,163"
2020,يناير,"95,871"
2020,فبراير,"283,220"
2020,مارس,"271,216"
2020,إبريل,"41,848"
2020,مايو,0
2020,يونيو,"190,259"
2020,يوليو,"19,936"
2020,أغسطس,"90,926"
2020,سبتمبر,"105,154"
2020,أكتوبر,"71,316"
2020,نوفمبر,"68,406"
2020,ديسمبر,"396,912"
2021,يناير,322
2021,فبراير,"39,805"
2021,مارس,0
2021,إبريل,"108,607"
2021,مايو,900
2021,يونيو,"114,274"
2021,يوليو,"147,383"
2021,أغسطس,"29,800"
2021,سبتمبر,0
2021,أكتوبر,"86,426"
2021,نوفمبر,0
2021,ديسمبر,"503,687"
2022,يناير,"77,814"
2022,فبراير,"9,200"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
