Item,Amount,Value
"انابيب ومواسير وخراطيم,صلبة وغير قابلة للثنى من لدائن اصطناعيةاخرى",8.3,مليون دولار
مكسبات طعم ورائحه,6.5,مليون دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,4.8,مليون دولار
"انابيب,مواسير وخراطيم صلبة,غير قابلة للثنى من بوليميرات كلوريدالفينيل",4.1,مليون دولار
محضرات واصناف صيدليه اخر,3.5,مليون دولار
اثاث اخر من الخشب ? حجره سفره من خشب,3.3,مليون دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,3.1,مليون دولار
شامبو لغسيل الشعر  (دون تحديد),1.7,مليون دولار
وصلات و كيعان و فلانشات لمواسير,1.4,مليون دولار
محضرات غذائيه اخرى,1.4,مليون دولار
خضروات اخرى مجمده,1.2,مليون دولار
سليب رجالى من ألياف صناعيه غير مصنره,1.2,مليون دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,970.9,ألف دولار
زيتون مخلل,956.0,ألف دولار
بطاطس طازجه اومبرده أخرى,860.0,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,855.1,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,806.2,ألف دولار
بسكويت صيدلى,791.8,ألف دولار
المارجرين أو بديل الزبده ? زبده صناعيه,694.5,ألف دولار
جهاز تكييف وتبريد للحوائط أو النوافذ,684.8,ألف دولار
شيكولاتة ومنتجات الكاكاو,556.6,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,516.5,ألف دولار
أقمشة صوفيه تحتوى على 85% من الصوف المسرح بوزن لا يقل عن 300 جرام م2,424.0,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,402.4,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,383.2,ألف دولار
شامبو وصبغات للشعر),382.2,ألف دولار
جبن طازج أبيض بدون أى عمليات لاحقه,363.8,ألف دولار
يوسفى طازج أو مجفف,361.3,ألف دولار
مخاليط خضروات مجمده,348.2,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),326.6,ألف دولار
ملابس مصنوعه من أنسجه معالجه ضد الرطوبه,277.5,ألف دولار
فاصل تيار كهربى يزيد عن 1000 فولت,254.4,ألف دولار
مبيدات حشرات,254.0,ألف دولار
املاح حمام معطرة و مستحضرات اخرى للاستعمال اثناء الاستحمام,250.6,ألف دولار
انواع جبنه اخرى,226.7,ألف دولار
صمامات وما شابه لم تذكر فى مكان اخر,213.9,ألف دولار
ورنيشات قاعدتها P.V.A,213.1,ألف دولار
قماش حرير طبيعى بنسبة حرير تزيد عن 85%,205.5,ألف دولار
قنينة كانيولا وادوات مماثلة,202.6,ألف دولار
"انابيب,مواسير وخراطيم, صلبة, غير قابلة للثنى من بوليميرات البروبيلين",200.1,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,199.1,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,184.8,ألف دولار
امصال الطب البيطرى,155.0,ألف دولار
أحجار طبيعيه للمبانى مصقوله,153.2,ألف دولار
فراوله طازجه,153.0,ألف دولار
زجاج بللور وزجاج ملون أو زجاج مسطح عادى سادة غير مسلح,136.0,ألف دولار
اكياس وحقائب بقاعده عرضها 40سم او اكثر من الورق المقوى,126.3,ألف دولار
قوالب شيكولاته,122.8,ألف دولار
نباتات طبيه أخرى,122.6,ألف دولار
حليات خشبيه بلاستيكيه,120.6,ألف دولار
شـاى أسود و شاي خام معبيء فى أكثر من 3 كج,117.4,ألف دولار
ديودرانت,108.8,ألف دولار
ابواب واطرها واعتابها من خشب و حلق او برور للباب من خشب,107.7,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,106.3,ألف دولار
"انابيب ومواسير وخراطيم,صلبة وغير قابلة للثنى تتحمل ضغط حتى 27",102.7,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,100.7,ألف دولار
خلاصات او ارواح او مركزات من بن,98.7,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),96.1,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,91.6,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,88.1,ألف دولار
محضرات ذات سطح غير محتمل للحراره للارضيات و الجدرات و الواجهات,83.1,ألف دولار
طرشى),82.5,ألف دولار
ورق يدوى الصنع,82.0,ألف دولار
بولىفينيل اسيتات سائل,77.8,ألف دولار
مستحضرات لتعطير الغرف او لازاله الروائح الكريهه منها,77.7,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),74.6,ألف دولار
خميره جافه نشطه,70.0,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,68.2,ألف دولار
بطاطس محفوظه بكاملها فى مواد أخرى,65.8,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,64.9,ألف دولار
برتقال طازج أو مجفف,62.9,ألف دولار
فراوله محفوظه مؤقتا,59.3,ألف دولار
صلبه غير قابلة للثنى من بوليميرات الاثيلين,58.6,ألف دولار
ذرة صفـراء,57.1,ألف دولار
صابون معطر تواليت,56.6,ألف دولار
حقن طبيه من بلاستيك (سرنجه),54.8,ألف دولار
محضرات غذائيه للاطفال,54.7,ألف دولار
جاكت حريمى من الصوف مصنره,53.8,ألف دولار
اطواق وحلقات وسدادات الزجاجات الأخرى,50.3,ألف دولار
ورنيشات قاعدتها بولى استر,50.2,ألف دولار
باب حديد اوشباك حديد بدون تحديد,49.7,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,46.4,ألف دولار
خضروات مجمدة او مبردة,46.1,ألف دولار
"غيرها من ضفائر واصناف مماثله من مواد ضفر,وان كانت مجمعه فى شكل اشرطه",45.2,ألف دولار
ورق ناسخ ذاتيا مطبوع .. على هيئة لفات او افرخ,43.3,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,42.0,ألف دولار
