Year,Month,Export Amount
2012,يناير,"34,890,603"
2012,فبراير,"47,209,115"
2012,مارس,"48,653,032"
2012,إبريل,"60,138,137"
2012,مايو,"50,677,124"
2012,يونيو,"35,172,285"
2012,يوليو,"40,152,005"
2012,أغسطس,"42,696,123"
2012,سبتمبر,"58,175,842"
2012,أكتوبر,"54,009,096"
2012,نوفمبر,"55,000,339"
2012,ديسمبر,"50,765,192"
2013,يناير,"37,023,542"
2013,فبراير,"47,931,981"
2013,مارس,"64,293,883"
2013,إبريل,"65,585,025"
2013,مايو,"44,606,718"
2013,يونيو,"72,485,117"
2013,يوليو,"67,892,101"
2013,أغسطس,"51,266,072"
2013,سبتمبر,"98,307,736"
2013,أكتوبر,"71,056,730"
2013,نوفمبر,"58,012,774"
2013,ديسمبر,"62,070,048"
2014,يناير,"56,008,884"
2014,فبراير,"58,733,188"
2014,مارس,"156,384,238"
2014,إبريل,"43,825,938"
2014,مايو,"66,714,435"
2014,يونيو,"66,932,049"
2014,يوليو,"34,337,845"
2014,أغسطس,"49,321,551"
2014,سبتمبر,"61,833,326"
2014,أكتوبر,"50,164,529"
2014,نوفمبر,"75,961,583"
2014,ديسمبر,"73,038,805"
2015,يناير,"44,663,343"
2015,فبراير,"43,960,619"
2015,مارس,"45,858,617"
2015,إبريل,"42,190,527"
2015,مايو,"40,070,747"
2015,يونيو,"34,233,411"
2015,يوليو,"32,774,248"
2015,أغسطس,"40,146,735"
2015,سبتمبر,"39,606,823"
2015,أكتوبر,"42,863,502"
2015,نوفمبر,"32,248,932"
2015,ديسمبر,"36,832,128"
2016,يناير,"24,144,339"
2016,فبراير,"24,995,747"
2016,مارس,"33,114,630"
2016,إبريل,"29,945,586"
2016,مايو,"34,415,247"
2016,يونيو,"29,268,003"
2016,يوليو,"20,384,359"
2016,أغسطس,"29,557,665"
2016,سبتمبر,"33,360,460"
2016,أكتوبر,"48,846,669"
2016,نوفمبر,"37,616,289"
2016,ديسمبر,"44,854,677"
2017,يناير,"145,568,504"
2017,فبراير,"31,832,694"
2017,مارس,"56,387,877"
2017,إبريل,"35,528,413"
2017,مايو,"38,452,981"
2017,يونيو,"35,571,232"
2017,يوليو,"39,538,911"
2017,أغسطس,"52,361,219"
2017,سبتمبر,"40,084,948"
2017,أكتوبر,"42,683,900"
2017,نوفمبر,"39,444,830"
2017,ديسمبر,"50,997,189"
2018,يناير,"39,147,748"
2018,فبراير,"43,905,889"
2018,مارس,"40,183,985"
2018,إبريل,"43,997,145"
2018,مايو,"41,178,956"
2018,يونيو,"28,246,703"
2018,يوليو,"29,478,608"
2018,أغسطس,"31,320,634"
2018,سبتمبر,"48,213,917"
2018,أكتوبر,"54,416,438"
2018,نوفمبر,"37,943,845"
2018,ديسمبر,"38,074,099"
2019,يناير,"29,780,460"
2019,فبراير,"29,440,697"
2019,مارس,"25,816,855"
2019,إبريل,"31,212,367"
2019,مايو,"35,942,792"
2019,يونيو,"29,094,145"
2019,يوليو,"33,685,015"
2019,أغسطس,"32,079,320"
2019,سبتمبر,"40,522,969"
2019,أكتوبر,"43,186,958"
2019,نوفمبر,"32,743,397"
2019,ديسمبر,"37,362,459"
2020,يناير,"25,304,913"
2020,فبراير,"38,435,780"
2020,مارس,"33,278,708"
2020,إبريل,"18,047,505"
2020,مايو,"22,372,340"
2020,يونيو,"34,593,940"
2020,يوليو,"36,195,548"
2020,أغسطس,"34,856,746"
2020,سبتمبر,"46,637,048"
2020,أكتوبر,"46,492,862"
2020,نوفمبر,"41,074,287"
2020,ديسمبر,"32,611,339"
2021,يناير,"33,736,577"
2021,فبراير,"33,872,716"
2021,مارس,"56,307,003"
2021,إبريل,"37,038,536"
2021,مايو,"39,600,193"
2021,يونيو,"47,562,720"
2021,يوليو,"40,795,407"
2021,أغسطس,"48,271,264"
2021,سبتمبر,"42,219,930"
2021,أكتوبر,"37,080,870"
2021,نوفمبر,"16,841,884"
2021,ديسمبر,"43,958,434"
2022,يناير,"40,397,599"
2022,فبراير,"45,755,850"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
