Year,Month,Export Amount
2012,يناير,"6,766"
2012,فبراير,"19,358"
2012,مارس,"41,476"
2012,إبريل,897
2012,مايو,"2,921"
2012,يونيو,"5,873"
2012,يوليو,0
2012,أغسطس,"4,134"
2012,سبتمبر,"5,300"
2012,أكتوبر,"2,717"
2012,نوفمبر,"1,576"
2012,ديسمبر,"1,887"
2013,يناير,"4,585"
2013,فبراير,"10,518"
2013,مارس,0
2013,إبريل,0
2013,مايو,"1,085"
2013,يونيو,0
2013,يوليو,0
2013,أغسطس,0
2013,سبتمبر,858
2013,أكتوبر,"37,749"
2013,نوفمبر,0
2013,ديسمبر,0
2014,يناير,"16,033"
2014,فبراير,"3,498"
2014,مارس,0
2014,إبريل,"18,674"
2014,مايو,0
2014,يونيو,0
2014,يوليو,0
2014,أغسطس,0
2014,سبتمبر,0
2014,أكتوبر,300
2014,نوفمبر,"1,040"
2014,ديسمبر,0
2015,يناير,0
2015,فبراير,0
2015,مارس,0
2015,إبريل,"381,900"
2015,مايو,0
2015,يونيو,0
2015,يوليو,"435,500"
2015,أغسطس,0
2015,سبتمبر,"532,558"
2015,أكتوبر,0
2015,نوفمبر,0
2015,ديسمبر,"482,000"
2016,يناير,0
2016,فبراير,0
2016,مارس,0
2016,إبريل,0
2016,مايو,0
2016,يونيو,"22,860"
2016,يوليو,"6,600"
2016,أغسطس,"25,681"
2016,سبتمبر,0
2016,أكتوبر,"2,414"
2016,نوفمبر,"577,324"
2016,ديسمبر,"97,826"
2017,يناير,"605,738"
2017,فبراير,"648,492"
2017,مارس,0
2017,إبريل,"21,736"
2017,مايو,"627,619"
2017,يونيو,0
2017,يوليو,0
2017,أغسطس,0
2017,سبتمبر,0
2017,أكتوبر,"92,396"
2017,نوفمبر,"60,628"
2017,ديسمبر,"26,880"
2018,يناير,"589,891"
2018,فبراير,"18,485"
2018,مارس,"168,064"
2018,إبريل,"4,730"
2018,مايو,"675,482"
2018,يونيو,0
2018,يوليو,"12,532"
2018,أغسطس,"637,096"
2018,سبتمبر,0
2018,أكتوبر,"337,863"
2018,نوفمبر,"30,578"
2018,ديسمبر,"295,840"
2019,يناير,"45,933"
2019,فبراير,"260,000"
2019,مارس,"39,769"
2019,إبريل,"292,109"
2019,مايو,"45,071"
2019,يونيو,0
2019,يوليو,"305,125"
2019,أغسطس,"14,962"
2019,سبتمبر,"7,310"
2019,أكتوبر,"292,000"
2019,نوفمبر,"40,996"
2019,ديسمبر,"30,086"
2020,يناير,"3,493"
2020,فبراير,"293,280"
2020,مارس,"1,728"
2020,إبريل,0
2020,مايو,"18,394"
2020,يونيو,0
2020,يوليو,"43,504"
2020,أغسطس,0
2020,سبتمبر,0
2020,أكتوبر,0
2020,نوفمبر,"60,146"
2020,ديسمبر,0
2021,يناير,"15,907"
2021,فبراير,0
2021,مارس,"752,870"
2021,إبريل,"17,093"
2021,مايو,"871,314"
2021,يونيو,"48,325"
2021,يوليو,"583,974"
2021,أغسطس,"16,315"
2021,سبتمبر,"18,660"
2021,أكتوبر,"296,000"
2021,نوفمبر,0
2021,ديسمبر,"47,151"
2022,يناير,"19,092"
2022,فبراير,"5,977"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
