Item,Amount,Value
غاز نوشادر(نوشادر لامائى),736.3,ألف دولار
بودره بولي ايثلين P.E.T,701.5,ألف دولار
احماض دهنية صناعية مونوكاربوكسيليك,682.4,ألف دولار
خضروات اخرى مجمده,480.4,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,445.4,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,421.6,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,388.5,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,388.4,ألف دولار
اعلاف حيوانيه غير تقليديه,366.5,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),358.9,ألف دولار
شمع برافين,344.2,ألف دولار
زجاج مسطح عادى سادة غير مسلح,336.8,ألف دولار
اسلاك حديدية فى لفائف غير مغلفة او مطلية او مصقولة,333.7,ألف دولار
غواسل عضوية بحالة ايونات سالبة,316.2,ألف دولار
نشادر ذائب,310.5,ألف دولار
اسلاك مجدوله وحبال وكابلات من حديد او صلب غير معزوله كهربائيا,304.0,ألف دولار
شيكولاتة ومنتجات الكاكاو,303.9,ألف دولار
بذور سمسم,290.9,ألف دولار
موصلات كهربيه تزيد عن 1000 فولت,289.9,ألف دولار
مكسبات طعم ورائحه,289.0,ألف دولار
سليب رجالى قطن مصنره,251.4,ألف دولار
إطارات السيارات النقل و الشاحنات,235.4,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,214.1,ألف دولار
أحجار طبيعيه للمبانى مصقوله,192.1,ألف دولار
اسمنت فوندو ..... الخ,184.9,ألف دولار
ادوات منزليه من الالومنيوم خاصه بالمطبخ,179.0,ألف دولار
فراوله محفوظه مؤقتا,173.9,ألف دولار
طرشى),168.2,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,164.2,ألف دولار
مرايا زجاجيه بدون اطر,163.1,ألف دولار
نباتات طبيه أخرى,152.8,ألف دولار
,136.0,ألف دولار
سليب أو بريف من القطن مصنره,133.2,ألف دولار
خيوط أو غزل ليست للحياكه من البوليستر مطاطى أو غيره ليست للتجزأه,123.3,ألف دولار
ألواح صلب لا يصدأ مسحوبه على الساخن مغلفه بالكروم فى رولات بعرض أكبر من 600 مم و بسمك أقل من 1 مم,121.4,ألف دولار
سياره لنقل البضائع حمولتها تزيد عن 5 طن ولاتتعدى 20 طن,118.5,ألف دولار
عصير خليط,117.6,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,103.3,ألف دولار
خميره جافه نشطه,94.1,ألف دولار
,92.1,ألف دولار
بنطلون رجالى من القطن غير مصنره,83.6,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,81.5,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,72.9,ألف دولار
خيوط مغزوله قطنيه أقل من 85% (بخلاف خيوط الحياكه) مهيأه للبيع بالتجزئة,71.9,ألف دولار
مسمار من حديد او صلب,67.9,ألف دولار
مخاليط خضروات مجمده,63.2,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,61.7,ألف دولار
محضرات غذائيه اخرى,60.1,ألف دولار
سليب أو كيلوت من الياف صناعيه مصنره,59.6,ألف دولار
قضبان وعيدان حديد صلب مغلفة مسحوبة على الساخن فقط دون اى عمليات اخرى (عدا المقطع المستطيل),59.2,ألف دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام غير مبيضه,59.0,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,58.8,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,58.5,ألف دولار
"ادوات من خزف زجاجى من النوع المستعمل للمائدة ,للمطبخ التواليت والمكتب وللتزيين داخل المنازل",54.3,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,54.2,ألف دولار
برتقال),52.3,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),51.2,ألف دولار
"حامض نيتريك , أحماض سلفونيتريك",50.8,ألف دولار
أجزوع الأشجار الصنوبريه البيضاء غير منشوره,46.7,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),43.1,ألف دولار
فلفل مسحوق او مطحون معبأ,42.1,ألف دولار
كلوريدات معادن مختلفه,41.8,ألف دولار
خيوط أو غزل من البوليستر متعدد مزووى 50 لفه متر,41.6,ألف دولار
زيت ذره مكرر,40.9,ألف دولار
زيت صويا منقى و غير معالج كيمائيا,39.8,ألف دولار
غيرها من دنان وبراميل وصفائح وعلب واوعيه مماثله من الومنيوم,37.0,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,36.7,ألف دولار
اسلاك صلب فى لفائف مغلفة (عدا المغلفة بالمعادن الاساسية ),36.6,ألف دولار
خضروات بقليه اخرى,35.2,ألف دولار
راتنجات يوريا,32.5,ألف دولار
اطقم ومنتجات مختلفه (مخده ولحاف ومرتبه),31.0,ألف دولار
بنتونيت بدون تحديد,30.2,ألف دولار
ذره معبأه للإستهلاك المباشر,29.8,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),27.0,ألف دولار
أدوات و مستلزمات البناء الأخرى من أنواع البلاستيك الأخرى,26.8,ألف دولار
بطاطس غير مجمده محفوظه اومعلبه,26.7,ألف دولار
خضروات متجانسه للاطفال,25.5,ألف دولار
ورق مبيض يحتوى على الخشب,23.1,ألف دولار
بذور عباد الشمس وان كانت مفتته,22.3,ألف دولار
ورق أزوريه,21.9,ألف دولار
طفــله بدون تحديــد (طينات اخرى),20.8,ألف دولار
فحم كربوني منشط,20.6,ألف دولار
طوب حرارى عالى الجرافيت بنسبة تزيد عن 50%,20.5,ألف دولار
زيتون محفوظ مؤقتا وغير صالح للاستهلاك المباشر,19.8,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,19.3,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,18.2,ألف دولار
زيتون مخلل,18.0,ألف دولار
ورق ساك كرافت,17.9,ألف دولار
غاز الكلور,17.8,ألف دولار
لوبيا مجففه ومفصصه ومعبأه,17.5,ألف دولار
بياضات المائدة وبياضات المطابخ من المناشف او الاقمشة الوبرية المماثلة من قطن,16.6,ألف دولار
فول بقلى (فول خيل),16.1,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,12.3,ألف دولار
سلك اسوار,11.6,ألف دولار
كرنب أفرنجى و بروكلى طازج,11.1,ألف دولار
خلاصات اوارواح او مركزات من بدائل البن,7.6,ألف دولار
بصل مجفف,7.4,ألف دولار
فرش كنس,6.0,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,4.9,ألف دولار
منتجات للتعبئة و التغليف أخرى من أنواع البلاستيك الأخرى,4.8,ألف دولار
اثاث معدنى اخر,4.4,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,4.3,ألف دولار
ابواب واطرها واعتابها من خشب و حلق او برور للباب من خشب,4.1,ألف دولار
غزل قطن مفرد أكثر من 85% قطن غير ممشط (29و714) غير مهييء للبيع بالتجزئه,3.6,ألف دولار
"غيرها من اجزاء ولوازم لالات النسيج , انوال , او لالاتها المساعدة",2.8,ألف دولار
ادوات أخرى من الزجاج العادى,2.4,ألف دولار
مصوره / مطبوعه / مزينه,2.2,ألف دولار
مصابيح كهربائيه قابلة للحمل مصممه لتؤدى وظيفتها بواسطة مصادرها مــن الطاقه,1.6,ألف دولار
مستلزمات معدنيه للاثاث,1.5,ألف دولار
لولبية,1.4,ألف دولار
حقائب و شنط و جوالات واكياس من بوليمرات الإيثلين,1.2,ألف دولار
خدع و أعمال الحواه للإحتفالات,1.1,ألف دولار
امشاط بلاستيك وتوك وامشاط للشعر,1.0,ألف دولار
ماكينه تعبئه وتغليف او لف فى وقت واحد دون تحديد للماده المعبأه والمغلفه,1.0,ألف دولار
طبول ?  اكسيلفون ?  صاجات,0.9,ألف دولار
اغطية ارضيات وحوائط و أسقف من لدائن اخرى غير P.V.C,0.9,ألف دولار
منتجات اخرى من اصل نباتى,0.6,ألف دولار
ادوات اشاره بالفم مثل الصفارات وما يماثلها,0.5,ألف دولار
كوتشينه,0.4,ألف دولار
,0.2,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,0.1,ألف دولار
حليات خشبيه بلاستيكيه,0.1,ألف دولار
ملابس أخرى من أقمشه نسجيه أخرى رجالى,0.0,ألف دولار
سليب رجالى من ألياف صناعيه غير مصنره,0.0,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,0.0,ألف دولار
أقمشه تحتوى على 85% بوليستر مستمره أخرى,0.0,ألف دولار
فوط للمائدة..فوط سفرة..فوط ورقية للمائدة/مناديل سفره/فوط ورقيه دون  تحديد,0.0,ألف دولار
