Year,Month,Export Amount
2012,يناير,"3,451,349"
2012,فبراير,"3,898,243"
2012,مارس,"5,413,901"
2012,إبريل,"9,126,477"
2012,مايو,"4,955,857"
2012,يونيو,"4,105,777"
2012,يوليو,"5,650,010"
2012,أغسطس,"3,487,960"
2012,سبتمبر,"4,644,844"
2012,أكتوبر,"4,098,110"
2012,نوفمبر,"3,298,778"
2012,ديسمبر,"7,719,466"
2013,يناير,"3,311,117"
2013,فبراير,"3,373,917"
2013,مارس,"4,020,667"
2013,إبريل,"3,955,634"
2013,مايو,"4,200,683"
2013,يونيو,"4,312,711"
2013,يوليو,"3,826,353"
2013,أغسطس,"2,603,995"
2013,سبتمبر,"3,771,999"
2013,أكتوبر,"4,146,768"
2013,نوفمبر,"4,986,293"
2013,ديسمبر,"5,582,602"
2014,يناير,"4,961,001"
2014,فبراير,"4,365,731"
2014,مارس,"6,830,317"
2014,إبريل,"5,607,013"
2014,مايو,"4,470,899"
2014,يونيو,"5,829,615"
2014,يوليو,"3,488,570"
2014,أغسطس,"4,615,233"
2014,سبتمبر,"5,185,636"
2014,أكتوبر,"3,764,805"
2014,نوفمبر,"8,315,922"
2014,ديسمبر,"4,845,789"
2015,يناير,"5,739,074"
2015,فبراير,"3,822,390"
2015,مارس,"8,120,990"
2015,إبريل,"5,536,211"
2015,مايو,"5,665,543"
2015,يونيو,"7,186,903"
2015,يوليو,"4,107,998"
2015,أغسطس,"5,093,378"
2015,سبتمبر,"3,313,531"
2015,أكتوبر,"3,206,279"
2015,نوفمبر,"8,096,949"
2015,ديسمبر,"4,832,521"
2016,يناير,"3,737,953"
2016,فبراير,"4,018,796"
2016,مارس,"5,811,466"
2016,إبريل,"4,235,468"
2016,مايو,"3,809,050"
2016,يونيو,"4,694,215"
2016,يوليو,"3,201,211"
2016,أغسطس,"3,426,622"
2016,سبتمبر,"3,965,174"
2016,أكتوبر,"3,061,286"
2016,نوفمبر,"4,532,365"
2016,ديسمبر,"5,201,300"
2017,يناير,"14,997,090"
2017,فبراير,"3,151,433"
2017,مارس,"5,294,775"
2017,إبريل,"3,977,132"
2017,مايو,"4,300,889"
2017,يونيو,"3,777,757"
2017,يوليو,"4,463,780"
2017,أغسطس,"4,468,524"
2017,سبتمبر,"2,245,611"
2017,أكتوبر,"4,151,591"
2017,نوفمبر,"5,490,201"
2017,ديسمبر,"5,668,365"
2018,يناير,"5,720,071"
2018,فبراير,"5,646,756"
2018,مارس,"9,085,833"
2018,إبريل,"10,224,332"
2018,مايو,"6,628,597"
2018,يونيو,"4,690,419"
2018,يوليو,"7,416,047"
2018,أغسطس,"6,470,001"
2018,سبتمبر,"6,476,215"
2018,أكتوبر,"7,910,708"
2018,نوفمبر,"7,687,849"
2018,ديسمبر,"7,213,945"
2019,يناير,"4,665,008"
2019,فبراير,"5,663,117"
2019,مارس,"6,608,473"
2019,إبريل,"5,563,231"
2019,مايو,"6,272,118"
2019,يونيو,"4,222,003"
2019,يوليو,"6,134,566"
2019,أغسطس,"4,438,320"
2019,سبتمبر,"4,419,475"
2019,أكتوبر,"6,007,888"
2019,نوفمبر,"3,612,931"
2019,ديسمبر,"3,963,599"
2020,يناير,"6,110,498"
2020,فبراير,"4,759,553"
2020,مارس,"6,371,148"
2020,إبريل,"3,124,156"
2020,مايو,"3,088,245"
2020,يونيو,"4,827,282"
2020,يوليو,"8,409,027"
2020,أغسطس,"4,442,432"
2020,سبتمبر,"4,943,655"
2020,أكتوبر,"6,891,714"
2020,نوفمبر,"5,917,339"
2020,ديسمبر,"6,069,454"
2021,يناير,"5,487,161"
2021,فبراير,"7,800,694"
2021,مارس,"8,641,726"
2021,إبريل,"10,514,227"
2021,مايو,"7,577,966"
2021,يونيو,"8,620,971"
2021,يوليو,"8,011,041"
2021,أغسطس,"10,737,220"
2021,سبتمبر,"12,519,908"
2021,أكتوبر,"14,226,086"
2021,نوفمبر,"6,008,105"
2021,ديسمبر,"12,070,734"
2022,يناير,"10,075,479"
2022,فبراير,"8,937,950"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
