Item,Amount,Value
بترول خام,82.0,مليون دولار
سماد يوريا أو اسمده ازوتيه اخرى,31.7,مليون دولار
قدد من الالومنيوم مستطيلة الشكل,23.9,مليون دولار
الومنيوم غير مشغول و على هيئة سبائك,22.9,مليون دولار
بودره بولي ايثلين P.E.T,17.3,مليون دولار
ألواح حديد مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم و بسمك أقل من 3 مم,13.7,مليون دولار
الواح حديد مسحوبة على الساخن فى رولات بعرض اكبر من 600مم وبسمك اكبر من 4.75 مم,13.3,مليون دولار
إطارات السيارات النقل و الشاحنات,9.8,مليون دولار
كحول الميثيل,9.7,مليون دولار
الومنيوم غير مشغول أو غير هيئة سبائك,8.5,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",6.9,مليون دولار
بطاطس طازجه اومبرده أخرى,6.7,مليون دولار
فيروسيليكون سبيكه 55%,5.9,مليون دولار
بودره بولي فنيل كلوريد  P.V.S,5.5,مليون دولار
سلك الومنيوم قطر اقل من 7 ميلليمتر,4.9,مليون دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,4.6,مليون دولار
صوف توبس غير منزوع الرائحه,4.6,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,4.5,مليون دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,4.3,مليون دولار
غزل قطن متعدد اكثر من 85% قطن ممشط (83.33) (120) غير مهيىء للبيع بالتجزئة,4.2,مليون دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,4.1,مليون دولار
حبات  (P.P) بولي بروبلين,4.0,مليون دولار
سماد سلفات النوشادر (سماد كبريتات النشادر),3.7,مليون دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,3.3,مليون دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام غير مبيضه,3.3,مليون دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,3.1,مليون دولار
قماش الدنيم أو الجينز,2.8,مليون دولار
ألواح حديد زنك مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,2.7,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,2.7,مليون دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,2.6,مليون دولار
صودا كاويه سائله,2.5,مليون دولار
منتجات مماثله للشموع لها خاصيه شمعيه,2.4,مليون دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,2.2,مليون دولار
غيرها من مصنوعات اخرى من حديد او صلب,2.1,مليون دولار
خضروات اخرى مجمده,2.1,مليون دولار
اطقم حمامات / بياضات متنوعه,2.0,مليون دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,1.8,مليون دولار
قطع من ملابس جاهزه,1.7,مليون دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),1.7,مليون دولار
قمصان رجالى من الياف صناعيه غير مصنره,1.6,مليون دولار
بودرة صلب,1.6,مليون دولار
رمال السيليس (السيليكا) ورمال الكوارتز,1.5,مليون دولار
بدل رجالى من ألياف نسجيه أخرى غير مصنره,1.3,مليون دولار
شمع برافين,1.2,مليون دولار
أغطية أرضيات نسجيه أخرى,1.1,مليون دولار
ملايات سرير من ألياف نسجيه مخلوطه,1.0,مليون دولار
اوانى وادوات للاستعمال المنزلى / التواليت من الصينى,924.6,ألف دولار
بنطلون رجالى من القطن غير مصنره,916.6,ألف دولار
بصل وكرات بشوشه,785.5,ألف دولار
حقائب و شنط من أنواع البلاستيك الأخرى,727.4,ألف دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,713.0,ألف دولار
جوارب حريمى طويله أخرى من الياف نسجيه أخرى,699.4,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,689.4,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,632.6,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,629.8,ألف دولار
فراوله محفوظه مؤقتا,595.0,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),588.8,ألف دولار
,562.9,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,493.4,ألف دولار
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,478.8,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,466.4,ألف دولار
زيتون مخلل,451.8,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,422.8,ألف دولار
هلام,413.4,ألف دولار
بطاطا طازجه أو مجففه,409.3,ألف دولار
خلاصات او ارواح او مركزات من بن,405.8,ألف دولار
ادوات أخرى من الزجاج العادى,389.8,ألف دولار
حقائب و شنط و جوالات واكياس من بوليمرات الإيثلين,373.8,ألف دولار
إكسسوارات للملابس أخرى,372.5,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,359.1,ألف دولار
خيوط مغزوله قطنيه أقل من 85% (بخلاف خيوط الحياكه) مهيأه للبيع بالتجزئة,349.4,ألف دولار
شمام طازج ما عدا البطيخ,342.0,ألف دولار
سيليكات صوديوم أخر,334.5,ألف دولار
برتقال طازج أو مجفف,331.7,ألف دولار
اثاث معدنى اخر,313.7,ألف دولار
سجادوغيره من اغطيه الارضيات النسجيه من مواد نسجيه تركيبيه اواصطناعيه,287.0,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,284.1,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,280.7,ألف دولار
مصارين ومثانات ومعد حيوانات (غير الاسماك) بكاملهااواجزاء منها,269.0,ألف دولار
غزل كتان متعدد مسرح,266.4,ألف دولار
قطن غير ممشط أو مسرح,264.9,ألف دولار
غزل قطن مفرد اكثر من 85% غير ممشط (83.33) (106.38) (94)  غير مهيىء للبيع بالتجزئة,252.9,ألف دولار
فاصولياخضراء و فول أخضر,252.2,ألف دولار
كاولين,251.2,ألف دولار
ستائر مصنرة او كروشيه من الياف نسجيه أخرى,249.2,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),216.1,ألف دولار
فول بقلى (فول خيل),216.0,ألف دولار
شعر كتان مسرح أو شعر كتان ممشط و ليس مغزول,214.9,ألف دولار
خيوط مغزوله قطنيه أكثر من 85% (بخلاف خيوط الحياكه) مهيأه للبيع بالتجزئة,208.8,ألف دولار
اسمنت فوندو ..... الخ,193.8,ألف دولار
عيدان قضبان ?  اشكال خاصة ?  اسلاك نصف مشغولة من ذهب,178.8,ألف دولار
مواد مانعه للرغوه فى درجات الحراره العاليه,178.5,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,178.4,ألف دولار
نشاره الخشب,177.9,ألف دولار
رقائق الومنيوم لا تزيد عن 2 مم,166.6,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,160.4,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) (56و232)غير مهييء للبيع بالتجزئه,158.9,ألف دولار
غراء قاعدته نشاء او دكسترين او انواع اخرى من نشويات معدلة,157.1,ألف دولار
ادوات منزليه من الالومنيوم خاصه بالمطبخ,155.7,ألف دولار
سوائل اوعجن من الارالديت المستخدم كعازل كهربائى,155.3,ألف دولار
خميره جافه نشطه,152.6,ألف دولار
بذور سمسم,142.0,ألف دولار
اجزاء للنجف والاباجورات ومجموعات الاضاءه ومايماثلها من معدن غير (التى من زجاج او لدائن اصطناعيه),141.5,ألف دولار
بصل مجفف,137.4,ألف دولار
بيكربونات كالسيوم,137.3,ألف دولار
خميره جافه غير نشطه,134.7,ألف دولار
ستائر اخرى من الياف تركيبية,134.5,ألف دولار
ورق كرافت لينر فى رولات غير مغلف أو معالج أو مبيض,134.3,ألف دولار
عدس اصفر معبأ,132.0,ألف دولار
أقمشه تحتوى على 85% إكليريك مستمره أخرى,129.3,ألف دولار
حبال ودوباره بولى بروبلين وبولى ايثيلين,128.4,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),127.9,ألف دولار
ملايات السرير أخرى,126.3,ألف دولار
خضروات بقليه اخرى,124.9,ألف دولار
غيرها من انواع الغراء واللواصق,119.4,ألف دولار
محركـات ديزل او نصف ديزل,119.2,ألف دولار
أحجار طبيعيه للمبانى مصقوله,116.2,ألف دولار
اسمده طبيعيه ?  حيوانيه ?  اونباتيه غير معالجه كيماويا,116.1,ألف دولار
ادوات للمائدة والمطبخ بورسلين,114.1,ألف دولار
نباتات طبيه أخرى,113.7,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,113.2,ألف دولار
اجزاء الات تكييف الهواء شباك او حائط,108.9,ألف دولار
غيرها من الفراجين (مماسح وفرش للارضيه) و الميكانيكيه منها,101.8,ألف دولار
غيرها من اكواع وفواصل  وجلب ملولبه,99.1,ألف دولار
استياتيت طبيعى مجروش او مطحون,99.1,ألف دولار
عصير خليط,98.1,ألف دولار
يوسفى طازج أو مجفف,95.6,ألف دولار
خلاصات او ارواح او مركزات من بن او على اساس من البن,94.0,ألف دولار
فضلات الزنك,90.3,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,90.0,ألف دولار
بنطلون حريمى من الياف صناعيه غير مصنره,89.0,ألف دولار
كبريتات ماغنيسيوم,87.4,ألف دولار
مخاليط خضروات مجمده,84.5,ألف دولار
اجهزة كهربائيه حراريه اخرى,83.9,ألف دولار
معاطف ومعاطف ذات قبعه وعبايات من ألياف نسجيه أخرى للرجال والصبيه,82.2,ألف دولار
أقمشه تحتوى على 85% بوليستر مستمره أخرى,81.1,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,80.4,ألف دولار
سيارات ركوب سعة محركها من 1500 سم إلى 3000 سم,79.4,ألف دولار
طرشى),75.1,ألف دولار
