Year,Month,Export Amount
2012,يناير,"106,188,610"
2012,فبراير,"125,736,996"
2012,مارس,"157,510,157"
2012,إبريل,"140,895,315"
2012,مايو,"121,662,699"
2012,يونيو,"101,907,494"
2012,يوليو,"71,279,428"
2012,أغسطس,"76,941,211"
2012,سبتمبر,"135,646,060"
2012,أكتوبر,"77,927,335"
2012,نوفمبر,"108,657,151"
2012,ديسمبر,"101,016,538"
2013,يناير,"130,806,240"
2013,فبراير,"118,150,545"
2013,مارس,"136,160,623"
2013,إبريل,"108,720,708"
2013,مايو,"132,941,385"
2013,يونيو,"120,731,585"
2013,يوليو,"73,371,504"
2013,أغسطس,"77,798,114"
2013,سبتمبر,"148,807,755"
2013,أكتوبر,"95,631,351"
2013,نوفمبر,"109,695,525"
2013,ديسمبر,"143,697,660"
2014,يناير,"121,238,923"
2014,فبراير,"161,049,092"
2014,مارس,"209,970,356"
2014,إبريل,"192,452,557"
2014,مايو,"138,436,884"
2014,يونيو,"123,891,159"
2014,يوليو,"77,297,765"
2014,أغسطس,"141,717,546"
2014,سبتمبر,"158,707,769"
2014,أكتوبر,"76,310,648"
2014,نوفمبر,"114,453,806"
2014,ديسمبر,"92,059,874"
2015,يناير,"95,398,210"
2015,فبراير,"99,217,856"
2015,مارس,"104,520,929"
2015,إبريل,"92,513,453"
2015,مايو,"96,554,905"
2015,يونيو,"98,535,660"
2015,يوليو,"88,453,922"
2015,أغسطس,"84,685,376"
2015,سبتمبر,"63,139,460"
2015,أكتوبر,"62,273,515"
2015,نوفمبر,"96,337,896"
2015,ديسمبر,"89,899,316"
2016,يناير,"91,326,772"
2016,فبراير,"83,884,127"
2016,مارس,"125,527,390"
2016,إبريل,"88,718,121"
2016,مايو,"111,300,010"
2016,يونيو,"88,058,706"
2016,يوليو,"64,219,477"
2016,أغسطس,"97,382,250"
2016,سبتمبر,"65,397,245"
2016,أكتوبر,"73,195,518"
2016,نوفمبر,"129,176,101"
2016,ديسمبر,"124,803,030"
2017,يناير,"432,265,691"
2017,فبراير,"100,130,976"
2017,مارس,"129,032,490"
2017,إبريل,"106,891,188"
2017,مايو,"113,791,585"
2017,يونيو,"104,464,615"
2017,يوليو,"84,169,088"
2017,أغسطس,"94,357,030"
2017,سبتمبر,"83,092,090"
2017,أكتوبر,"96,029,844"
2017,نوفمبر,"91,562,922"
2017,ديسمبر,"110,879,943"
2018,يناير,"128,690,042"
2018,فبراير,"111,489,442"
2018,مارس,"149,824,687"
2018,إبريل,"116,303,419"
2018,مايو,"110,252,113"
2018,يونيو,"84,686,101"
2018,يوليو,"93,243,128"
2018,أغسطس,"85,861,467"
2018,سبتمبر,"109,626,979"
2018,أكتوبر,"113,262,551"
2018,نوفمبر,"100,259,298"
2018,ديسمبر,"91,327,032"
2019,يناير,"97,828,836"
2019,فبراير,"100,650,459"
2019,مارس,"118,920,943"
2019,إبريل,"147,235,752"
2019,مايو,"184,217,933"
2019,يونيو,"182,048,985"
2019,يوليو,"129,905,112"
2019,أغسطس,"93,156,411"
2019,سبتمبر,"97,394,062"
2019,أكتوبر,"104,830,712"
2019,نوفمبر,"107,052,176"
2019,ديسمبر,"184,088,286"
2020,يناير,"132,307,727"
2020,فبراير,"180,122,000"
2020,مارس,"137,988,740"
2020,إبريل,"77,570,978"
2020,مايو,"41,600,361"
2020,يونيو,"98,263,962"
2020,يوليو,"99,036,162"
2020,أغسطس,"89,542,640"
2020,سبتمبر,"112,804,875"
2020,أكتوبر,"138,262,546"
2020,نوفمبر,"111,781,279"
2020,ديسمبر,"162,039,716"
2021,يناير,"174,876,931"
2021,فبراير,"155,031,233"
2021,مارس,"236,753,164"
2021,إبريل,"162,772,973"
2021,مايو,"229,353,568"
2021,يونيو,"181,817,089"
2021,يوليو,"197,425,721"
2021,أغسطس,"184,775,158"
2021,سبتمبر,"219,741,641"
2021,أكتوبر,"202,063,450"
2021,نوفمبر,"139,512,106"
2021,ديسمبر,"606,739,692"
2022,يناير,"198,331,959"
2022,فبراير,"248,506,174"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
