Year,Month,Export Amount
2012,يناير,"32,202"
2012,فبراير,49
2012,مارس,0
2012,إبريل,"37,928"
2012,مايو,"36,494"
2012,يونيو,"24,235"
2012,يوليو,"41,318"
2012,أغسطس,0
2012,سبتمبر,"107,986"
2012,أكتوبر,"11,215"
2012,نوفمبر,0
2012,ديسمبر,"53,104"
2013,يناير,"22,931"
2013,فبراير,"34,944"
2013,مارس,"50,843"
2013,إبريل,"92,773"
2013,مايو,"114,737"
2013,يونيو,0
2013,يوليو,"34,356"
2013,أغسطس,"34,356"
2013,سبتمبر,"7,540"
2013,أكتوبر,0
2013,نوفمبر,"11,223"
2013,ديسمبر,0
2014,يناير,"7,540"
2014,فبراير,"92,331"
2014,مارس,"7,540"
2014,إبريل,"46,517"
2014,مايو,"16,770"
2014,يونيو,"55,568"
2014,يوليو,"56,573"
2014,أغسطس,"81,983"
2014,سبتمبر,"88,134"
2014,أكتوبر,0
2014,نوفمبر,0
2014,ديسمبر,"77,077"
2015,يناير,0
2015,فبراير,"4,440"
2015,مارس,"31,302"
2015,إبريل,"22,482"
2015,مايو,"43,224"
2015,يونيو,"105,806"
2015,يوليو,0
2015,أغسطس,"56,067"
2015,سبتمبر,0
2015,أكتوبر,"125,458"
2015,نوفمبر,0
2015,ديسمبر,"44,873"
2016,يناير,"54,494"
2016,فبراير,"44,936"
2016,مارس,0
2016,إبريل,"72,582"
2016,مايو,"71,687"
2016,يونيو,"62,914"
2016,يوليو,"115,360"
2016,أغسطس,"44,046"
2016,سبتمبر,"72,007"
2016,أكتوبر,0
2016,نوفمبر,"34,003"
2016,ديسمبر,"156,803"
2017,يناير,"202,094"
2017,فبراير,"36,882"
2017,مارس,"86,207"
2017,إبريل,"31,836"
2017,مايو,"31,376"
2017,يونيو,"54,833"
2017,يوليو,"77,719"
2017,أغسطس,"75,568"
2017,سبتمبر,"22,024"
2017,أكتوبر,"33,667"
2017,نوفمبر,"102,496"
2017,ديسمبر,"24,381"
2018,يناير,"184,091"
2018,فبراير,"37,055"
2018,مارس,"30,683"
2018,إبريل,4
2018,مايو,"62,653"
2018,يونيو,"25,758"
2018,يوليو,"22,426"
2018,أغسطس,"2,201"
2018,سبتمبر,4
2018,أكتوبر,"134,896"
2018,نوفمبر,"49,406"
2018,ديسمبر,"168,075"
2019,يناير,4
2019,فبراير,"71,520"
2019,مارس,"167,118"
2019,إبريل,"219,343"
2019,مايو,"72,519"
2019,يونيو,"87,329"
2019,يوليو,"190,903"
2019,أغسطس,"39,242"
2019,سبتمبر,"222,286"
2019,أكتوبر,"115,150"
2019,نوفمبر,"88,907"
2019,ديسمبر,"76,962"
2020,يناير,"298,173"
2020,فبراير,"47,552"
2020,مارس,"70,433"
2020,إبريل,"46,930"
2020,مايو,"60,242"
2020,يونيو,"68,199"
2020,يوليو,"149,029"
2020,أغسطس,"134,718"
2020,سبتمبر,"123,499"
2020,أكتوبر,"186,549"
2020,نوفمبر,"182,679"
2020,ديسمبر,"122,279"
2021,يناير,"144,827"
2021,فبراير,"83,338"
2021,مارس,"163,326"
2021,إبريل,"155,382"
2021,مايو,"223,015"
2021,يونيو,"95,900"
2021,يوليو,"176,332"
2021,أغسطس,"106,193"
2021,سبتمبر,"91,425"
2021,أكتوبر,"138,973"
2021,نوفمبر,0
2021,ديسمبر,"319,109"
2022,يناير,"107,508"
2022,فبراير,"20,938"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
