Item,Amount,Value
غاز طبيعى فى صوره سائله,37.8,مليون دولار
غاز نوشادر(نوشادر لامائى),12.4,مليون دولار
زيت صويا منقى و غير معالج كيمائيا,3.1,مليون دولار
زيت عباد الشمس بصـفة عـامة,2.9,مليون دولار
جبن مطبوخ غير مبشور ولا مسحوق,2.7,مليون دولار
خيط حياكه من ألياف صناعيه,2.6,مليون دولار
ثلاجات ومجمدات مشتركه مثبته بأبواب داخليه منفصله,1.6,مليون دولار
خضروات اخرى مجمده,1.5,مليون دولار
ثـــوم طازج أو مثلج,1.4,مليون دولار
محضرات غذائيه اخرى,1.3,مليون دولار
زيتون مخلل,1.3,مليون دولار
مكعبات فسيفساء وسيراميك وما يماثلها مطلية بالمينا,1.3,مليون دولار
سماد نترات النشادر الجيرى,1.2,مليون دولار
حساء ومرق ومحضرات (شوربه),1.2,مليون دولار
بطاطس محفوظه بكاملها فى مواد أخرى,1.2,مليون دولار
يوسفى طازج أو مجفف,1.1,مليون دولار
انواع جبنه اخرى,1.1,مليون دولار
فوليه),979.8,ألف دولار
فول بقلى (فول خيل),961.0,ألف دولار
ألواح حديد زنك مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,947.7,ألف دولار
جبن طازج أبيض بدون أى عمليات لاحقه,934.1,ألف دولار
زيت النخيل بحاله اخرى,822.1,ألف دولار
شيكولاتة ومنتجات الكاكاو,771.9,ألف دولار
خلايا اولية وبطاريات من أكسيد رصاص لتشغيل البساتم,765.2,ألف دولار
خميره جافه نشطه,748.0,ألف دولار
بطاطا طازجه أو مجففه,714.9,ألف دولار
بطاطس غير مجمده محفوظه اومعلبه,676.2,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,671.8,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,631.4,ألف دولار
مكسبات طعم ورائحه,554.1,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,445.0,ألف دولار
خوص),444.5,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,421.1,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),398.7,ألف دولار
سلك نحاس اصفر,386.9,ألف دولار
مبيدات حشرات,383.7,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,377.4,ألف دولار
زيت ذره مكرر,373.6,ألف دولار
مواسير من نحاس مسحوبه,373.5,ألف دولار
شـاى أسود و شاي خام معبيء فى أكثر من 3 كج,340.1,ألف دولار
قماش بارلون / نايلون,325.4,ألف دولار
بطاطس مجمده,316.6,ألف دولار
زيت ذره خام,311.5,ألف دولار
محضرات واصناف صيدليه اخر,305.4,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,277.3,ألف دولار
ورنيشات قاعدتها P.V.A,276.8,ألف دولار
خلاصات اوارواح او مركزات من بدائل البن,276.5,ألف دولار
ابراج وصوارى شبكيه ? ابراج معدنيه من حديد اوصلب,270.7,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,269.0,ألف دولار
,258.2,ألف دولار
زيت صويا لغير البيع بالتجزئه,255.3,ألف دولار
طرشى),254.6,ألف دولار
سجاد نايلون آخر,234.8,ألف دولار
رخام خام وترافرتين خام او غير مستوية القطع,232.4,ألف دولار
أحجار طبيعيه للمبانى مصقوله,231.7,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),231.1,ألف دولار
"لواح , افرخ من البلاستيك",228.2,ألف دولار
قشده) لبن رايب,228.0,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),218.1,ألف دولار
شامبو لغسيل الشعر  (دون تحديد),217.6,ألف دولار
بلاط أرضيات سيراميك وزخارف معماريه ومصنوعات اخرى من سيراميك,211.7,ألف دولار
المارجرين أو بديل الزبده ? زبده صناعيه,207.3,ألف دولار
بسكويت صيدلى,206.4,ألف دولار
زجاج سيارات سيكوريت,196.6,ألف دولار
اسلاك حديدية فى لفائف مغلفة او مطلية بالزنك,196.2,ألف دولار
بذور سمسم,174.8,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,174.0,ألف دولار
برغل وسميد من حنطة القمح,173.4,ألف دولار
فوق اكسيد الزنك,172.5,ألف دولار
لوبيا مجففه ومفصصه ومعبأه,172.2,ألف دولار
فاصولياخضراء و فول أخضر,169.7,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,165.7,ألف دولار
اطقم حمامات / بياضات متنوعه,153.9,ألف دولار
زجاج مسطح عادى سادة غير مسلح,152.0,ألف دولار
أقمشه تحتوى على أقل من 85% ألياف صناعيه مستمره مصبوغه,150.4,ألف دولار
"ورق وورق مقوى,حشو سليلوزى وشرائح من الياف سليلوزيه اخرى,على شكل لفات اوافرخ",140.3,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",139.7,ألف دولار
فراوله محلاه فى محلول سكرى,137.0,ألف دولار
مانجوستين طازجةاو مجففه,136.6,ألف دولار
ورق أزوريه,136.5,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,135.6,ألف دولار
ارز نصف مبيض اومبيض بالكامل,135.0,ألف دولار
بلاطات والاصناف المماثله وان كانت مستطيله بحيث تكون محصوره فى بلاط يقل طول ضلعه عن 7سم,129.5,ألف دولار
مرايا زجاجيه بدون اطر,126.4,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,125.5,ألف دولار
قطع من ملابس جاهزه,124.9,ألف دولار
اعلاف حيوانيه غير تقليديه,123.0,ألف دولار
بذور خضروات اخرى للزراعه,122.1,ألف دولار
بذور خضروات اخرى,120.5,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,116.2,ألف دولار
طوب للبناء بما فيها بلاط التبليط من السيراميك وما يماثلها,110.9,ألف دولار
ادوات منزليه من الالومنيوم خاصه بالمطبخ,110.1,ألف دولار
توســت أو خبز محمص,108.2,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,106.5,ألف دولار
بوليستر أولى,101.4,ألف دولار
أشجار و شجيرات ذات ثمار أو بدون ثمار,100.6,ألف دولار
ورق يدوى الصنع,100.0,ألف دولار
امصال الطب البيطرى,100.0,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,95.5,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,95.2,ألف دولار
خلاصات او ارواح او مركزات من بن او على اساس من البن,93.3,ألف دولار
فراوله محفوظه مؤقتا,91.4,ألف دولار
نجف و ثرايا كريستال و غيرها,87.4,ألف دولار
وصلات و كيعان و فلانشات لمواسير,85.9,ألف دولار
بلاطات والاصناف المماثله وان كانت مستطيله بحيث تكون محصوره فى بلاط يقل طول ضلعه عن 7سم,84.2,ألف دولار
أغطية أرضيات نسجيه أخرى,83.5,ألف دولار
أقمشه تحتوى على أقل من 85% الياف صناعيه مستمره مخلوطه بالقطن مبيضه أو غير مبيضه أقل من 170 جم أخرى,83.5,ألف دولار
حقائب و شنط و جوالات واكياس من بوليمرات الإيثلين,82.4,ألف دولار
لولبية,82.2,ألف دولار
زجاج بللور وزجاج عاكس أو زجاج مسطح عادى سادة غير مسلح,81.6,ألف دولار
أقمشه تحتوى على أقل من 85% ألياف صناعيه مستمره مخلوطه بالصوف,81.6,ألف دولار
(مثبت هيدروجين بروكسيد عند درجه الغليان فى الوسط القلوى),80.9,ألف دولار
ملابس مصنوعه من أنسجه معالجه ضد الرطوبه,79.5,ألف دولار
غيرها من دنان وبراميل وصفائح وعلب واوعيه مماثله من الومنيوم,78.1,ألف دولار
سمن نباتى,75.9,ألف دولار
بوليمرات اسيتات الفينيل (محلول مائى),75.2,ألف دولار
مجففات محضره,75.0,ألف دولار
صناديق و حاويات من البلاستيك,74.3,ألف دولار
رقائق الومنيوم غير مشغوله,73.4,ألف دولار
صابون معطر تواليت,72.0,ألف دولار
أسماك موسى النهريه طازجه أو مثلجه,71.7,ألف دولار
شيكولاته ساده,70.8,ألف دولار
جلوكوز و عسل الجلوكوز,70.3,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,69.1,ألف دولار
منتجات متنوعه نباتيه للغذاء,65.9,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,65.5,ألف دولار
قضبان و عيدان حديد صلب,64.2,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,62.1,ألف دولار
عصير خليط,62.0,ألف دولار
بذور زيتيه أخرى,59.5,ألف دولار
إطارات السيارات النقل و الشاحنات,58.3,ألف دولار
صابون فى شكل عيدان لاستعمالات غير الزينة مثل(صابون خام),56.5,ألف دولار
دهن من منتجات الألبان بمحتوى دهنى يزيد عن 39%ويقل عن 80%,56.5,ألف دولار
مخلفات صناعات البنجر,55.5,ألف دولار
عجائن البوليثرين متنوعه,55.4,ألف دولار
صناديق عرض وماشابه,55.2,ألف دولار
ازهار وبراعم ازهار مقطوفه اخرى طازجه للباقات,54.3,ألف دولار
حمص مجفف ومعبأ,53.9,ألف دولار
زيت بذرة عباد الشمس او زيت القرطم بحالة اخرى,53.4,ألف دولار
غراء قاعدته نشاء او دكسترين او انواع اخرى من نشويات معدلة,52.6,ألف دولار
دقيق و مغذيات من حبوب زيتيه أخرى,52.4,ألف دولار
سليب رجالى من ألياف صناعيه غير مصنره,51.3,ألف دولار
اطقم ومنتجات مختلفه (مخده ولحاف ومرتبه),50.0,ألف دولار
اجولة واكياس من بولياثلين او بوليبروبلين,48.0,ألف دولار
سوست معدنيه للملابس,47.3,ألف دولار
سماد يوريا أو اسمده ازوتيه اخرى,46.6,ألف دولار
عصير البرتقال,45.6,ألف دولار
جريب فروت طازج أو مجفف,43.6,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,43.2,ألف دولار
مخاليط خضروات مجمده,43.1,ألف دولار
اشكال مسطحةاخرى ومن اصناف ذاتية اللصق من لدائن اصطناعية,43.0,ألف دولار
نباتات طبيه أخرى,42.9,ألف دولار
مدشوشه),42.8,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,41.8,ألف دولار
لبان بلـــدى,41.1,ألف دولار
بولىفينيل اسيتات سائل,40.9,ألف دولار
قنينة كانيولا وادوات مماثلة,40.0,ألف دولار
ادوات صحيه من زهر واجزاؤها بدون تحديد,39.7,ألف دولار
مواد دباغه كيماويه للجلود,38.8,ألف دولار
عســل نحــل,38.0,ألف دولار
سوست بلاستيك لأى استعمال,37.7,ألف دولار
ستائر مصنرة او كروشيه من الياف تركيبيه,37.7,ألف دولار
ألعاب و مستلزمات الإحتفالات,36.0,ألف دولار
مستحضرات لتعطير الغرف او لازاله الروائح الكريهه منها,36.0,ألف دولار
خلاصات اوارواح او مركزات من شاى,35.2,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),34.9,ألف دولار
مراتب بسوست,34.5,ألف دولار
برتقال),34.3,ألف دولار
اجزاء ولوازم لمقاييس الكثافة وهيدرمترات وترمومترات ومقاييس الضغط الجوى,34.1,ألف دولار
غيرها من المربى,32.5,ألف دولار
بطاريات ثانى اكسيد المنجنيز,31.7,ألف دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,30.6,ألف دولار
مرايا الرؤيه الخلفيه للسيارات,30.0,ألف دولار
فيشه عاده مسمار لا تزيد عن 1000 فولت,30.0,ألف دولار
بازلياء خضراء,29.7,ألف دولار
املاح حمام معطرة و مستحضرات اخرى للاستعمال اثناء الاستحمام,29.5,ألف دولار
الاسمنت ?  الملاط ?  المحضرات المماثله المتحمله للحرارة,28.9,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,28.7,ألف دولار
اثاث مصمم لاستيعاب الثلاجات او معدات التجميداو هيكل معدنى خاص بالثلاجات,28.3,ألف دولار
مخاليط وعجائن لتحضير منتجات المخابز الداخلة فى صناعة الخبز,26.9,ألف دولار
بازلياء مجففه ومفصصه ومعبأه,25.2,ألف دولار
نخالة ومخلفات ناتجة عن العمليات التى تجرى على الذرة,24.8,ألف دولار
ذره معبأه للإستهلاك المباشر,24.6,ألف دولار
غير مسلح,24.6,ألف دولار
بطاطس طازجه اومبرده أخرى,23.8,ألف دولار
أدوات و مستلزمات البناء الأخرى من أنواع البلاستيك الأخرى,23.1,ألف دولار
بودره كبس فينول,23.0,ألف دولار
ورق ناسخ ذاتيا مطبوع .. على هيئة لفات او افرخ,23.0,ألف دولار
حبال ودوباره من الألياف الأخرى,22.6,ألف دولار
خضروات مجففه,22.2,ألف دولار
اصناف من سلك حديد او صلب بدون تحديد لنوعياتها,21.5,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,21.4,ألف دولار
ذرة أخرى,21.3,ألف دولار
محضرات متجانسه لاغذيه الاطفال,21.0,ألف دولار
قرنبيــط,20.9,ألف دولار
استيك مشرب او مغطى او مغلف اكثر من 25 جم واقل من 70 جم,19.8,ألف دولار
اسمنت فوندو ..... الخ,19.3,ألف دولار
مياةبما فيهاالمياةالمعدنيةوالغازيةمضاف اليهاسكراومواد تحلية,19.1,ألف دولار
زجاج مسطح مسلح,18.9,ألف دولار
سيليكات صوديوم أخر,18.4,ألف دولار
لعزل الحراره ?  الصوت,17.7,ألف دولار
خليط من مكسبات الطعم و الرائحه,16.0,ألف دولار
اثاث معدنى اخر,15.6,ألف دولار
تنر (تنر عضوى عادى او مخصوص),15.4,ألف دولار
خس ملفوف وكرنبى,14.5,ألف دولار
فول سودانى محلى,14.4,ألف دولار
اقطاب (الكترود) اسلاك وعيدان من بودره معادن عاديه مكتله المستعمله  فى طلاء المعادن بالرش,14.1,ألف دولار
بوليفينيل كحوليات فى صورته الاولية,13.5,ألف دولار
فلفل غير مسحوق ولامطحون,13.2,ألف دولار
شمع نحل,13.0,ألف دولار
ورق كرافت لينرفى رولات مغلف أو معالج أو مبيض,12.4,ألف دولار
استياتيت طبيعى مجروش او مطحون,12.0,ألف دولار
الحنطه وكدلك الجاف منها,11.5,ألف دولار
ملايات قطن مطبوعة,11.5,ألف دولار
لوحات توزيع كهرباء بدون تحديد,11.4,ألف دولار
حبر طباعة الوان متنوعة,11.3,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,11.1,ألف دولار
ادوات أخرى من الزجاج العادى,10.5,ألف دولار
اجزاء للنجف والاباجورات ومجموعات الاضاءه ومايماثلها من معدن غير (التى من زجاج او لدائن اصطناعيه),10.2,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,10.1,ألف دولار
ماكينه تعبئه وتغليف او لف فى وقت واحد دون تحديد للماده المعبأه والمغلفه,10.0,ألف دولار
نباتات حيه ، جذور و عش غراب وسيقان وتيجان وزهور وبراعم واجزاء البناتات كافة,9.9,ألف دولار
أطقم حروف طباعه ورواسم (اكليشهات),9.7,ألف دولار
مولاس قصب السكر و عسل اسود,9.5,ألف دولار
سحلب مطحون,8.5,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,8.1,ألف دولار
الات اخرى تؤدى وظائف مستقلة بذاتها غير مذكورة او داخلة فى اى مكان اخرمن هذا الفصل,8.0,ألف دولار
معاملات تجميع الدم,7.4,ألف دولار
دوريات .. وان كانت مشتملة على مواد دعاية تصدر اسبوعيا أو شهريا,7.1,ألف دولار
كتب و كتيبات مطبوعه وان كانت مصوره,6.4,ألف دولار
طوب حرارى عالى الماغنسيوم والكالسيوم بنسبة تزيد عن 50%,6.3,ألف دولار
مفصلات جميع المقاسات والانواع,6.2,ألف دولار
غيرها من معدات مصانع او معامل ولو كانت تسخن بالكهرباء عدا النوع المستعمل لاغراض الخدمات,5.6,ألف دولار
دوريات / وان كانت مصورة او مشتملة على مواد دعاية تصدر على الاقل اربعة مرات اسبوعيا,5.4,ألف دولار
أحجار الألومينيوم أو خفاف,5.4,ألف دولار
اصناف من حلى من ذهب سواء تحتوى على أحجار كريمه أم لا,5.3,ألف دولار
بهارات اخرى,5.2,ألف دولار
لوح توزيع فرعيه تقل عن 1000 فولت,5.1,ألف دولار
خضروات مجمدة او مبردة,4.7,ألف دولار
منتجات ورقيه أخرى,4.5,ألف دولار
فوط سفرة / بياضات قطن,4.4,ألف دولار
منتجات للتعبئة و التغليف أخرى من أنواع البلاستيك الأخرى,4.2,ألف دولار
اجهزة كهربائيه لتدفئة التربه,4.0,ألف دولار
كرفس طازج أو مثلج,3.5,ألف دولار
نسج من خيوط قطيفة شينيل من قطن,3.1,ألف دولار
عوامل وسيطة مساعدة (كاتالست) من معادن نفيسة او مركبات معادن نفيسة   كمادة نشطة,2.7,ألف دولار
احجار صقل أو شحذ أو سن من أحجار طبيعيه,2.2,ألف دولار
غاز ثانى اكسيد الكربون,2.0,ألف دولار
كسب فول صويا,1.5,ألف دولار
"اغصان وارقه, اوراق, شجيرات, نباتات اخرى وطحالب عدا 6/3",1.4,ألف دولار
ورنيشات قاعدتها بولى اكريلك,1.4,ألف دولار
محضرات كيميائيه للتشخيص المعملى,1.3,ألف دولار
منتجات اخرى من اصل نباتى,1.3,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),1.1,ألف دولار
تماثيل أخرى وببلوهات من اصناف الزينه,1.0,ألف دولار
صلبه غير قابلة للثنى من بوليميرات الاثيلين,1.0,ألف دولار
أقمشة صوفيه تحتوى على 85% من الصوف المخلوط المسرح بوزن لا يقل عن 300 جرام م2,1.0,ألف دولار
اوكسيدات وهيدروكسيدات الحديد,1.0,ألف دولار
