Year,Month,Export Amount
2012,يناير,"35,269,493"
2012,فبراير,"30,955,900"
2012,مارس,"41,587,016"
2012,إبريل,"43,181,144"
2012,مايو,"67,566,709"
2012,يونيو,"49,220,727"
2012,يوليو,"40,548,469"
2012,أغسطس,"36,564,992"
2012,سبتمبر,"51,112,056"
2012,أكتوبر,"42,091,709"
2012,نوفمبر,"48,663,144"
2012,ديسمبر,"78,672,615"
2013,يناير,"38,000,739"
2013,فبراير,"39,687,767"
2013,مارس,"51,405,674"
2013,إبريل,"57,074,806"
2013,مايو,"38,023,826"
2013,يونيو,"146,359,575"
2013,يوليو,"42,894,545"
2013,أغسطس,"33,463,559"
2013,سبتمبر,"60,355,558"
2013,أكتوبر,"36,081,420"
2013,نوفمبر,"56,640,604"
2013,ديسمبر,"55,248,764"
2014,يناير,"40,475,091"
2014,فبراير,"42,798,139"
2014,مارس,"52,029,373"
2014,إبريل,"51,609,583"
2014,مايو,"47,250,040"
2014,يونيو,"57,247,032"
2014,يوليو,"34,342,641"
2014,أغسطس,"41,817,662"
2014,سبتمبر,"40,828,296"
2014,أكتوبر,"39,337,622"
2014,نوفمبر,"44,590,507"
2014,ديسمبر,"45,969,332"
2015,يناير,"31,604,992"
2015,فبراير,"34,773,932"
2015,مارس,"46,038,943"
2015,إبريل,"41,591,605"
2015,مايو,"47,092,337"
2015,يونيو,"38,616,905"
2015,يوليو,"32,349,077"
2015,أغسطس,"43,187,113"
2015,سبتمبر,"33,587,260"
2015,أكتوبر,"36,492,644"
2015,نوفمبر,"40,172,451"
2015,ديسمبر,"47,134,440"
2016,يناير,"37,307,727"
2016,فبراير,"38,183,288"
2016,مارس,"47,890,499"
2016,إبريل,"42,717,321"
2016,مايو,"52,261,194"
2016,يونيو,"39,438,450"
2016,يوليو,"32,988,603"
2016,أغسطس,"36,415,035"
2016,سبتمبر,"30,424,522"
2016,أكتوبر,"45,630,632"
2016,نوفمبر,"47,253,669"
2016,ديسمبر,"43,061,499"
2017,يناير,"146,633,407"
2017,فبراير,"32,828,120"
2017,مارس,"44,812,146"
2017,إبريل,"41,537,793"
2017,مايو,"43,268,109"
2017,يونيو,"31,415,568"
2017,يوليو,"38,787,801"
2017,أغسطس,"42,917,644"
2017,سبتمبر,"31,577,750"
2017,أكتوبر,"36,206,593"
2017,نوفمبر,"43,220,796"
2017,ديسمبر,"45,290,355"
2018,يناير,"51,829,395"
2018,فبراير,"40,792,090"
2018,مارس,"53,365,564"
2018,إبريل,"54,052,879"
2018,مايو,"47,267,533"
2018,يونيو,"31,762,557"
2018,يوليو,"37,260,472"
2018,أغسطس,"30,438,824"
2018,سبتمبر,"40,759,651"
2018,أكتوبر,"41,646,419"
2018,نوفمبر,"33,939,332"
2018,ديسمبر,"42,312,045"
2019,يناير,"33,335,653"
2019,فبراير,"39,939,181"
2019,مارس,"49,755,103"
2019,إبريل,"87,698,715"
2019,مايو,"50,881,900"
2019,يونيو,"50,744,388"
2019,يوليو,"44,751,406"
2019,أغسطس,"32,821,140"
2019,سبتمبر,"43,905,526"
2019,أكتوبر,"77,811,951"
2019,نوفمبر,"91,175,377"
2019,ديسمبر,"99,196,263"
2020,يناير,"50,553,358"
2020,فبراير,"57,553,068"
2020,مارس,"41,354,139"
2020,إبريل,"29,425,947"
2020,مايو,"22,461,533"
2020,يونيو,"46,488,994"
2020,يوليو,"42,218,642"
2020,أغسطس,"50,555,646"
2020,سبتمبر,"47,227,492"
2020,أكتوبر,"66,891,340"
2020,نوفمبر,"49,411,300"
2020,ديسمبر,"58,296,822"
2021,يناير,"54,558,728"
2021,فبراير,"61,604,703"
2021,مارس,"61,820,077"
2021,إبريل,"74,526,329"
2021,مايو,"43,743,337"
2021,يونيو,"51,748,551"
2021,يوليو,"49,030,420"
2021,أغسطس,"87,021,250"
2021,سبتمبر,"61,085,431"
2021,أكتوبر,"51,814,357"
2021,نوفمبر,"29,883,489"
2021,ديسمبر,"57,048,862"
2022,يناير,"67,462,159"
2022,فبراير,"53,375,352"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
