Item,Amount,Value
زيوت نفط خفيفه وزيوت خفيفه اخرى متحصل عليها من المواد المعدنيه,51.7,مليون دولار
غيرها من مصنوعات اخرى من حديد او صلب,3.8,مليون دولار
فراوله محفوظه مؤقتا,1.2,مليون دولار
انابيب ?  مواسير ?  قضبان مجوفه ولوازمها من سبائك نيكل,1.2,مليون دولار
صفائح علب واوعيه مماثله من حديد او صلب     لتعبئه اى مادة سعتها50 لتراواكثر,1.0,مليون دولار
أغطية أرضيات نسجيه أخرى,744.9,ألف دولار
بصل مجفف,657.0,ألف دولار
مخلفات صناعات البنجر,612.6,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,388.7,ألف دولار
قطن غير ممشط أو مسرح,360.0,ألف دولار
بذور سمسم,318.1,ألف دولار
غيرها من المربى,233.3,ألف دولار
سجاد نايلون آخر,223.2,ألف دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,209.7,ألف دولار
أجزاء أخرى لأجهزة طبيه للأشعه السينيه,183.3,ألف دولار
نباتات طبيه أخرى,182.0,ألف دولار
خضروات بقليه اخرى,169.3,ألف دولار
خلاصات او ارواح او مركزات من بن او على اساس من البن,157.6,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,150.4,ألف دولار
غزل قطن متعدد اكثر من 85% قطن ممشط (83.33) (120) غير مهيىء للبيع بالتجزئة,142.6,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,108.1,ألف دولار
خبث على شكل آخر غيرحبيبات رمليه(متخلف من صناعه الحديد والصلب),106.8,ألف دولار
خلاصات او ارواح او مركزات من بن,105.9,ألف دولار
برتقال طازج أو مجفف,104.1,ألف دولار
زيوت عطرية أخرى,79.2,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,77.0,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,65.7,ألف دولار
خضروات اخرى مجمده,64.8,ألف دولار
بنطلون رجالى من الياف صناعيه غير مصنره,47.8,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,47.6,ألف دولار
أجزاء من مصابيح و إضائه زجاجيه,40.2,ألف دولار
صوف توبس غير منزوع الرائحه,38.9,ألف دولار
امواس و شفرات للحلاقه,33.0,ألف دولار
اثاث معدنى اخر,28.6,ألف دولار
بنطلون رجالى من القطن غير مصنره,22.3,ألف دولار
مكعبات فسيفساء وسيراميك وما يماثلها مطلية بالمينا,20.0,ألف دولار
بلوزه حريمى من القطن غير مصنره,19.7,ألف دولار
أحجار طبيعيه للمبانى مصقوله,16.2,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى مصنره,13.3,ألف دولار
غراء قاعدته نشاء او دكسترين او انواع اخرى من نشويات معدلة,10.6,ألف دولار
طبول ?  اكسيلفون ?  صاجات,9.0,ألف دولار
زيوت النعناع الأخرى,7.5,ألف دولار
غيرها من البويات والورنيشات المائيه,7.5,ألف دولار
أحجار طبيعيه للمبانى من الألبستر و الرخام,6.9,ألف دولار
زيوت عطريه (من موالح) متعدده,5.4,ألف دولار
أجزاء راديو و تليفزيون,5.4,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,3.7,ألف دولار
شامبو لغسيل الشعر  (دون تحديد),2.6,ألف دولار
بنطلون حريمى من القطن غير مصنره,2.2,ألف دولار
بلح طازج أو مجفف,1.5,ألف دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام مصبوغه,1.1,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,0.4,ألف دولار
جهاز تكييف وتبريد للحوائط أو النوافذ,0.3,ألف دولار
ثلاجات منزليه تعمل بكمبريسور,0.2,ألف دولار
"ادوات من خزف زجاجى من النوع المستعمل للمائدة ,للمطبخ التواليت والمكتب وللتزيين داخل المنازل",0.1,ألف دولار
ادوات أخرى من الزجاج العادى,0.1,ألف دولار
جلب من صلب لايصدأ غير ملحومه,0.1,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,0.0,ألف دولار
خضروات اخرىمحضرةاومحفوظةغيرماكان منها فى خل اوفى حامض خليك غيرمجمده,0.0,ألف دولار
خضروات مجمدة او مبردة,0.0,ألف دولار
أجزاء غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,0.0,ألف دولار
اسطح محيطة وبطانات للاطارات,0.0,ألف دولار
