Year,Month,Export Amount
2012,يناير,"1,843,997"
2012,فبراير,"2,308,395"
2012,مارس,"6,472,227"
2012,إبريل,"3,371,965"
2012,مايو,"8,975,053"
2012,يونيو,"3,261,956"
2012,يوليو,"6,886,258"
2012,أغسطس,"2,196,780"
2012,سبتمبر,"3,159,452"
2012,أكتوبر,"2,798,073"
2012,نوفمبر,"4,068,077"
2012,ديسمبر,"2,872,103"
2013,يناير,"2,735,071"
2013,فبراير,"3,203,224"
2013,مارس,"5,166,441"
2013,إبريل,"4,075,149"
2013,مايو,"3,206,015"
2013,يونيو,"4,261,200"
2013,يوليو,"2,749,340"
2013,أغسطس,"2,249,803"
2013,سبتمبر,"4,182,793"
2013,أكتوبر,"3,625,695"
2013,نوفمبر,"1,968,300"
2013,ديسمبر,"2,741,598"
2014,يناير,"3,231,235"
2014,فبراير,"3,716,652"
2014,مارس,"4,741,879"
2014,إبريل,"4,348,320"
2014,مايو,"3,499,240"
2014,يونيو,"4,354,240"
2014,يوليو,"2,810,466"
2014,أغسطس,"2,150,662"
2014,سبتمبر,"3,894,083"
2014,أكتوبر,"2,279,107"
2014,نوفمبر,"3,786,310"
2014,ديسمبر,"17,408,173"
2015,يناير,"3,106,970"
2015,فبراير,"4,002,660"
2015,مارس,"5,539,206"
2015,إبريل,"3,740,268"
2015,مايو,"3,370,825"
2015,يونيو,"4,250,974"
2015,يوليو,"3,824,997"
2015,أغسطس,"4,071,414"
2015,سبتمبر,"3,322,290"
2015,أكتوبر,"2,471,249"
2015,نوفمبر,"2,123,891"
2015,ديسمبر,"3,785,144"
2016,يناير,"4,298,413"
2016,فبراير,"3,063,892"
2016,مارس,"3,922,768"
2016,إبريل,"3,969,400"
2016,مايو,"2,916,461"
2016,يونيو,"4,176,953"
2016,يوليو,"2,584,411"
2016,أغسطس,"3,916,859"
2016,سبتمبر,"3,171,672"
2016,أكتوبر,"3,337,168"
2016,نوفمبر,"2,836,375"
2016,ديسمبر,"3,802,023"
2017,يناير,"15,739,029"
2017,فبراير,"4,156,703"
2017,مارس,"3,664,930"
2017,إبريل,"4,686,863"
2017,مايو,"4,245,455"
2017,يونيو,"4,532,295"
2017,يوليو,"3,698,930"
2017,أغسطس,"4,499,806"
2017,سبتمبر,"3,360,382"
2017,أكتوبر,"3,374,675"
2017,نوفمبر,"3,586,030"
2017,ديسمبر,"4,479,651"
2018,يناير,"6,950,199"
2018,فبراير,"5,495,591"
2018,مارس,"5,678,158"
2018,إبريل,"4,467,363"
2018,مايو,"26,245,840"
2018,يونيو,"4,603,877"
2018,يوليو,"3,940,482"
2018,أغسطس,"3,972,012"
2018,سبتمبر,"4,126,496"
2018,أكتوبر,"3,617,823"
2018,نوفمبر,"3,970,255"
2018,ديسمبر,"3,032,648"
2019,يناير,"6,036,041"
2019,فبراير,"5,500,684"
2019,مارس,"6,736,819"
2019,إبريل,"5,081,816"
2019,مايو,"5,774,540"
2019,يونيو,"3,517,515"
2019,يوليو,"4,662,379"
2019,أغسطس,"3,160,037"
2019,سبتمبر,"2,894,036"
2019,أكتوبر,"3,953,743"
2019,نوفمبر,"22,199,873"
2019,ديسمبر,"5,372,271"
2020,يناير,"27,123,106"
2020,فبراير,"21,722,608"
2020,مارس,"4,937,879"
2020,إبريل,"11,019,395"
2020,مايو,"3,214,421"
2020,يونيو,"15,455,699"
2020,يوليو,"3,443,962"
2020,أغسطس,"4,504,783"
2020,سبتمبر,"5,364,449"
2020,أكتوبر,"3,142,501"
2020,نوفمبر,"19,074,696"
2020,ديسمبر,"22,784,925"
2021,يناير,"5,636,426"
2021,فبراير,"4,553,470"
2021,مارس,"53,399,315"
2021,إبريل,"6,822,123"
2021,مايو,"46,266,647"
2021,يونيو,"3,509,148"
2021,يوليو,"23,329,731"
2021,أغسطس,"5,641,387"
2021,سبتمبر,"3,867,267"
2021,أكتوبر,"5,473,984"
2021,نوفمبر,"101,528,604"
2021,ديسمبر,"184,876,755"
2022,يناير,"108,341,073"
2022,فبراير,"4,132,484"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
