Item,Amount,Value
مكسبات طعم ورائحه,21.2,مليون دولار
برتقال طازج أو مجفف,447.8,ألف دولار
محضرات واصناف صيدليه اخر,422.0,ألف دولار
غواسل عضوية بحالة ايونات سالبة,194.6,ألف دولار
محركات منفصله أخرى من النوع المستخدم لشمعة الإشتعال أخرى,44.7,ألف دولار
يوسفى طازج أو مجفف,13.0,ألف دولار
محركات و مولدات ضغط الهواء تستخدم السيلندرات أخرى,10.3,ألف دولار
برفان,7.0,ألف دولار
غيرها من مستحضرات للتجميل او للتطريه ومستحضرات للعنايه بالبشره,5.6,ألف دولار
فراوله طازجه,1.9,ألف دولار
هلام بترولى,0.3,ألف دولار
"اغصان وارقه, اوراق, شجيرات, نباتات اخرى",0.3,ألف دولار
زيوت عطرية أخرى,0.2,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,0.2,ألف دولار
مانجوستين طازجةاو مجففه,0.1,ألف دولار
